layer,mean_h1_sum_observed,mean_h1_sum_null_mean,mean_h1_sum_delta,mean_h1_sum_z,delta_positive_fraction,max_h1_sum_delta,min_h1_sum_delta,fisher_stat,fisher_p
0,62.97727576891581,44.37442711591721,18.602848652998606,3.212986576804776,1.0,22.718738794326782,15.229420185089111,18.26713462634054,0.005598163615730096
1,52.017030000686646,36.8284805059433,15.188549494743347,3.1332590624791234,1.0,19.680442345142364,8.934444105625154,16.880840265220648,0.009731296002612492
2,47.62745118141174,36.92916987339655,10.698281308015188,1.9678949470165934,1.0,12.532976567745209,7.277768158912657,16.880840265220648,0.009731296002612492
3,47.12244176864624,35.05153136253357,12.070910406112672,2.4458724050667215,1.0,16.889652931690215,9.417589497566226,16.880840265220648,0.009731296002612492
4,46.60947998364767,34.655189327398936,11.954290656248729,2.610060756481585,1.0,13.966260004043576,8.560317993164062,18.26713462634054,0.005598163615730096
5,40.870762507120766,33.31772759358088,7.553034913539886,1.807432109433717,1.0,10.617593359947204,5.862169349193572,13.297321326764536,0.03855005503308801
6,38.505571126937866,30.644067299365997,7.861503827571869,2.1991156835983103,1.0,9.87162384390831,5.879965126514435,15.494545904100757,0.01674004623640472
7,43.19861698150635,32.471113101641336,10.727503879865012,3.452626343635746,1.0,12.469378542900088,9.829469442367554,18.26713462634054,0.005598163615730096
8,43.22745911280314,32.080554556846614,11.146904555956525,3.091420467338778,1.0,14.815683519840242,7.112104213237764,16.880840265220648,0.009731296002612492
9,40.12236682573954,28.25796451965968,11.864402306079866,3.6063298564900594,1.0,14.54974012374878,7.474859434366227,18.26713462634054,0.005598163615730096
10,30.996819416681927,24.422993548711144,6.573825867970785,2.602522639354767,1.0,8.689670968055726,4.748068487644197,16.880840265220648,0.009731296002612492
11,21.864100098609924,19.00471592346827,2.8593841751416527,1.7018954993295285,0.6666666666666666,6.041988062858582,-0.539472615718843,11.911026965644647,0.06398337260735099
