domain,split_regime,layer,null_family,n_seed_runs,mean_h1_sum_observed,mean_h1_sum_null_mean,mean_h1_sum_delta,mean_h1_sum_z,delta_positive_fraction,mean_n_null_draws,mean_rewire_attempts,fisher_stat,fisher_p
immune,source_disjoint,0,degree_preserving_geodesic_rewire,3,31.116527160008747,225.6440207362175,-194.52749357620874,-9.003911241340257,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,0,feature_shuffle,3,31.116527160008747,20.442744171619413,10.673782988389334,3.1607929118775893,1.0,20.0,0.0,15.494545904100757,0.01674004623640472
immune,source_disjoint,1,degree_preserving_geodesic_rewire,3,26.564796368281048,196.85170421997705,-170.28690785169601,-8.272466934685998,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,1,feature_shuffle,3,26.564796368281048,17.524883246421812,9.039913121859232,2.915103111108517,1.0,20.0,0.0,18.26713462634054,0.005598163615730096
immune,source_disjoint,2,degree_preserving_geodesic_rewire,3,21.323315143585205,158.55019215260666,-137.22687700902145,-8.690431541437642,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,2,feature_shuffle,3,21.323315143585205,15.921533656120301,5.401781487464905,1.945481092502036,1.0,20.0,0.0,14.108251542980867,0.02845003431291927
immune,source_disjoint,3,degree_preserving_geodesic_rewire,3,23.4482098420461,168.58967458208403,-145.14146474003792,-8.570525420116217,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,3,feature_shuffle,3,23.4482098420461,16.016304506858187,7.431905335187911,2.6959746890347507,1.0,20.0,0.0,18.26713462634054,0.005598163615730096
immune,source_disjoint,4,degree_preserving_geodesic_rewire,3,22.937878290812176,158.46372391780218,-135.52584562699,-15.01537389666691,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,4,feature_shuffle,3,22.937878290812176,15.345069177945456,7.592809112866719,2.618497312979405,1.0,20.0,0.0,14.108251542980867,0.02845003431291927
immune,source_disjoint,5,degree_preserving_geodesic_rewire,3,18.74793267250061,168.22424587096057,-149.47631319845996,-8.903540586007642,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,5,feature_shuffle,3,18.74793267250061,12.988948098818462,5.758984573682149,2.133678093925846,1.0,20.0,0.0,16.06991004900432,0.013383610672947313
immune,source_disjoint,6,degree_preserving_geodesic_rewire,3,20.123020092646282,160.12326411617997,-140.0002440235337,-8.27663257287829,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,6,feature_shuffle,3,20.123020092646282,13.175792590777078,6.947227501869201,2.8756713376617893,1.0,20.0,0.0,18.26713462634054,0.005598163615730096
immune,source_disjoint,7,degree_preserving_geodesic_rewire,3,21.942900975545246,189.46977931144087,-167.52687833589565,-10.874124837530132,0.0,8.0,8.0,-0.0,1.0
