domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,used_component_bridging,n_null_draws,rewire_attempts,h1_observed_euclidean,h1_observed_geodesic,h1_rewire_null_mean,h1_rewire_null_std,h1_delta_euclidean_vs_rewire,h1_z_euclidean_vs_rewire,h1_delta_geodesic_vs_rewire,h1_z_geodesic_vs_rewire,h1_delta_shift_geodesic_minus_euclidean,h1_p_perm_euclidean_vs_rewire,h1_p_perm_geodesic_vs_rewire,distortion_observed,distortion_rewire_null_mean,distortion_rewire_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed42_main,source_disjoint,0,2470,160,14,30,True,6,6,25.688244819641113,25.688244819641113,195.080100218455,14.258944793645453,-169.39185539881387,-11.879690807304636,-169.39185539881387,-11.879690807304636,0.0,1.0,1.0,1.3464087946261776,1.2081198252739325,0.005295746227300026,0.1382889693522451,26.11321186920587,1.0
immune,seed43,source_disjoint,0,2470,160,14,30,True,6,6,25.409563779830933,25.409563779830933,169.7365345216646,9.893225817908652,-144.32697074183366,-14.588464206081849,-144.32697074183366,-14.588464206081849,0.0,1.0,1.0,1.3824420564435218,1.2757409738562435,0.003529724893578522,0.10670108258727828,30.22928289740429,1.0
immune,seed44,source_disjoint,0,2470,160,14,30,True,6,6,22.537740230560303,22.602620601654053,151.50949454307556,13.938910891181896,-128.97175431251526,-9.252642140416679,-128.9068739414215,-9.247987517713685,0.06488037109375,1.0,1.0,1.383120507052117,1.1878424003106918,0.006654451983303725,0.19527810674142532,29.345478468536104,1.0
immune,seed42_main,source_disjoint,1,2470,160,14,30,True,6,6,23.236714124679565,23.236714124679565,139.39667449818458,13.32117662644243,-116.15996037350502,-8.719947465767286,-116.15996037350502,-8.719947465767286,0.0,1.0,1.0,1.4394536258203312,1.2775049903302698,0.004154436253386167,0.16194863549006144,38.982087250941525,1.0
immune,seed43,source_disjoint,1,2470,160,14,30,True,6,6,19.68119525909424,19.68119525909424,116.24327596028645,10.318897381975573,-96.56208070119222,-9.357790577557564,-96.56208070119222,-9.357790577557564,0.0,1.0,1.0,1.3377846773587498,1.1873606283055425,0.003327552540440822,0.1504240490532074,45.20559841488824,1.0
immune,seed44,source_disjoint,1,2470,160,14,30,True,6,6,16.342709064483643,16.342709064483643,105.86274945735931,10.810656144595004,-89.52004039287567,-8.280722204762032,-89.52004039287567,-8.280722204762032,0.0,1.0,1.0,1.371665275036061,1.1837648920432027,0.0028105837905367833,0.18790038299285827,66.85455056382479,1.0
immune,seed42_main,source_disjoint,2,2470,160,14,30,True,6,6,15.713452577590942,15.713452577590942,94.82104134559631,14.589216754480141,-79.10758876800537,-5.4223328156592245,-79.10758876800537,-5.4223328156592245,0.0,1.0,1.0,1.2654270522232718,1.2563086049238255,0.0038785370056229314,0.00911844729944633,2.3510011468823593,1.0
immune,seed43,source_disjoint,2,2470,160,14,30,True,6,6,23.147509574890137,23.147509574890137,123.4325631459554,13.59802214623826,-100.28505357106526,-7.374973542856967,-100.28505357106526,-7.374973542856967,0.0,1.0,1.0,1.3161488403199464,1.206751440336573,0.00542686020249139,0.1093973999833735,20.158503396613643,1.0
immune,seed44,source_disjoint,2,2470,160,14,30,True,6,6,18.75682544708252,20.008962631225586,116.8642893776878,8.825368286497149,-98.10746393060528,-11.116529161688764,-96.85532674646221,-10.974649849307323,1.2521371841430664,1.0,1.0,1.3249398405298116,1.2727894940130058,0.005402699827237626,0.052150346516805834,9.652643776588688,1.0
immune,seed42_main,source_disjoint,3,2470,160,14,30,True,6,6,19.425360441207886,19.425360441207886,118.35116322835286,10.013081604467109,-98.92580278714497,-9.879656102386283,-98.92580278714497,-9.879656102386283,0.0,1.0,1.0,1.2993015110132349,1.2632751689728698,0.004158291975099954,0.036026342040365034,8.663733473348895,1.0
