domain,split_regime,layer,n_seed_runs,mean_h1_observed_euclidean,mean_h1_observed_geodesic,mean_h1_rewire_null,mean_h1_delta_euclidean_vs_rewire,mean_h1_delta_geodesic_vs_rewire,mean_h1_delta_shift_geodesic_minus_euclidean,frac_seeds_geo_delta_positive,frac_seeds_euclid_delta_positive,fisher_stat_euclidean_vs_rewire,fisher_p_euclidean_vs_rewire,fisher_stat_geodesic_vs_rewire,fisher_p_geodesic_vs_rewire,mean_distortion_observed,mean_distortion_rewire_null,mean_distortion_delta_observed_minus_null,fisher_stat_distortion_lower,fisher_p_distortion_lower,mean_knn_k,bridged_runs
immune,source_disjoint,0,3,24.545182943344116,24.5668097337087,172.10870976106503,-147.56352681772094,-147.54190002735635,0.021626790364583332,0.0,0.0,-0.0,1.0,-0.0,1.0,1.370657119373939,1.2239010664802894,0.14675605289364957,-0.0,1.0,30.0,3
immune,source_disjoint,1,3,19.753539482752483,19.753539482752483,120.50089997194345,-100.74736048919097,-100.74736048919097,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3829678594050474,1.2162101702263384,0.16675768917870903,-0.0,1.0,30.0,3
immune,source_disjoint,2,3,19.205929199854534,19.623308261235554,111.70596462307982,-92.5000354232253,-92.08265636184427,0.41737906138102215,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3021719110243433,1.2452831797578015,0.05688873126654189,-0.0,1.0,30.0,3
immune,source_disjoint,3,3,19.697513659795124,19.745063066482544,142.8955994759048,-123.19808581610967,-123.15053640942226,0.04754940668741862,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3306247289717155,1.244705956342379,0.0859187726293366,-0.0,1.0,30.0,3
immune,source_disjoint,4,3,23.44242779413859,23.720146973927815,132.35582600433284,-108.91339821019425,-108.63567903040502,0.2777191797892253,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3177761061237745,1.2486597279968603,0.06911637812691411,-0.0,1.0,30.0,3
immune,source_disjoint,5,3,16.715943733851116,16.98567573229472,127.82614195950619,-111.11019822565508,-110.84046622721148,0.2697319984436035,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3742357321062197,1.2413760136493677,0.13285971845685215,-0.0,1.0,30.0,3
immune,source_disjoint,6,3,16.96977210044861,17.478949626286823,137.5036814742618,-120.53390937381319,-120.02473184797498,0.5091775258382162,0.0,0.0,-0.0,1.0,-0.0,1.0,1.306062898422183,1.219923081251619,0.08613981717056385,3.891820298110627,0.6913133290219355,30.0,3
immune,source_disjoint,7,3,17.927959601084392,17.953364690144856,141.46586634053122,-123.53790673944684,-123.51250165038637,0.025405089060465496,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3308676881410622,1.2169542196677872,0.11391346847327499,-0.0,1.0,30.0,3
immune,source_disjoint,8,3,18.256599585215252,18.26838445663452,123.79949288898042,-105.54289330376518,-105.5311084323459,0.011784871419270834,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3217186807472718,1.2172454019820007,0.10447327876527113,3.891820298110627,0.6913133290219355,30.0,3
immune,source_disjoint,9,3,13.675548235575357,13.857829411824545,132.05274852077912,-118.37720028520376,-118.19491910895458,0.1822811762491862,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3164243598885694,1.2799561714190872,0.03646818846948211,0.3083013596545167,0.9994559107481668,30.0,3
immune,source_disjoint,10,3,12.572637716929117,12.572637716929117,84.1841443244981,-71.61150660756898,-71.61150660756898,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,1.2397193245847467,1.2125926145322106,0.027126710052536158,3.891820298110627,0.6913133290219355,30.0,3
immune,source_disjoint,11,3,6.926106373469035,6.966962099075317,52.06910223431058,-45.142995860841545,-45.10214013523526,0.040855725606282554,0.0,0.0,-0.0,1.0,-0.0,1.0,1.1940789176918334,1.1705415522050948,0.023537365486738498,-0.0,1.0,30.0,3
immune,target_disjoint,0,3,1.6390457948048909,1.8368988831837971,69.18460581037733,-67.54556001557243,-67.34770692719353,0.19785308837890625,0.0,0.0,-0.0,1.0,-0.0,1.0,2.0684212846057166,1.140917592314051,0.9275036922916655,-0.0,1.0,16.666666666666668,0
immune,target_disjoint,1,3,3.090132713317871,5.390163739522298,79.02303738064236,-75.9329046673245,-73.63287364112007,2.3000310262044272,0.3333333333333333,0.3333333333333333,3.891820298110627,0.6913133290219355,3.891820298110627,0.6913133290219355,1.4750709238302815,1.1832055599681661,0.2918653638621154,-0.0,1.0,28.0,2
