domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,knn_bucket,used_component_bridging,h1_observed_geodesic,distortion_observed,null_family,n_null_draws,rewire_attempts_total,mean_edge_hist_l1_ratio,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_z_observed_minus_null,h1_p_perm_upper,distortion_null_mean,distortion_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed42_main,source_disjoint,0,2470,150,14,40,k_gt_30,True,22.497811317443848,1.3419562037909347,degree_preserving_geodesic_rewire,5,5,0.3228142783238489,39.849000215530396,4.954259289854536,-17.351188898086548,-3.502277107319856,1.0,1.0752576918888526,0.0012034587395102117,0.26669851190208216,221.6098330058171,1.0
immune,seed43,source_disjoint,0,2470,150,14,40,k_gt_30,True,21.81831979751587,1.3856220212875734,degree_preserving_geodesic_rewire,5,5,0.32813141683778235,37.709016990661624,8.12112156960448,-15.890697193145755,-1.9567121431434207,1.0,1.0727644663407712,0.0016390481874911853,0.31285755494680223,190.87746562729973,1.0
immune,seed44,source_disjoint,0,2470,150,14,40,k_gt_30,True,22.21361780166626,1.41240623313987,degree_preserving_geodesic_rewire,5,5,0.32023721275018535,35.25427145957947,5.013439867223312,-13.04065365791321,-2.601138938669394,1.0,1.0599504137867772,0.0006425389083576469,0.35245581935309267,548.5352968253463,1.0
immune,seed42_main,source_disjoint,0,2470,150,14,40,k_gt_30,True,22.497811317443848,1.3419562037909347,quantile_constrained_geodesic_rewire,5,5,0.3131919296430419,38.77826762199402,2.0210817852445873,-16.28045630455017,-8.055317907149721,1.0,1.0741722803551599,0.0006817249002824458,0.26778392343577484,392.80291877546284,1.0
immune,seed43,source_disjoint,0,2470,150,14,40,k_gt_30,True,21.81831979751587,1.3856220212875734,quantile_constrained_geodesic_rewire,5,5,0.3143737166324435,33.59307327270508,5.63852366696615,-11.774753475189208,-2.0882688747206117,1.0,1.0717631057843362,0.0013291470633635383,0.3138589155032372,236.1354044401846,1.0
immune,seed44,source_disjoint,0,2470,150,14,40,k_gt_30,True,22.21361780166626,1.41240623313987,quantile_constrained_geodesic_rewire,5,5,0.31074870274277244,35.54789891242981,4.863286728127243,-13.334281110763548,-2.7418249947924607,1.0,1.060354487037663,0.0005654250172649216,0.3520517461022068,622.6309638264458,1.0
immune,seed42_main,source_disjoint,1,2470,150,14,40,k_gt_30,True,27.288109302520752,1.3408741017445276,degree_preserving_geodesic_rewire,5,5,0.3271781534460338,40.07632169723511,2.6118809671804657,-12.788212394714357,-4.8961696763781335,1.0,1.0818028313945827,0.0004844098872518267,0.2590712703499449,534.8171917021008,1.0
immune,seed43,source_disjoint,1,2470,150,14,40,k_gt_30,True,16.007951021194458,1.2898589268867549,degree_preserving_geodesic_rewire,5,5,0.32794457274826794,29.880438137054444,2.7977141143336017,-13.872487115859986,-4.958507747388556,1.0,1.0993730539466369,0.00263919969459018,0.19048587294011798,72.17559215203866,1.0
immune,seed44,source_disjoint,1,2470,150,14,40,k_gt_30,True,21.16669464111328,1.3264335298683707,degree_preserving_geodesic_rewire,5,5,0.32573289902280134,30.04705352783203,3.199277985955621,-8.88035888671875,-2.775738439399931,1.0,1.107300917669089,0.0017478410444985771,0.21913261219928182,125.37323546427609,1.0
immune,seed42_main,source_disjoint,1,2470,150,14,40,k_gt_30,True,27.288109302520752,1.3408741017445276,quantile_constrained_geodesic_rewire,5,5,0.31719115734720416,38.007150983810426,3.5044634934835632,-10.719041681289674,-3.0586826480466134,1.0,1.08043040776523,0.0009119359463397903,0.26044369397929756,285.59397118916104,1.0
