domain,split_regime,layer,null_family,n_seed_runs,mean_h1_observed_geodesic,mean_h1_null,mean_h1_delta_observed_minus_null,frac_seed_runs_h1_delta_positive,fisher_stat_h1_upper,fisher_p_h1_upper,mean_distortion_observed,mean_distortion_null,mean_distortion_delta_observed_minus_null,fisher_stat_distortion_lower,fisher_p_distortion_lower,mean_knn_k,bridged_runs,mean_edge_hist_l1_ratio
immune,source_disjoint,0,degree_preserving_geodesic_rewire,3,22.17658297220866,37.60409622192383,-15.42751324971517,0.0,-0.0,1.0,1.379994819406126,1.0693241906721338,0.31067062873399237,-0.0,1.0,40.0,3,0.32372763597060555
immune,source_disjoint,0,quantile_constrained_geodesic_rewire,3,22.17658297220866,35.97307993570964,-13.796496963500976,0.0,-0.0,1.0,1.379994819406126,1.068763291059053,0.31123152834707296,-0.0,1.0,40.0,3,0.3127714496727526
immune,source_disjoint,1,degree_preserving_geodesic_rewire,3,21.487584988276165,33.33460445404053,-11.847019465764363,0.0,-0.0,1.0,1.3190555194998843,1.0961589343367695,0.22289658516311492,-0.0,1.0,40.0,3,0.3269518750723677
immune,source_disjoint,1,quantile_constrained_geodesic_rewire,3,21.487584988276165,31.64951612154643,-10.161931133270263,0.0,-0.0,1.0,1.3190555194998843,1.094039685032229,0.22501583446765538,-0.0,1.0,40.0,3,0.3140199936913607
immune,source_disjoint,2,degree_preserving_geodesic_rewire,3,17.591201146443684,29.0977520942688,-11.506550947825113,0.0,-0.0,1.0,1.2950848788560814,1.0789911987627878,0.21609368009329386,-0.0,1.0,40.0,3,0.32520638064358215
immune,source_disjoint,2,quantile_constrained_geodesic_rewire,3,17.591201146443684,28.741633240381873,-11.150432093938193,0.0,-0.0,1.0,1.2950848788560814,1.0774462161890692,0.21763866266701237,-0.0,1.0,40.0,3,0.3141387585405184
immune,source_disjoint,3,degree_preserving_geodesic_rewire,3,19.782868146896362,30.86365971565247,-11.080791568756103,0.0,-0.0,1.0,1.3313879918339182,1.0966332355090607,0.23475475632485732,-0.0,1.0,40.0,3,0.32364916816236794
immune,source_disjoint,3,quantile_constrained_geodesic_rewire,3,19.782868146896362,32.21840136845906,-12.435533221562702,0.0,-0.0,1.0,1.3313879918339182,1.0952506154913553,0.2361373763425628,-0.0,1.0,40.0,3,0.3124307430932446
immune,source_disjoint,4,degree_preserving_geodesic_rewire,3,16.462021112442017,29.449124336242676,-12.98710322380066,0.0,-0.0,1.0,1.3169671941951864,1.091104751940358,0.22586244225482846,-0.0,1.0,40.0,3,0.32101993826142133
immune,source_disjoint,4,quantile_constrained_geodesic_rewire,3,16.462021112442017,28.120009867350262,-11.657988754908244,0.0,-0.0,1.0,1.3169671941951864,1.0898250045892135,0.22714218960597296,-0.0,1.0,40.0,3,0.3111426365076258
