domain,seed_tag,split_regime,layer,knn_k,knn_bucket,used_component_bridging,distortion_delta_observed_minus_null_degree_preserving_geodesic_rewire,distortion_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_observed_minus_null_degree_preserving_geodesic_rewire,h1_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_shift_constrained_minus_unconstrained,distortion_delta_shift_constrained_minus_unconstrained
immune,seed42_main,source_disjoint,0,40,k_gt_30,True,0.26669851190208216,0.26778392343577484,-17.351188898086548,-16.28045630455017,1.070732593536377,0.0010854115336926817
immune,seed42_main,source_disjoint,1,40,k_gt_30,True,0.2590712703499449,0.26044369397929756,-12.788212394714357,-10.719041681289674,2.0691707134246826,0.001372423629352637
immune,seed42_main,source_disjoint,2,40,k_gt_30,True,0.27341876800265985,0.2746219691276697,-10.000996017456053,-8.582476806640624,1.418519210815429,0.001203201125009823
immune,seed42_main,source_disjoint,3,40,k_gt_30,True,0.2647323259399279,0.26647214529621777,-11.02969241142273,-12.629652357101442,-1.5999599456787124,0.0017398193562898623
immune,seed42_main,source_disjoint,4,40,k_gt_30,True,0.26224704932690845,0.26305957072383257,-11.113576173782349,-11.259327173233032,-0.1457509994506836,0.0008125213969241152
immune,seed42_main,source_disjoint,5,40,k_gt_30,True,0.18853264054005026,0.18934590611003355,-11.48262801170349,-12.78458127975464,-1.3019532680511503,0.0008132655699832902
immune,seed42_main,source_disjoint,6,40,k_gt_30,True,0.2968416922228678,0.2963966760432597,-12.124127912521363,-11.765350437164308,0.35877747535705495,-0.00044501617960812645
immune,seed42_main,source_disjoint,7,40,k_gt_30,True,0.21358548860337367,0.2161368464214357,-13.929201126098633,-11.336730003356934,2.592471122741699,0.002551357818062039
immune,seed42_main,source_disjoint,8,40,k_gt_30,True,0.2665378891634844,0.2685438689150639,-9.60428867340088,-10.20791850090027,-0.6036298274993896,0.0020059797515794564
immune,seed42_main,source_disjoint,9,40,k_gt_30,True,0.20793080325202862,0.20909704612075286,-8.830478191375732,-6.785767555236816,2.044710636138916,0.0011662428687242432
