domain,layer,null_family,source_fisher_p_h1_upper,target_fisher_p_h1_upper,source_mean_h1_delta_observed_minus_null,target_mean_h1_delta_observed_minus_null,source_sig_h1,target_sig_h1,both_splits_sig_h1,both_splits_positive_h1_delta
immune,0,degree_preserving_geodesic_rewire,1.0,1.0,-15.42751324971517,-30.20989977518717,False,False,False,False
immune,1,degree_preserving_geodesic_rewire,1.0,1.0,-11.847019465764363,-28.28592307654321,False,False,False,False
immune,2,degree_preserving_geodesic_rewire,1.0,1.0,-11.506550947825113,-30.434900801214184,False,False,False,False
immune,3,degree_preserving_geodesic_rewire,1.0,1.0,-11.080791568756103,-27.672633934020997,False,False,False,False
immune,4,degree_preserving_geodesic_rewire,1.0,1.0,-12.98710322380066,-36.94062861861693,False,False,False,False
immune,5,degree_preserving_geodesic_rewire,1.0,1.0,-11.714107592900595,-24.38101869592366,False,False,False,False
immune,6,degree_preserving_geodesic_rewire,1.0,1.0,-12.125749429066977,-31.162943758740244,False,False,False,False
immune,7,degree_preserving_geodesic_rewire,1.0,1.0,-12.251642227172852,-27.593598127365112,False,False,False,False
immune,8,degree_preserving_geodesic_rewire,1.0,1.0,-11.326442702611288,-24.367032877604164,False,False,False,False
immune,9,degree_preserving_geodesic_rewire,1.0,1.0,-10.052947409947713,-27.007172536527424,False,False,False,False
immune,10,degree_preserving_geodesic_rewire,1.0,1.0,-9.004927547772725,-19.71969135602315,False,False,False,False
immune,11,degree_preserving_geodesic_rewire,1.0,1.0,-6.810530376434326,-17.94376497268677,False,False,False,False
immune,0,quantile_constrained_geodesic_rewire,1.0,1.0,-13.796496963500976,-32.60609785715739,False,False,False,False
immune,1,quantile_constrained_geodesic_rewire,1.0,1.0,-10.161931133270263,-31.682170558843012,False,False,False,False
immune,2,quantile_constrained_geodesic_rewire,1.0,1.0,-11.150432093938193,-35.75639100952208,False,False,False,False
immune,3,quantile_constrained_geodesic_rewire,1.0,1.0,-12.435533221562702,-22.346276251475018,False,False,False,False
immune,4,quantile_constrained_geodesic_rewire,1.0,1.0,-11.657988754908244,-40.96342413685626,False,False,False,False
immune,5,quantile_constrained_geodesic_rewire,1.0,1.0,-12.687329403559367,-27.54912547438639,False,False,False,False
immune,6,quantile_constrained_geodesic_rewire,1.0,1.0,-11.60662701924642,-24.470265629450207,False,False,False,False
immune,7,quantile_constrained_geodesic_rewire,1.0,1.0,-11.663813336690268,-30.116651328404743,False,False,False,False
immune,8,quantile_constrained_geodesic_rewire,1.0,1.0,-11.887540404001873,-29.579981009165447,False,False,False,False
immune,9,quantile_constrained_geodesic_rewire,1.0,1.0,-8.7226802110672,-23.159900744433514,False,False,False,False
immune,10,quantile_constrained_geodesic_rewire,1.0,1.0,-8.342902747790019,-24.298892784118653,False,False,False,False
immune,11,quantile_constrained_geodesic_rewire,1.0,1.0,-5.348781180381774,-16.775727383295695,False,False,False,False
