layer,source_mean_delta_auc,target_mean_delta_auc,both_splits_positive_mean_delta,both_splits_fisher_sig_upper
0,0.004767731551910422,0.0047203598647641565,True,False
1,0.0011775627639771802,0.00914704028422438,True,False
2,0.0014070910459560808,0.007722041885346161,True,False
3,0.006861045231638552,0.012004621343122116,True,True
4,0.01112326338035711,0.017638463327569315,True,True
5,0.005351197956529015,0.013638186923385512,True,True
6,0.0029712692008478556,0.01707006508981453,True,False
7,0.0017114227131424335,0.017314446837700153,True,False
8,0.005561041137137401,0.021536352206345866,True,True
9,0.008853964894377656,0.01611655492521913,True,True
10,0.007050415906821724,0.009868809136169499,True,True
11,0.005410646962667613,0.011470352280503119,True,True
