domain,seed_tag,layer,sample_size,pca_dim,bootstrap_idx,h1_observed,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_delta_z,p_h1_upper
immune,seed42_main,0,120,10,0,12.107673645019531,7.64042682449023,1.7445702870744402,4.467246820529302,2.5606574014624544,0.04
immune,seed42_main,0,120,10,1,10.139428853988647,6.935278137524922,1.5928083260382533,3.204150716463725,2.0116360908419417,0.04
immune,seed42_main,0,120,10,2,13.48270559310913,5.914256349205971,1.514235997133584,7.56844924390316,4.998196617457169,0.04
immune,seed42_main,0,120,10,3,12.094010353088379,5.818143104513486,1.6165474090465695,6.275867248574893,3.8822661244399246,0.04
immune,seed42_main,0,120,14,0,6.238889217376709,5.051299249132474,1.3483799851065341,1.187589968244235,0.8807531856605328,0.2
immune,seed42_main,0,120,14,1,9.896889686584473,6.562079101800919,2.0863208730664833,3.334810584783554,1.5984169195813194,0.12
immune,seed42_main,0,120,14,2,4.637689113616943,4.055973410606384,1.3323272965615849,0.5817157030105591,0.436616215906715,0.28
immune,seed42_main,0,120,14,3,8.639402866363525,4.9242984354496,1.5453459180498248,3.715104430913925,2.4040600781462595,0.04
immune,seed42_main,0,180,10,0,12.611540794372559,7.804123543202877,1.3111611349144734,4.8074172511696815,3.66653427979829,0.04
immune,seed42_main,0,180,10,1,13.51778244972229,12.152356718977293,2.4233877190210853,1.365425730744997,0.5634367622912263,0.4
immune,seed42_main,0,180,10,2,15.476643562316895,9.167203538119793,1.408441619349127,6.309440024197102,4.479731309440505,0.04
immune,seed42_main,0,180,10,3,12.009487390518188,8.656272888183594,2.087305938072143,3.3532145023345947,1.6064796441987697,0.08
immune,seed42_main,0,180,14,0,16.197636604309082,6.889763491849105,1.7351130793355225,9.307873112459976,5.364418733250568,0.04
immune,seed42_main,0,180,14,1,13.254573822021484,7.048520058393478,1.7369492224529044,6.206053763628006,3.572962110712085,0.04
immune,seed42_main,0,180,14,2,15.020820617675781,9.05482297639052,1.6947830736839287,5.965997641285261,3.5202131354762907,0.04
immune,seed42_main,0,180,14,3,13.614431619644165,11.31153666973114,2.431301200706678,2.302894949913025,0.9471862014860533,0.2
immune,seed42_main,1,120,10,0,5.028199672698975,3.4842753460009894,1.2089784102950334,1.5439243266979852,1.277048715075205,0.16
immune,seed42_main,1,120,10,1,14.048404455184937,5.738707055648168,1.068253889945262,8.30969739953677,7.778766330711697,0.04
immune,seed42_main,1,120,10,2,8.996071338653564,5.084767783681552,1.382378611662759,3.9113035549720125,2.829401091093271,0.04
immune,seed42_main,1,120,10,3,7.437121391296387,4.254211177428563,1.0047923024258967,3.1829102138678236,3.167729492966367,0.04
immune,seed42_main,1,120,14,0,4.396322250366211,5.104847987492879,1.0741800917030915,-0.708525737126668,-0.6595967863672818,0.76
immune,seed42_main,1,120,14,1,10.427953720092773,4.922921349604924,0.9886781173939678,5.505032370487849,5.568073438734898,0.04
immune,seed42_main,1,120,14,2,5.263614654541016,4.005470762650172,1.4764960558332396,1.2581438918908434,0.8521146304916561,0.2
immune,seed42_main,1,120,14,3,7.559351921081543,4.537344733874003,1.2694291422341304,3.0220071872075396,2.380603284015016,0.04
immune,seed42_main,1,180,10,0,15.560635089874268,9.32221889992555,1.8708812668155614,6.238416189948717,3.3344800107131776,0.04
