seed_tag,layer,n_settings,delta_min,delta_max,delta_range,delta_std_across_settings,all_settings_positive,positive_setting_fraction
seed42_main,0,4,2.2048051717380686,5.945704866821567,3.740899695083498,1.669117352201432,True,1.0
seed43,0,4,2.8085545860230927,8.293230985601742,5.48467639957865,2.2557764630584214,True,1.0
seed44,0,4,2.7998155020177364,6.39262666242818,3.5928111604104433,1.5351615985433673,True,1.0
seed42_main,1,4,2.269164428114891,6.26266685500741,3.993502426892519,1.7877383652698797,True,1.0
seed43,1,4,2.979540114601453,5.217063536246618,2.2375234216451654,1.0334301895053426,True,1.0
seed44,1,4,2.6242821017901106,5.831441781173149,3.2071596793830386,1.5027070036403194,True,1.0
seed42_main,2,4,1.1875109883646169,5.377322051930009,4.189811063565392,1.8967645172031615,True,1.0
seed43,2,4,2.222216649601857,4.236521864930789,2.014305215328932,0.8586583758368652,True,1.0
seed44,2,4,2.3345083122452097,6.296441631391645,3.9619333191464357,1.7942569240598045,True,1.0
seed42_main,3,4,3.223436765372753,4.973298406849305,1.749861641476552,0.9209850980474265,True,1.0
seed43,3,4,2.178955065707366,6.049468113109469,3.8705130474021034,1.6064457171505238,True,1.0
seed44,3,4,2.537322286516428,5.678813148289919,3.141490861773491,1.3494048219103363,True,1.0
seed42_main,4,4,1.3072675509999196,6.466667336722216,5.159399785722296,2.1603705600548295,True,1.0
seed43,4,4,3.270490775505701,7.9781908839941025,4.707700108488401,2.0927419578458464,True,1.0
seed44,4,4,3.106496469428142,6.066749341165027,2.9602528717368846,1.251832763773626,True,1.0
seed42_main,5,4,3.8881061015029745,6.2316226772964,2.3435165757934255,0.9572225793685104,True,1.0
seed43,5,4,0.5743166580796244,8.113855816423893,7.539539158344269,3.349698764568927,True,1.0
seed44,5,4,2.8183253140499196,7.101580016314983,4.283254702265063,1.834986474487074,True,1.0
seed42_main,6,4,2.0941509318848452,8.187920436263084,6.093769504378239,2.5262259281888766,True,1.0
seed43,6,4,2.504939891397953,5.966897266916931,3.4619573755189776,1.666675352826026,True,1.0
seed44,6,4,2.5344769085446996,5.812837368498245,3.2783604599535456,1.401210568937533,True,1.0
seed42_main,7,4,2.6588594714800515,5.970910631120205,3.3120511596401534,1.4165666979978768,True,1.0
seed43,7,4,2.9267715352276964,7.354339441284537,4.427567906056841,1.8607079321837294,True,1.0
seed44,7,4,2.6854480082790055,4.098408634463946,1.4129606261849408,0.6583645788349713,True,1.0
seed42_main,8,4,3.0570890828967094,7.634551854804158,4.577462771907449,2.0213601531576235,True,1.0
seed43,8,4,2.9222676760206623,5.996730745459596,3.0744630694389334,1.422282204449831,True,1.0
seed44,8,4,2.5443025374164185,7.232588664939005,4.688286127522586,1.9622464868081353,True,1.0
seed42_main,9,4,3.4439672523488603,5.053850832084815,1.6098835797359548,0.7623444958632746,True,1.0
seed43,9,4,1.4872150986144943,4.512645135944089,3.0254300373295946,1.4513067321018969,True,1.0
seed44,9,4,2.538351881007353,3.6729684490710497,1.1346165680636968,0.5400403237003234,True,1.0
seed42_main,10,4,1.8225123652567468,2.9678088858102756,1.1452965205535288,0.4857517005158331,True,1.0
seed43,10,4,1.5752577235301335,3.0836390502129993,1.5083813266828658,0.7228791423373365,True,1.0
seed44,10,4,1.0661205630749464,4.3273795035978155,3.261258940522869,1.4096807436663183,True,1.0
seed42_main,11,4,1.352005415596068,2.5451720921943584,1.1931666765982905,0.6281867784471424,True,1.0
seed43,11,4,0.8051002354671557,1.9417310431599617,1.136630807692806,0.5629150774947899,True,1.0
seed44,11,4,0.513160570214192,2.2686663872251907,1.7555058170109987,0.7526976262210945,True,1.0
