split_regime,layer,n_seed_rows,mean_auc_slope,positive_auc_slope_fraction,fisher_p_auc_slope_upper,mean_delta_slope,positive_delta_slope_fraction,fisher_p_delta_slope_upper,mean_auc_low,mean_auc_medium,mean_auc_high
source_disjoint,0,3,-0.08421850694729077,0.0,0.9999999298184801,-0.02349071318166439,0.0,0.9257412144728585,0.56922084227742,0.4965544188689968,0.40078382838283827
source_disjoint,1,3,-0.07503187358754272,0.0,0.9999999301685859,-0.019219819615752868,0.0,0.8906402389739787,0.6032403148318513,0.5526072747939755,0.4531765676567656
source_disjoint,2,3,-0.05238265029354824,0.0,0.9999965591604443,-0.014085142765131746,0.0,0.8311584284549387,0.5855821322702649,0.5297669792554702,0.4808168316831683
source_disjoint,3,3,-0.08931439084570825,0.0,0.9999998333304096,-0.02585927432357414,0.0,0.9452983331804881,0.5985957783910866,0.5211352657004831,0.41996699669966997
source_disjoint,4,3,-0.09624302184128254,0.0,0.9999999974104242,-0.02785442172102832,0.0,0.9512656147119772,0.6052335684350404,0.4966965046888321,0.4127475247524752
source_disjoint,5,3,-0.10774537665358071,0.0,1.0,-0.030163584806202764,0.0,0.9677922205546411,0.6038983440662374,0.5014563796533106,0.388407590759076
source_disjoint,6,3,-0.08753256305391344,0.0,1.0,-0.02371441288123168,0.0,0.9201234775764378,0.6092647960748238,0.5307971014492754,0.4341996699669967
source_disjoint,7,3,-0.07618527492123632,0.0,0.9999999792445061,-0.020800460317882113,0.0,0.9017924631377183,0.5939959623837269,0.5308326229042342,0.44162541254125415
source_disjoint,8,3,-0.03349101872008723,0.3333333333333333,0.949399770114636,-0.007871289279973286,0.3333333333333333,0.7811010026561425,0.568013390575488,0.5383631713554987,0.5010313531353136
source_disjoint,9,3,-0.05961385581980453,0.0,0.9999105835926289,-0.016388210297750016,0.0,0.8824082304005035,0.5707541142798732,0.5307971014492754,0.45152640264026395
source_disjoint,10,3,-0.06983902162065332,0.0,0.9997922041925816,-0.02195729286849051,0.0,0.9154457372269448,0.5423183072677094,0.5125390736004546,0.40264026402640263
source_disjoint,11,3,-0.0937296322778552,0.0,1.0,-0.026500207997900385,0.0,0.9531778518630062,0.5756605846877236,0.5027351520318272,0.3882013201320132
target_disjoint,0,3,-0.005357794458779648,0.3333333333333333,0.19458525159495096,0.0002855281583827047,0.3333333333333333,0.6210305771719433,0.526021711366539,0.513095238095238,0.5153061224489796
target_disjoint,1,3,-0.0779421442906665,0.0,1.0,-0.023531827298174473,0.0,0.9286723674773828,0.5525679620507207,0.5345238095238095,0.39668367346938777
target_disjoint,2,3,-0.08499491750723275,0.0,0.9993379358185036,-0.027352365755470013,0.0,0.9215850982579618,0.533935413245758,0.518452380952381,0.36394557823129253
target_disjoint,3,3,-0.03366581306852241,0.0,0.9972711920685399,-0.009821834992100443,0.0,0.7736975077993167,0.5201377485860245,0.5214285714285715,0.4528061224489796
target_disjoint,4,3,-0.05319349962207103,0.0,0.9999943205874737,-0.017350272340689084,0.0,0.8502054963375794,0.5205026455026455,0.5220238095238096,0.4141156462585034
target_disjoint,5,3,-0.07535121328224771,0.0,0.9955422228946813,-0.02206432435033943,0.0,0.8911945690386631,0.5376071884692574,0.5541666666666666,0.38690476190476186
target_disjoint,6,3,-0.08488821773920295,0.0,1.0,-0.025893166323907413,0.0,0.943300759989185,0.5332968436416712,0.5226190476190476,0.36352040816326525
target_disjoint,7,3,-0.06231022102327516,0.0,0.9681578453927242,-0.01649509831045519,0.3333333333333333,0.8747803612230934,0.5655218025907681,0.5410714285714286,0.44090136054421764
target_disjoint,8,3,-0.07963305053822294,0.0,1.0,-0.026235345916697836,0.0,0.950234283895573,0.5134327677431125,0.5089285714285715,0.3541666666666667
target_disjoint,9,3,-0.04749605781009716,0.0,0.9999357382699972,-0.014424133536181237,0.0,0.8384504705552592,0.5273900748038679,0.5244047619047619,0.43239795918367346
target_disjoint,10,3,-0.06472929209998171,0.0,0.9979091942556207,-0.01680006722275497,0.0,0.8619909561274676,0.5550538222952016,0.5035714285714286,0.42559523809523814
target_disjoint,11,3,-0.08254082284254692,0.0,0.9999954310872206,-0.025833029589988718,0.0,0.9215202124018912,0.5252006933041417,0.49166666666666664,0.3601190476190476
