domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,mean_gene_reconstruction_error,std_gene_reconstruction_error,mean_edge_reconstruction_error,mean_edge_absdiff_reconstruction_error,positive_edge_recon_mean,negative_edge_recon_mean,delta_edge_recon_pos_minus_neg,auc_edge_recon_mean,auc_edge_recon_absdiff,p_auc_edge_recon_upper,p_auc_edge_recon_two_sided,p_delta_pos_minus_neg_upper,p_delta_pos_minus_neg_two_sided
immune,seed42_main,source_disjoint,0,1527,364,340,32,0.20049460389518012,0.13082886854180137,0.20663964482925315,0.14319453639655738,0.22385393432918543,0.20125185344664318,0.022602080882542258,0.5717947143140608,0.4701227405440647,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed43,source_disjoint,0,1527,364,340,32,0.19316369152512725,0.13304905354152696,0.19733193906991872,0.1457824842675927,0.21184646276084418,0.19278913027929373,0.01905733248155045,0.5621698808500184,0.46154436706887264,0.0024937655860349127,0.0024937655860349127,0.004987531172069825,0.004987531172069825
immune,seed44,source_disjoint,0,1527,364,340,32,0.18947134987701864,0.13696773948324542,0.19436769805324777,0.15144666025979514,0.2067004518753993,0.19050774758784522,0.016192704287554066,0.5497706291988322,0.4542616669658802,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.004987531172069825
immune,seed42_main,source_disjoint,1,1527,364,340,32,0.18924501026627283,0.12574698673595652,0.18905331607890694,0.1330027060695956,0.20277729725167795,0.18475793418132427,0.018019363070353678,0.560526962289645,0.474155036708777,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed43,source_disjoint,1,1527,364,340,32,0.18119930359809863,0.12476668595789497,0.1857245966279406,0.13523178888596138,0.20677042343266414,0.17913759666498327,0.027632826767680863,0.5998211805391513,0.49795550537167044,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed44,source_disjoint,1,1527,364,340,32,0.17609167147371482,0.12733195923954654,0.18158210891945142,0.14079438413224055,0.19655527597363795,0.17689575224900955,0.019659523724628397,0.5688053348199522,0.44636715391229576,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed42_main,source_disjoint,2,1527,364,340,32,0.18023681434503502,0.12183703842782943,0.17858321504720454,0.12758884205132412,0.18611741867822304,0.17622513239742746,0.009892286280795581,0.5328678200561261,0.47011329169540694,0.02743142144638404,0.02743142144638404,0.0199501246882793,0.03740648379052369
immune,seed43,source_disjoint,2,1527,364,340,32,0.17079387878376956,0.11937698712408232,0.17194246578326994,0.1263917461694105,0.18343819769222178,0.16834448950222225,0.015093708189999527,0.5574454565211229,0.45266953596704246,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed44,source_disjoint,2,1527,364,340,32,0.16603963345378542,0.11871505230257737,0.1694249746478216,0.13418179788248563,0.18688661941175436,0.16395976510863708,0.022926854303117278,0.5829880566552966,0.4512309487588937,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed42_main,source_disjoint,3,1527,364,340,32,0.1730378285642734,0.11790500521178046,0.1727613653890215,0.12156160466126079,0.18048884504482154,0.17034279050104967,0.010146054543771876,0.5390284693810059,0.4632912229644818,0.00997506234413965,0.00997506234413965,0.00997506234413965,0.029925187032418952
immune,seed43,source_disjoint,3,1527,364,340,32,0.1659289927193605,0.1140748044757904,0.17203343072035548,0.12946700469128042,0.18480417660696632,0.16803639589427952,0.01676778071268681,0.5592808953728988,0.46953809303336386,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed44,source_disjoint,3,1527,364,340,32,0.15989657452480335,0.11597556381007525,0.1670332110465223,0.13282479629669436,0.1755057131319444,0.16438145630955442,0.011124256822389988,0.5367855489308627,0.46650737482637744,0.014962593516209476,0.014962593516209476,0.00997506234413965,0.029925187032418952
immune,seed42_main,source_disjoint,4,1527,364,340,32,0.16341090489637244,0.11495997735596948,0.1626644556858275,0.12024522946793459,0.17626216278948612,0.15840859550893005,0.017853567280556065,0.5709891999659842,0.47872355503481906,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed43,source_disjoint,4,1527,364,340,32,0.1556554598913512,0.10872758975960001,0.15844634438796462,0.12334196552964453,0.17085328974905373,0.15456317318294618,0.016290116566107543,0.5666415484773181,0.4725428269065414,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.004987531172069825
immune,seed44,source_disjoint,4,1527,364,340,32,0.14722294713252446,0.10776808211234738,0.15242756298540852,0.11976143631159246,0.16731827455082535,0.14776701353587135,0.019551261014953997,0.5874927952528984,0.4561349012122872,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed42_main,source_disjoint,5,1527,364,340,32,0.159758879225208,0.11523254311772267,0.1563507518012753,0.11474289310918813,0.166006639049791,0.15332861684129276,0.01267802220849823,0.5524056768682737,0.46829911275311104,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127
immune,seed43,source_disjoint,5,1527,364,340,32,0.1496331862758101,0.10745299821064153,0.14955808231728654,0.11883856047834125,0.1548482215837799,0.14790235515219316,0.0069458664315867336,0.5298831649863465,0.46430815530127656,0.034912718204488775,0.034912718204488775,0.059850374064837904,0.11970074812967581
immune,seed44,source_disjoint,5,1527,364,340,32,0.13934617264733237,0.10356094470579914,0.14456603691718237,0.11414514601173828,0.15227546028603461,0.1421531133520386,0.010122346933996024,0.5490761388224845,0.452166384776015,0.0024937655860349127,0.0024937655860349127,0.00997506234413965,0.017456359102244388
immune,seed42_main,source_disjoint,6,1527,364,340,32,0.15336487598240722,0.11350645408398684,0.15156492975222602,0.11450436691687339,0.15679582479139234,0.14992774506240958,0.006868079728982762,0.5321662430432852,0.4681526555989153,0.034912718204488775,0.034912718204488775,0.06733167082294264,0.11471321695760599
immune,seed43,source_disjoint,6,1527,364,340,32,0.14133032252924477,0.10302472705769028,0.13984500172224365,0.11059650938352736,0.1459210982271093,0.13794328278176976,0.007977815445339542,0.5403572137235078,0.46001601579847495,0.0199501246882793,0.0199501246882793,0.03740648379052369,0.059850374064837904
immune,seed44,source_disjoint,6,1527,364,340,32,0.13351093958564897,0.10025331730053019,0.13988112034286754,0.1125742588798105,0.1451785165736526,0.13822312186650831,0.006955394707144291,0.5355902695756521,0.46022389046894635,0.017456359102244388,0.017456359102244388,0.05236907730673317,0.10224438902743142
immune,seed42_main,source_disjoint,7,1527,364,340,32,0.14929307477084078,0.11195650015097171,0.14884235765890708,0.11362356764237289,0.1519921763824655,0.1478565158572087,0.0041356605252568235,0.5200504568518326,0.4541636351610556,0.1396508728179551,0.1396508728179551,0.19201995012468828,0.36159600997506236
immune,seed43,source_disjoint,7,1527,364,340,32,0.13688233367529878,0.10251180187503604,0.134395486074643,0.10687008678851516,0.13811929965773587,0.13322999325929838,0.004889306398437487,0.5266563831697109,0.44794274942598244,0.06234413965087282,0.06234413965087282,0.10723192019950124,0.2119700748129676
immune,seed44,source_disjoint,7,1527,364,340,32,0.12938382896763584,0.09822107297689556,0.13457854019162205,0.10994797099628455,0.13719480226835923,0.1337596929036321,0.003435109364727129,0.5231036160743814,0.4432254117335802,0.0798004987531172,0.0798004987531172,0.2194513715710723,0.4389027431421446
immune,seed42_main,source_disjoint,8,1527,364,340,32,0.14084991143993808,0.10642075664129441,0.13986789818854237,0.10462515246038487,0.14337109966258793,0.13877145335917646,0.004599646303411475,0.519556754509463,0.47779048122986223,0.1172069825436409,0.1172069825436409,0.14214463840399003,0.2718204488778055
immune,seed43,source_disjoint,8,1527,364,340,32,0.13067327893466474,0.09606082837034752,0.1305525238505796,0.10150942260373731,0.13450746136317596,0.12931469302118573,0.005192768341990228,0.5333768767775646,0.4577813630909074,0.04738154613466334,0.04738154613466334,0.10723192019950124,0.19451371571072318
immune,seed44,source_disjoint,8,1527,364,340,32,0.12072561151160288,0.09287055658571539,0.1270169226823502,0.1027786683463127,0.13183187181612444,0.12550992226558857,0.00632194955053586,0.5393438247049598,0.461667202101424,0.022443890274314215,0.022443890274314215,0.06733167082294264,0.12967581047381546
immune,seed42_main,source_disjoint,9,1527,364,340,32,0.12194747464565728,0.09434894952752972,0.1195162459596413,0.09334390385505312,0.11644314191790052,0.12047807731922311,-0.00403493540132259,0.47598575113622404,0.4775589844377463,0.9376558603491272,0.9376558603491272,0.885286783042394,0.26433915211970077
immune,seed43,source_disjoint,9,1527,364,340,32,0.1130717341360459,0.08817831137556853,0.10900853800811637,0.08926876007766685,0.10555206334480448,0.11009035810910135,-0.004538294764296874,0.48296963140041393,0.4403246151956384,0.8453865336658354,0.8453865336658354,0.9226932668329177,0.16708229426433915
immune,seed44,source_disjoint,9,1527,364,340,32,0.1018013214743505,0.08011541622027725,0.10546938311306432,0.08782378100794598,0.10588140429001554,0.10534042721589303,0.0005409770741225117,0.5095563293112735,0.46728454262848074,0.26683291770573564,0.26683291770573564,0.38154613466334164,0.8453865336658354
immune,seed42_main,source_disjoint,10,1527,364,340,32,0.09349992647454577,0.0738313166064837,0.08798534622879872,0.07186591138632183,0.0864309610321594,0.08847184340126366,-0.002040882369104255,0.4831432539945008,0.4760377198038419,0.8428927680798005,0.8428927680798005,0.7680798004987531,0.4488778054862843
immune,seed43,source_disjoint,10,1527,364,340,32,0.08449124417026829,0.06735578691583756,0.07716662726378813,0.0663038546287571,0.07305603046355863,0.07845317690719616,-0.005397146443637535,0.4670861168066672,0.46157507582701046,0.9675810473815462,0.9675810473815462,0.9750623441396509,0.032418952618453865
immune,seed44,source_disjoint,10,1527,364,340,32,0.07398090552229672,0.05893605168556459,0.07225410887185924,0.060960016929326274,0.06925616286135537,0.0731924169955251,-0.003936254134169731,0.4778979618833445,0.4693892736670037,0.9226932668329177,0.9226932668329177,0.970074812967581,0.06982543640897755
