domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
external_lung,seed42_main,source_disjoint,0,early,15011,3806,2397,0.547631795354478,0.047631795354478035,0.08515173789814637,0.06285191153346613
external_lung,seed42_main,source_disjoint,1,early,15011,3806,2397,0.5396525906275889,0.03965259062758886,0.07839554059417976,0.05811861724704393
external_lung,seed42_main,source_disjoint,2,early,15011,3806,2397,0.5259522705758516,0.025952270575851588,0.0755657897818524,0.05709128373149342
external_lung,seed42_main,source_disjoint,3,early,15011,3806,2397,0.5492131309145029,0.049213130914502856,0.07306040618362383,0.055237679146279646
external_lung,seed42_main,source_disjoint,4,mid,15011,3806,2397,0.5272576849114212,0.02725768491142122,0.06788812987262945,0.05178187632966139
external_lung,seed42_main,source_disjoint,5,mid,15011,3806,2397,0.5358313384324945,0.03583133843249453,0.06588012036016452,0.05015843432171484
external_lung,seed42_main,source_disjoint,6,mid,15011,3806,2397,0.5519026300800798,0.05190263008007978,0.06315417254330467,0.04828876244783646
external_lung,seed42_main,source_disjoint,7,mid,15011,3806,2397,0.5223228524537809,0.02232285245378085,0.0603283728786097,0.04574720125811241
external_lung,seed42_main,source_disjoint,8,late,15011,3806,2397,0.5218495867043816,0.02184958670438164,0.05594872314299562,0.042985624987232796
external_lung,seed42_main,source_disjoint,9,late,15011,3806,2397,0.5145651678940906,0.01456516789409057,0.04700126269834324,0.03639092514390292
external_lung,seed42_main,source_disjoint,10,late,15011,3806,2397,0.5170142237660866,0.017014223766086634,0.03480191638296026,0.02834694685039688
external_lung,seed42_main,source_disjoint,11,late,15011,3806,2397,0.5064227834441638,0.006422783444163804,0.02657134461819546,0.021595403921103384
external_lung,seed42_main,target_disjoint,0,early,14992,3765,1642,0.5531000548738805,0.053100054873880476,0.0913592169143055,0.06757918907262923
external_lung,seed42_main,target_disjoint,1,early,14992,3765,1642,0.5384282057660513,0.03842820576605133,0.08537623988908666,0.0630730294631127
external_lung,seed42_main,target_disjoint,2,early,14992,3765,1642,0.5341175247349429,0.034117524734942895,0.08160956035423675,0.061486987913061925
external_lung,seed42_main,target_disjoint,3,early,14992,3765,1642,0.5398975813736828,0.03989758137368282,0.07853952410088898,0.059353381304478814
external_lung,seed42_main,target_disjoint,4,mid,14992,3765,1642,0.5388869509344233,0.03888695093442329,0.0723094517175563,0.05473887555538551
external_lung,seed42_main,target_disjoint,5,mid,14992,3765,1642,0.529931306512911,0.029931306512910982,0.07089516924597981,0.05435593386855152
