domain,seed_tag,split_regime,layer,n_edges_total_split,n_edges_in_knn_graph,n_positive_in_knn_graph,graph_nodes,graph_edges,mean_graph_degree,auc_neg_curvature,slope_pos_rate_vs_neg_curvature_bin,delta_top_minus_bottom_pos_rate,p_auc_upper,p_slope_upper,p_delta_upper,null_mean_auc,null_mean_slope,null_mean_delta
external_lung,seed42_main,source_disjoint,0,15011,227,85,2397,36138,30.152690863579473,0.37336371168185584,-0.0882277628032345,-0.23214285714285715,1.0,1.0,0.9966777408637874,0.4988389947528306,-0.0011684620627691118,-0.0079064039408867
external_lung,seed43,source_disjoint,0,15019,222,69,2398,36047,30.06422018348624,0.2983328597139339,-0.1312559175717071,-0.3659147869674186,1.0,1.0,1.0,0.4982932335575132,-0.0018398947705964867,-0.005958646616541338
external_lung,seed44,source_disjoint,0,15019,232,78,2396,35969,30.024207011686144,0.3454045954045954,-0.09800632028998978,-0.29556650246305416,1.0,1.0,1.0,0.5040011377511378,0.002625083909078747,0.005307425652253258
external_lung,seed42_main,source_disjoint,3,15011,241,83,2397,36073,30.09845640383813,0.3375781607442428,-0.11559210526315787,-0.37916666666666665,1.0,1.0,1.0,0.5017849880534798,0.001569243421052665,0.004572916666666664
external_lung,seed43,source_disjoint,3,15019,221,72,2398,36081,30.092577147623018,0.3408836689038031,-0.10688276080848362,-0.30970724191063176,1.0,1.0,1.0,0.4997306114839671,-2.2420221298550396e-05,0.0009542886492039019
external_lung,seed44,source_disjoint,3,15019,231,79,2396,35983,30.035893155258766,0.3065456362425051,-0.1257660515988979,-0.3527177089421391,1.0,1.0,1.0,0.49794373195647346,-0.0009172719935431441,-0.004521722189752581
external_lung,seed42_main,source_disjoint,7,15011,225,81,2397,36018,30.05256570713392,0.35018004115226337,-0.09592861626759924,-0.312046004842615,1.0,1.0,1.0,0.500430955647005,0.00036346142348970954,-0.0002552461662631152
external_lung,seed43,source_disjoint,7,15019,207,74,2398,36019,30.040867389491243,0.3451026214184109,-0.09111059260754042,-0.2556149732620321,1.0,1.0,1.0,0.4975836550836551,-0.0016723417583156322,-0.0068781937017231105
external_lung,seed44,source_disjoint,7,15019,215,78,2396,35794,29.87813021702838,0.3804510574583567,-0.07983498560921015,-0.22737448033258717,1.0,0.9966777408637874,0.9933554817275747,0.498955798864558,-8.532565824534979e-05,-0.0022097857371282375
external_lung,seed42_main,source_disjoint,11,15011,236,70,2397,36497,30.452231956612433,0.39251290877796896,-0.05970470708359667,-0.16184649610678528,0.9966777408637874,0.9900332225913622,0.973421926910299,0.5005754446356857,0.0011954734123255529,0.0019688542825361545
