domain,split_regime,layer,diffusion_t,source,target,source_idx,target_idx,label,diffusion_score,geodesic_score,euclidean_score,prior_support_count,dorothea_support,go_shared,source_is_tf,trrust_support_bookkeeping,source_degree,target_degree,mean_degree
external_lung,source_disjoint,3,1,ABL1,BAX,1250,7985,1,-0.2020987766199829,-6.109923958825204,-6.109923958825204,1,0,1,0,1,8.0,19.0,13.5
external_lung,source_disjoint,3,1,ABL1,BCL2,1250,4340,1,-0.16286533829817054,-5.569301983937659,-5.569301983937659,1,0,1,0,1,8.0,24.0,16.0
external_lung,source_disjoint,3,1,ABL1,BCL6,1250,513,1,-0.19812797659674797,-7.680414129757034,-7.680414129757034,1,0,1,0,1,8.0,12.0,10.0
external_lung,source_disjoint,3,1,ABL1,CCND2,1250,1483,1,-0.19050040999111598,-7.11630398804723,-7.11630398804723,1,0,1,0,1,8.0,20.0,14.0
external_lung,source_disjoint,3,1,ABL1,CDKN1A,1250,307,1,-0.21796158514350158,-9.629934851177245,-9.629934851177245,1,0,1,0,1,8.0,60.0,34.0
external_lung,source_disjoint,3,1,ABL1,JUN,1250,6756,1,-0.243966524508453,-9.481534841401247,-9.481534841401247,1,0,1,0,1,8.0,23.0,15.5
external_lung,source_disjoint,3,1,ABL1,MEF2D,1250,3114,0,-0.19096289616948672,-5.559963110293015,-5.559963110293015,1,0,1,0,0,8.0,6.0,7.0
external_lung,source_disjoint,3,1,ABL1,TP53,1250,8046,1,-0.19804878106811158,-6.838145941601739,-6.838145941601739,1,0,1,0,1,8.0,25.0,16.5
external_lung,source_disjoint,3,1,ANKRD1,EPO,518,5797,0,-1.0174081261251242,-19.853725231419148,-19.853725231419148,1,0,1,0,0,4.0,14.0,9.0
external_lung,source_disjoint,3,1,ANKRD1,KLK3,518,3096,0,-1.0174081261251242,-19.853725231419148,-19.853725231419148,1,0,1,0,0,4.0,18.0,11.0
external_lung,source_disjoint,3,1,ANKRD1,RARB,518,2137,0,-0.22420576956157517,-8.360295905312364,-8.360295905312364,1,0,1,0,0,4.0,7.0,5.5
external_lung,source_disjoint,3,1,ANKRD1,TIAL1,518,682,0,-0.23706928233836477,-10.951674160547375,-10.951674160547375,1,0,1,0,0,4.0,8.0,6.0
external_lung,source_disjoint,3,1,ARID1A,CDKN1A,3980,307,1,-0.2481674052056249,-10.594364919057014,-10.594364919057014,1,0,1,0,1,8.0,60.0,34.0
external_lung,source_disjoint,3,1,ARID1A,ESR1,3980,3614,0,-0.24489034304648405,-8.752101009244505,-8.752101009244505,1,0,1,0,0,8.0,20.0,14.0
external_lung,source_disjoint,3,1,ARID1A,HOXB7,3980,3536,0,-0.24974761897569464,-8.992234161333078,-8.992234161333078,1,0,1,0,0,8.0,5.0,6.5
external_lung,source_disjoint,3,1,ARID1A,IFNG,3980,2385,0,-0.27436728991235526,-13.233160631783493,-13.233160631783493,1,0,1,0,0,8.0,21.0,14.5
external_lung,source_disjoint,3,1,ARID1A,IL2RA,3980,5630,0,-0.2699198385987693,-11.77075699276957,-11.77075699276957,1,0,1,0,0,8.0,17.0,12.5
external_lung,source_disjoint,3,1,ARID1A,MYOCD,3980,269,0,-0.2741281715458615,-11.490557031400286,-11.490557031400286,1,0,1,0,0,8.0,2.0,5.0
external_lung,source_disjoint,3,1,ARID1A,NELFCD,3980,4005,0,-0.23850461643106702,-6.194085818060148,-6.194085818060148,1,0,1,0,0,8.0,5.0,6.5
external_lung,source_disjoint,3,1,ARID1A,SMAD3,3980,3345,1,-0.22289882562402133,-6.320612658296162,-6.320612658296162,1,0,1,0,1,8.0,5.0,6.5
external_lung,source_disjoint,3,1,ARID3A,E2F1,164,5059,1,-0.2284165823845213,-7.116966249256045,-7.116966249256045,2,0,1,1,1,2.0,22.0,12.0
external_lung,source_disjoint,3,1,ARID3A,RBL1,164,1943,1,-0.25234971821041746,-7.754413966550577,-7.754413966550577,2,0,1,1,1,2.0,8.0,5.0
external_lung,source_disjoint,3,1,ARNTL2,ETS1,3508,1283,0,-0.24377022582937866,-8.227564715080089,-8.227564715080089,1,0,1,0,0,3.0,9.0,6.0
external_lung,source_disjoint,3,1,ARNTL2,MYC,3508,4533,0,-0.22538380922919551,-9.214692966421548,-9.214692966421548,1,0,1,0,0,3.0,41.0,22.0
external_lung,source_disjoint,3,1,ARNTL2,SERPINE1,3508,5289,1,-0.27002807853699756,-10.501174419098005,-10.501174419098005,0,0,0,0,1,3.0,14.0,8.5
external_lung,source_disjoint,3,1,ARX,CLOCK,890,1292,0,-0.23628936217350266,-9.476397509628997,-9.476397509628997,2,0,1,1,0,7.0,9.0,8.0
external_lung,source_disjoint,3,1,ARX,CYP11A1,890,4272,0,-0.21962903622672492,-7.251492974125333,-7.251492974125333,2,0,1,1,0,7.0,16.0,11.5
external_lung,source_disjoint,3,1,ARX,HSD3B2,890,15,0,-1.0148700264295392,-19.748300819461733,-19.748300819461733,2,0,1,1,0,7.0,14.0,10.5
external_lung,source_disjoint,3,1,ARX,IRF2,890,3088,0,-0.22696763483062415,-8.066214759004634,-8.066214759004634,2,0,1,1,0,7.0,10.0,8.5
