domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,auc_thinness,auc_geodesic,delta_auc_thinness_minus_geodesic,p_auc_thinness_upper,null_mean_auc,null_std_auc
external_lung,seed42_main,source_disjoint,0,1157,467,260,24,24,True,0.4482698693479813,0.5753685255873134,-0.12709865623933214,0.6894409937888198,0.4531495360456817,0.01020865641020933
external_lung,seed42_main,source_disjoint,3,1157,467,260,24,24,True,0.4801896161127145,0.5944542717934395,-0.11426465568072497,0.2670807453416149,0.47354989060608876,0.011078458356972529
external_lung,seed42_main,source_disjoint,7,1157,467,260,24,24,True,0.4985724482512491,0.5883421779474288,-0.08976972969617975,0.09937888198757763,0.48423301097042487,0.011461297360011745
external_lung,seed42_main,source_disjoint,11,1157,467,260,24,24,True,0.4696521118455761,0.579427737951153,-0.1097756261055769,0.15527950310559005,0.45729806737423584,0.011355245742005282
external_lung,seed42_main,target_disjoint,0,1770,1037,260,24,24,True,0.46080229331909,0.511963226907295,-0.051160933588205004,0.9254658385093167,0.47514207853091806,0.009509557511646664
external_lung,seed42_main,target_disjoint,3,1770,1037,260,24,24,True,0.4692081918536654,0.5089294993823352,-0.039721307528669814,0.5217391304347826,0.4700788756000689,0.009267666647592149
external_lung,seed42_main,target_disjoint,7,1770,1037,260,24,24,True,0.45850792176508737,0.502081247590844,-0.04357332582575668,0.8819875776397516,0.4677473019098275,0.008686232308128065
external_lung,seed42_main,target_disjoint,11,1770,1037,260,24,24,True,0.46921542754377266,0.5026140574987403,-0.033398629954967674,0.8012422360248447,0.4770166443895117,0.00979391907981353
immune,seed42_main,source_disjoint,0,1340,321,260,24,24,True,0.49448943592001193,0.6045249297613261,-0.11003549384131417,0.2111801242236025,0.4835162672463077,0.013868362582290775
immune,seed42_main,source_disjoint,3,1340,321,260,24,24,True,0.49985172684722357,0.5955842115078309,-0.09573248466060735,0.024844720496894408,0.4756019011063929,0.01280903333542244
immune,seed42_main,source_disjoint,7,1340,321,260,24,24,True,0.4981519356525089,0.5867978807639277,-0.08864594511141877,0.13043478260869565,0.4849016754101969,0.012275723735110104
immune,seed42_main,source_disjoint,11,1340,321,260,24,24,True,0.5120590402294106,0.590772212694016,-0.07871317246460541,0.12422360248447205,0.494940704114045,0.013146906819722628
immune,seed42_main,target_disjoint,0,1465,357,227,24,24,True,0.482912659648697,0.5839881078785305,-0.1010754482298335,0.8198757763975155,0.4944508252308143,0.011321583148966011
immune,seed42_main,target_disjoint,3,1465,357,227,24,24,True,0.4742754502523031,0.5794185905409095,-0.10514314028860638,0.9813664596273292,0.49744932607519543,0.01086592463128073
immune,seed42_main,target_disjoint,7,1465,357,227,24,24,True,0.49728736259846895,0.5866767284531141,-0.08938936585464519,0.38509316770186336,0.4936058121353234,0.011061448379971592
immune,seed42_main,target_disjoint,11,1465,357,227,24,24,True,0.4678932945019163,0.5765226668284642,-0.1086293723265479,0.7950310559006211,0.47751575472246655,0.011459816260471016
lung,seed42_main,source_disjoint,0,1152,510,259,24,24,True,0.41755237920713456,0.5147440596176165,-0.09719168041048193,1.0,0.45526157152892316,0.011729652938091433
lung,seed42_main,source_disjoint,3,1152,510,259,24,24,True,0.44079775212265593,0.5125755909840571,-0.07177783886140121,0.9813664596273292,0.46448942680654814,0.0110034924643065
lung,seed42_main,source_disjoint,7,1152,510,259,24,24,True,0.4580630382994319,0.5257070429417874,-0.06764400464235548,0.9565217391304348,0.47712619685724766,0.010845536984799585
lung,seed42_main,source_disjoint,11,1152,510,259,24,24,True,0.45943741982774416,0.5124106652006597,-0.052973245372915534,0.9875776397515528,0.48375387499236455,0.010325806098441722
lung,seed42_main,target_disjoint,0,1500,831,259,24,24,True,0.44126154128420564,0.5334533105250755,-0.09219176924086986,0.9875776397515528,0.4660954765271009,0.009709658650285407
lung,seed42_main,target_disjoint,3,1500,831,259,24,24,True,0.41377561207254754,0.5205526145854131,-0.1067770025128656,1.0,0.44527640397597584,0.009382992553556459
lung,seed42_main,target_disjoint,7,1500,831,259,24,24,True,0.42630396500335466,0.522746200572365,-0.09644223556901033,1.0,0.45327160443861647,0.009199917919477826
lung,seed42_main,target_disjoint,11,1500,831,259,24,24,True,0.43916328949758876,0.5090855291677684,-0.06992223967017963,0.9751552795031055,0.4582289940982733,0.009094376682010864
