domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_baseline_covariates,auc_with_diffusion,delta_auc_diffusion_incremental,logloss_baseline_covariates,logloss_with_diffusion,gain_logloss_diffusion_incremental,null_mean_delta_auc,null_mean_gain_logloss,p_delta_auc_upper,p_gain_logloss_upper
external_lung,seed42_main,source_disjoint,0,1157,467,260,24,24,True,0.0,0.8105173323402539,0.8137324271483102,0.0032150948080562625,0.5115260099671052,0.5079627756389672,0.0035632343281379875,0.0027526533842286024,0.002698899432758338,0.2716049382716049,0.18518518518518517
external_lung,seed42_main,source_disjoint,3,1157,467,260,24,24,True,0.0,0.8094342550352233,0.8141420724327345,0.004707817397511249,0.5127326175086926,0.5079410576905118,0.004791559818180802,0.002902313564845023,0.002678709569431205,0.09876543209876543,0.08641975308641975
external_lung,seed42_main,source_disjoint,7,1157,467,260,24,24,True,0.0,0.8089315085497937,0.8139341464171553,0.005002637867361659,0.5130859575168183,0.5079413842302851,0.005144573286533172,0.0024833969524873075,0.0026963958987882798,0.06172839506172839,0.06172839506172839
external_lung,seed42_main,source_disjoint,11,1157,467,260,24,24,True,0.0,0.8073487881327003,0.8132824380101169,0.005933649877416625,0.5148869108014802,0.508866833172055,0.006020077629425136,0.0015010241132110385,0.0015038997911138885,0.012345679012345678,0.012345679012345678
external_lung,seed42_main,target_disjoint,0,1770,1037,260,24,24,True,0.0,0.850839537389442,0.8511329117337898,0.00029337434434784093,0.47508512724006347,0.47485256048690855,0.00023256675315491693,0.00057676672529767,0.000940728650143298,0.5802469135802469,0.9012345679012346
external_lung,seed42_main,target_disjoint,3,1770,1037,260,24,24,True,0.0,0.850789545348701,0.8512671008957784,0.0004775555470774018,0.4750962898733228,0.4747120941882632,0.0003841956850595962,0.0008039180604141244,0.0013551176718035872,0.6790123456790124,0.9506172839506173
external_lung,seed42_main,target_disjoint,7,1770,1037,260,24,24,True,0.0,0.8507645493283307,0.8511829037745307,0.0004183544461999755,0.4750826764110659,0.4747322301582828,0.0003504462527830765,0.0007079958322424501,0.0009933347823014194,0.6049382716049383,0.8024691358024691
external_lung,seed42_main,target_disjoint,11,1770,1037,260,24,24,True,0.0,0.8508868982701437,0.8516762462818419,0.0007893480116981655,0.47500721718182654,0.4741823632114122,0.0008248539704143187,0.000676964588532701,0.0009122986699881423,0.35802469135802467,0.4444444444444444
external_lung,seed43,source_disjoint,0,1213,483,259,24,24,True,0.0,0.8060750446694462,0.8071698006182819,0.0010947559488356795,0.5153212152379532,0.5144048110746977,0.0009164041632554465,0.0012359964831672788,0.0013201158926194583,0.4691358024691358,0.5308641975308642
external_lung,seed43,source_disjoint,3,1213,483,259,24,24,True,0.0,0.8058765137978955,0.8058509884001248,-2.5525397770675973e-05,0.5158039501745885,0.5157152062205473,8.874395404112612e-05,0.0009642219007913747,0.0014740646187060141,0.8765432098765432,0.9876543209876543
external_lung,seed43,source_disjoint,7,1213,483,259,24,24,True,0.0,0.8064834510337786,0.8072463768115943,0.0007629257778156706,0.5153428066815198,0.5144415713550512,0.0009012353264685746,0.0016143750531779077,0.0015772997338049488,0.7530864197530864,0.6790123456790124
external_lung,seed43,source_disjoint,11,1213,483,259,24,24,True,0.0,0.8054993051419495,0.8062026716583001,0.000703366516350612,0.5162574881557518,0.5154551615309378,0.0008023266248139427,0.0012983209960578668,0.0013812429706152498,0.7654320987654321,0.7530864197530864
external_lung,seed43,target_disjoint,0,1708,1007,260,24,24,True,0.0,0.8489078589672576,0.849094852438069,0.00018699347081141404,0.47538834706345645,0.475088609696609,0.00029973736684746344,0.000959811278256295,0.0012814977567865622,0.9382716049382716,0.9506172839506173
