domain,seed_tag,split_regime,perm_idx,null_breakpoint,null_improvement
external_lung,seed42_main,source_disjoint,0,2.0,0.0004047802861287084
external_lung,seed42_main,source_disjoint,1,2.0,0.0008124300685456124
external_lung,seed42_main,source_disjoint,2,4.0,0.00133927768674677
external_lung,seed42_main,source_disjoint,3,8.0,0.0011229275306336042
external_lung,seed42_main,source_disjoint,4,9.0,0.0009113919214022734
external_lung,seed42_main,source_disjoint,5,9.0,0.0012654407858074096
external_lung,seed42_main,source_disjoint,6,9.0,0.0011608947329763523
external_lung,seed42_main,source_disjoint,7,8.0,0.0009453961494113889
external_lung,seed42_main,source_disjoint,8,9.0,0.00105614844370572
external_lung,seed42_main,source_disjoint,9,3.0,0.0008039944284699248
external_lung,seed42_main,source_disjoint,10,1.0,0.0009119776756032121
external_lung,seed42_main,source_disjoint,11,8.0,0.0009749855288800754
external_lung,seed42_main,source_disjoint,12,1.0,0.0009987732123151784
external_lung,seed42_main,source_disjoint,13,2.0,0.0010615037759260824
external_lung,seed42_main,source_disjoint,14,3.0,0.0014059534162932557
external_lung,seed42_main,source_disjoint,15,2.0,0.000493533623207957
external_lung,seed42_main,source_disjoint,16,8.0,0.0010493691033715744
external_lung,seed42_main,source_disjoint,17,1.0,0.0010015139944865414
external_lung,seed42_main,source_disjoint,18,4.0,0.0006623395790010297
external_lung,seed42_main,source_disjoint,19,2.0,0.0021232068284243984
external_lung,seed42_main,source_disjoint,20,1.0,0.0008977492464620042
external_lung,seed42_main,source_disjoint,21,2.0,0.0010232837740779632
external_lung,seed42_main,source_disjoint,22,6.0,0.001510016973081692
external_lung,seed42_main,source_disjoint,23,1.0,0.0015767690993702067
external_lung,seed42_main,source_disjoint,24,9.0,0.0010991697032259199
external_lung,seed42_main,source_disjoint,25,1.0,0.0011967590890877811
external_lung,seed42_main,source_disjoint,26,8.0,0.0008061813248424318
external_lung,seed42_main,source_disjoint,27,1.0,0.0012179138117801207
external_lung,seed42_main,source_disjoint,28,3.0,0.0007472976503728301
external_lung,seed42_main,source_disjoint,29,4.0,0.0014401516606141096
external_lung,seed42_main,source_disjoint,30,5.0,0.001180189130474701
external_lung,seed42_main,source_disjoint,31,2.0,0.0010470291725298711
external_lung,seed42_main,source_disjoint,32,2.0,0.0009030769092287926
external_lung,seed42_main,source_disjoint,33,3.0,0.0007365962948202515
external_lung,seed42_main,source_disjoint,34,1.0,0.0003788203242548209
external_lung,seed42_main,source_disjoint,35,7.0,0.001073549445637458
external_lung,seed42_main,source_disjoint,36,7.0,0.0005816508662535268
external_lung,seed42_main,source_disjoint,37,6.0,0.0009076407578280155
external_lung,seed42_main,source_disjoint,38,1.0,0.0016186091243844737
external_lung,seed42_main,source_disjoint,39,3.0,0.0009037129125872849
external_lung,seed42_main,source_disjoint,40,2.0,0.0012167018118587345
external_lung,seed42_main,source_disjoint,41,5.0,0.0008679497277501993
external_lung,seed42_main,source_disjoint,42,6.0,0.001626454877792978
external_lung,seed42_main,source_disjoint,43,5.0,0.001710800445830905
external_lung,seed42_main,source_disjoint,44,3.0,0.0005747195671530726
external_lung,seed42_main,source_disjoint,45,1.0,0.0008355693758977311
external_lung,seed42_main,source_disjoint,46,1.0,0.0009781555253635084
external_lung,seed42_main,source_disjoint,47,9.0,0.001286396261885912
external_lung,seed42_main,source_disjoint,48,6.0,0.0016856013544753194
external_lung,seed42_main,source_disjoint,49,6.0,0.000558286249132672
external_lung,seed42_main,source_disjoint,50,5.0,0.0007333843035048616
external_lung,seed42_main,source_disjoint,51,3.0,0.0010287122192653444
external_lung,seed42_main,source_disjoint,52,3.0,0.0010810611771404353
external_lung,seed42_main,source_disjoint,53,9.0,0.00038322988951643123
external_lung,seed42_main,source_disjoint,54,4.0,0.001062352869426604
external_lung,seed42_main,source_disjoint,55,9.0,0.0006484901033072406
external_lung,seed42_main,source_disjoint,56,9.0,0.001128491010051811
external_lung,seed42_main,source_disjoint,57,1.0,0.0006373501354287243
external_lung,seed42_main,source_disjoint,58,1.0,0.0010959996044447612
external_lung,seed42_main,source_disjoint,59,4.0,0.0011698655846729977
external_lung,seed42_main,source_disjoint,60,6.0,0.000634706861305792
external_lung,seed42_main,source_disjoint,61,2.0,0.0008811838657571155
external_lung,seed42_main,source_disjoint,62,7.0,0.0007150061661595818
external_lung,seed42_main,source_disjoint,63,2.0,0.0006454305756462384
external_lung,seed42_main,source_disjoint,64,8.0,0.0010538685520844844
external_lung,seed42_main,source_disjoint,65,1.0,0.0008732581119757901
external_lung,seed42_main,source_disjoint,66,9.0,0.0004972906894989296
external_lung,seed42_main,source_disjoint,67,6.0,0.0008621032643118859
external_lung,seed42_main,source_disjoint,68,8.0,0.0008725644992653172
external_lung,seed42_main,source_disjoint,69,3.0,0.0011595329124710267
external_lung,seed42_main,source_disjoint,70,5.0,0.0015032431493495846
external_lung,seed42_main,source_disjoint,71,9.0,0.001225571045062995
external_lung,seed42_main,source_disjoint,72,8.0,0.0014758749079595546
external_lung,seed42_main,source_disjoint,73,1.0,0.0014945885500227904
external_lung,seed42_main,source_disjoint,74,5.0,0.0008815242711820946
external_lung,seed42_main,source_disjoint,75,4.0,0.0008659263365241691
external_lung,seed42_main,source_disjoint,76,9.0,0.0009141864877170269
external_lung,seed42_main,source_disjoint,77,7.0,0.0010722377673474885
external_lung,seed42_main,source_disjoint,78,7.0,0.001029720334018032
external_lung,seed42_main,source_disjoint,79,1.0,0.0012525792856763547
external_lung,seed42_main,source_disjoint,80,8.0,0.0012157065898680504
external_lung,seed42_main,source_disjoint,81,9.0,0.0007306809603948117
external_lung,seed42_main,source_disjoint,82,8.0,0.0007647042863249032
external_lung,seed42_main,source_disjoint,83,7.0,0.0014084131531619873
external_lung,seed42_main,source_disjoint,84,2.0,0.0012897486609051187
external_lung,seed42_main,source_disjoint,85,7.0,0.001433144299670178
external_lung,seed42_main,source_disjoint,86,7.0,0.0005516636744150145
external_lung,seed42_main,source_disjoint,87,8.0,0.00055672984528512
external_lung,seed42_main,source_disjoint,88,1.0,0.0010343277149440615
external_lung,seed42_main,source_disjoint,89,4.0,0.001082028647693875
external_lung,seed42_main,source_disjoint,90,4.0,0.0008228937110955413
external_lung,seed42_main,source_disjoint,91,2.0,0.0005498785050064904
external_lung,seed42_main,source_disjoint,92,3.0,0.001430674300711168
external_lung,seed42_main,source_disjoint,93,4.0,0.001395847274295147
external_lung,seed42_main,source_disjoint,94,6.0,0.0009029289337622727
external_lung,seed42_main,source_disjoint,95,9.0,0.0005592286956892273
external_lung,seed42_main,source_disjoint,96,9.0,0.0007690154066918922
external_lung,seed42_main,source_disjoint,97,1.0,0.0012092189489322327
external_lung,seed42_main,source_disjoint,98,9.0,0.0009472041661252569
external_lung,seed42_main,source_disjoint,99,9.0,0.0009406023979803434
external_lung,seed42_main,source_disjoint,100,1.0,0.0011453835938043649
external_lung,seed42_main,source_disjoint,101,6.0,0.0009259147316258154
external_lung,seed42_main,source_disjoint,102,9.0,0.0008566508995095992
external_lung,seed42_main,source_disjoint,103,4.0,0.0006318458716363193
external_lung,seed42_main,source_disjoint,104,6.0,0.0009990911453081177
external_lung,seed42_main,source_disjoint,105,1.0,0.0012143137964385896
external_lung,seed42_main,source_disjoint,106,2.0,0.0012849554039667584
external_lung,seed42_main,source_disjoint,107,9.0,0.0012152337323671062
external_lung,seed42_main,source_disjoint,108,4.0,0.0008662003113438675
external_lung,seed42_main,source_disjoint,109,6.0,0.00035909932122756526
external_lung,seed42_main,source_disjoint,110,5.0,0.001779112352490069
external_lung,seed42_main,source_disjoint,111,5.0,0.0005997363568740815
external_lung,seed42_main,source_disjoint,112,5.0,0.0009974421014734343
external_lung,seed42_main,source_disjoint,113,8.0,0.001889029569795656
external_lung,seed42_main,source_disjoint,114,1.0,0.0013974150419692865
external_lung,seed42_main,source_disjoint,115,2.0,0.0016044857277150168
external_lung,seed42_main,source_disjoint,116,7.0,0.0009216742442214969
external_lung,seed42_main,source_disjoint,117,2.0,0.0009429009076768114
external_lung,seed42_main,source_disjoint,118,7.0,0.0012806672290873278
external_lung,seed42_main,source_disjoint,119,8.0,0.0008563087677490979
external_lung,seed42_main,source_disjoint,120,1.0,0.0007698491397375848
external_lung,seed42_main,source_disjoint,121,6.0,0.00140981657176941
external_lung,seed42_main,source_disjoint,122,1.0,0.0014844935727811317
external_lung,seed42_main,source_disjoint,123,2.0,0.0009362166524445085
external_lung,seed42_main,source_disjoint,124,3.0,0.0012090469482975994
external_lung,seed42_main,source_disjoint,125,7.0,0.0011438039113787729
external_lung,seed42_main,source_disjoint,126,1.0,0.0009388021168720911
external_lung,seed42_main,source_disjoint,127,4.0,0.0008549983046640566
external_lung,seed42_main,source_disjoint,128,9.0,0.0006542609328747152
external_lung,seed42_main,source_disjoint,129,7.0,0.0015700665690336006
external_lung,seed42_main,source_disjoint,130,7.0,0.0014630974918761197
external_lung,seed42_main,source_disjoint,131,2.0,0.0005926469847662122
external_lung,seed42_main,source_disjoint,132,8.0,0.0006946008734046104
external_lung,seed42_main,source_disjoint,133,9.0,0.000914120698100984
external_lung,seed42_main,source_disjoint,134,2.0,0.0008466972872544555
external_lung,seed42_main,source_disjoint,135,8.0,0.0010666015843922465
external_lung,seed42_main,source_disjoint,136,4.0,0.001335698871426811
external_lung,seed42_main,source_disjoint,137,4.0,0.0007442560220462325
external_lung,seed42_main,source_disjoint,138,9.0,0.001008209435108028
external_lung,seed42_main,source_disjoint,139,9.0,0.0010285516361221727
external_lung,seed42_main,source_disjoint,140,5.0,0.0010155597079148108
external_lung,seed42_main,source_disjoint,141,2.0,0.0008536770423477338
external_lung,seed42_main,source_disjoint,142,2.0,0.0006899244612301356
external_lung,seed42_main,source_disjoint,143,5.0,0.000793525914739097
external_lung,seed42_main,source_disjoint,144,2.0,0.0015958914401196372
external_lung,seed42_main,source_disjoint,145,5.0,0.001437062773164175
external_lung,seed42_main,source_disjoint,146,9.0,0.0014929462197060374
external_lung,seed42_main,source_disjoint,147,1.0,0.0017960561585981154
external_lung,seed42_main,source_disjoint,148,9.0,0.0006997455820420999
external_lung,seed42_main,source_disjoint,149,3.0,0.000843274366680173
external_lung,seed42_main,source_disjoint,150,2.0,0.0007561706822754191
external_lung,seed42_main,source_disjoint,151,5.0,0.0017143974363553866
external_lung,seed42_main,source_disjoint,152,5.0,0.0009364897685801676
external_lung,seed42_main,source_disjoint,153,7.0,0.0011833442779376727
external_lung,seed42_main,source_disjoint,154,9.0,0.0010216368424627233
external_lung,seed42_main,source_disjoint,155,9.0,0.0010996275549950596
external_lung,seed42_main,source_disjoint,156,1.0,0.0010399901604920402
external_lung,seed42_main,source_disjoint,157,7.0,0.0008575199076549123
external_lung,seed42_main,source_disjoint,158,9.0,0.0022521914504514836
external_lung,seed42_main,source_disjoint,159,5.0,0.0008510477290581404
external_lung,seed42_main,source_disjoint,160,8.0,0.0009640916325876713
external_lung,seed42_main,source_disjoint,161,5.0,0.00042884206766978994
external_lung,seed42_main,source_disjoint,162,1.0,0.0007749502230688936
external_lung,seed42_main,source_disjoint,163,8.0,0.0013149403682528474
external_lung,seed42_main,source_disjoint,164,6.0,0.0009218245226168973
external_lung,seed42_main,source_disjoint,165,2.0,0.0010727926679588297
external_lung,seed42_main,source_disjoint,166,7.0,0.0013661469514185678
external_lung,seed42_main,source_disjoint,167,7.0,0.0005405086488081143
external_lung,seed42_main,source_disjoint,168,3.0,0.0010629333124885715
external_lung,seed42_main,source_disjoint,169,7.0,0.001088030569599533
external_lung,seed42_main,source_disjoint,170,8.0,0.0004540389620137544
external_lung,seed42_main,source_disjoint,171,3.0,0.0008177278009436793
external_lung,seed42_main,source_disjoint,172,2.0,0.0012868525045644933
external_lung,seed42_main,source_disjoint,173,6.0,0.001371483059054005
external_lung,seed42_main,source_disjoint,174,4.0,0.0008985908184572431
external_lung,seed42_main,source_disjoint,175,3.0,0.0009097585520782304
external_lung,seed42_main,source_disjoint,176,6.0,0.001340380390444775
external_lung,seed42_main,source_disjoint,177,8.0,0.0007881178063746619
external_lung,seed42_main,source_disjoint,178,5.0,0.0004089198538259815
external_lung,seed42_main,source_disjoint,179,5.0,0.0011974808737020822
external_lung,seed42_main,source_disjoint,180,7.0,0.001746602985023233
external_lung,seed42_main,source_disjoint,181,7.0,0.001554317528024323
external_lung,seed42_main,source_disjoint,182,1.0,0.0009928897634015432
external_lung,seed42_main,source_disjoint,183,3.0,0.0008852588982632297
external_lung,seed42_main,source_disjoint,184,7.0,0.0011677802444012128
external_lung,seed42_main,source_disjoint,185,2.0,0.0014086709405380148
external_lung,seed42_main,source_disjoint,186,1.0,0.0007570521987628615
external_lung,seed42_main,source_disjoint,187,4.0,0.001504190883072982
external_lung,seed42_main,source_disjoint,188,1.0,0.001169825552942765
external_lung,seed42_main,source_disjoint,189,5.0,0.0014234213381926638
external_lung,seed42_main,source_disjoint,190,5.0,0.0007418593009244974
external_lung,seed42_main,source_disjoint,191,1.0,0.0007977804481085148
external_lung,seed42_main,source_disjoint,192,9.0,0.0010248679096541522
external_lung,seed42_main,source_disjoint,193,3.0,0.000617473462275687
external_lung,seed42_main,source_disjoint,194,2.0,0.0012754511472396254
external_lung,seed42_main,source_disjoint,195,8.0,0.0009287656575428194
external_lung,seed42_main,source_disjoint,196,5.0,0.0008397847953784624
external_lung,seed42_main,source_disjoint,197,2.0,0.0007312051382162266
external_lung,seed42_main,source_disjoint,198,7.0,0.0008326278438176289
external_lung,seed42_main,source_disjoint,199,9.0,0.0009937803980294153
external_lung,seed42_main,source_disjoint,200,3.0,0.0008379528669206584
external_lung,seed42_main,source_disjoint,201,1.0,0.0006900883854004817
external_lung,seed42_main,source_disjoint,202,2.0,0.0015220287069554622
external_lung,seed42_main,source_disjoint,203,8.0,0.0008896237630942247
external_lung,seed42_main,source_disjoint,204,9.0,0.0009442229456484636
external_lung,seed42_main,source_disjoint,205,9.0,0.0012376557661326483
external_lung,seed42_main,source_disjoint,206,2.0,0.0011986441862827284
external_lung,seed42_main,source_disjoint,207,3.0,0.0007682750580908842
external_lung,seed42_main,source_disjoint,208,1.0,0.0007517345229313482
external_lung,seed42_main,source_disjoint,209,8.0,0.0015479761028749585
external_lung,seed42_main,source_disjoint,210,9.0,0.0010336579991541907
external_lung,seed42_main,source_disjoint,211,9.0,0.0008756655325614152
external_lung,seed42_main,source_disjoint,212,1.0,0.0008731148512742643
external_lung,seed42_main,source_disjoint,213,2.0,0.0010720061178913316
external_lung,seed42_main,source_disjoint,214,5.0,0.0012140520080251567
external_lung,seed42_main,source_disjoint,215,8.0,0.000828322307783566
external_lung,seed42_main,source_disjoint,216,7.0,0.001655873807541517
external_lung,seed42_main,source_disjoint,217,2.0,0.0011142788794509502
external_lung,seed42_main,source_disjoint,218,9.0,0.0008886045273501515
external_lung,seed42_main,source_disjoint,219,2.0,0.0007717026783930763
external_lung,seed42_main,source_disjoint,220,7.0,0.0008070206410674009
external_lung,seed42_main,source_disjoint,221,9.0,0.0010250400076656928
external_lung,seed42_main,source_disjoint,222,9.0,0.001141499595300504
external_lung,seed42_main,source_disjoint,223,9.0,0.0011792007645676104
external_lung,seed42_main,source_disjoint,224,7.0,0.0008441842060178493
external_lung,seed42_main,source_disjoint,225,8.0,0.0011356231741287668
external_lung,seed42_main,source_disjoint,226,8.0,0.0003713433448166403
external_lung,seed42_main,source_disjoint,227,6.0,0.0007899852225476927
external_lung,seed42_main,source_disjoint,228,7.0,0.0009191462603582608
external_lung,seed42_main,source_disjoint,229,8.0,0.0004041392352040129
external_lung,seed42_main,source_disjoint,230,2.0,0.0012044668447370817
external_lung,seed42_main,source_disjoint,231,1.0,0.0006433241621306809
external_lung,seed42_main,source_disjoint,232,9.0,0.0005346337036919212
external_lung,seed42_main,source_disjoint,233,1.0,0.001213881357177188
external_lung,seed42_main,source_disjoint,234,4.0,0.001140078496799754
external_lung,seed42_main,source_disjoint,235,9.0,0.0010074092997618446
external_lung,seed42_main,source_disjoint,236,6.0,0.0010554937960438999
external_lung,seed42_main,source_disjoint,237,8.0,0.0011016712671741776
external_lung,seed42_main,source_disjoint,238,8.0,0.0004100994436494151
external_lung,seed42_main,source_disjoint,239,8.0,0.0010891364121862705
external_lung,seed42_main,source_disjoint,240,5.0,0.001066885754239747
external_lung,seed42_main,source_disjoint,241,6.0,0.0006368196725625472
external_lung,seed42_main,source_disjoint,242,9.0,0.0008004999056939925
external_lung,seed42_main,source_disjoint,243,3.0,0.0005196601573654233
external_lung,seed42_main,source_disjoint,244,5.0,0.000785215527037286
external_lung,seed42_main,source_disjoint,245,2.0,0.0009812536369201942
external_lung,seed42_main,source_disjoint,246,8.0,0.0010990889297051816
external_lung,seed42_main,source_disjoint,247,9.0,0.0009000343932928177
external_lung,seed42_main,source_disjoint,248,6.0,0.0013760054299029754
external_lung,seed42_main,source_disjoint,249,1.0,0.0003407774738666406
external_lung,seed42_main,source_disjoint,250,8.0,0.0004186581636126518
external_lung,seed42_main,source_disjoint,251,1.0,0.0015576535925939646
external_lung,seed42_main,source_disjoint,252,2.0,0.0009190078854915398
external_lung,seed42_main,source_disjoint,253,5.0,0.0009019181845955791
external_lung,seed42_main,source_disjoint,254,2.0,0.00108231440048507
external_lung,seed42_main,source_disjoint,255,6.0,0.000983573975768368
external_lung,seed42_main,source_disjoint,256,2.0,0.0009743972925159352
external_lung,seed42_main,source_disjoint,257,8.0,0.0008134613770396412
external_lung,seed42_main,source_disjoint,258,1.0,0.0008706134088451735
external_lung,seed42_main,source_disjoint,259,8.0,0.0007658236320456093
external_lung,seed42_main,source_disjoint,260,2.0,0.001624711475347558
external_lung,seed42_main,source_disjoint,261,6.0,0.001250626924507663
external_lung,seed42_main,source_disjoint,262,5.0,0.0009094296049378639
external_lung,seed42_main,source_disjoint,263,2.0,0.0011434810603083384
external_lung,seed42_main,source_disjoint,264,9.0,0.0013757471125356586
external_lung,seed42_main,source_disjoint,265,1.0,0.0009358726444531097
external_lung,seed42_main,source_disjoint,266,6.0,0.0013488129267505014
external_lung,seed42_main,source_disjoint,267,9.0,0.0013818803894857646
external_lung,seed42_main,source_disjoint,268,5.0,0.0009029752925989423
external_lung,seed42_main,source_disjoint,269,1.0,0.0011518725509364705
external_lung,seed42_main,source_disjoint,270,5.0,0.0008479410185358999
external_lung,seed42_main,source_disjoint,271,9.0,0.0017105145670700962
external_lung,seed42_main,source_disjoint,272,9.0,0.0008644416945181718
external_lung,seed42_main,source_disjoint,273,1.0,0.0010075851199310645
external_lung,seed42_main,source_disjoint,274,1.0,0.00043200342895072946
external_lung,seed42_main,source_disjoint,275,5.0,0.001040370962510603
external_lung,seed42_main,source_disjoint,276,4.0,0.0004914571081258744
external_lung,seed42_main,source_disjoint,277,3.0,0.0010540274828595587
external_lung,seed42_main,source_disjoint,278,1.0,0.0012772915033010203
external_lung,seed42_main,source_disjoint,279,7.0,0.0005587797153294638
external_lung,seed42_main,source_disjoint,280,4.0,0.0011717765895149722
external_lung,seed42_main,source_disjoint,281,9.0,0.0006183385516179574
external_lung,seed42_main,source_disjoint,282,5.0,0.0015753398100554724
external_lung,seed42_main,source_disjoint,283,4.0,0.0015908180972821963
external_lung,seed42_main,source_disjoint,284,9.0,0.0011788487191286144
external_lung,seed42_main,source_disjoint,285,1.0,0.0012319636339392054
external_lung,seed42_main,source_disjoint,286,8.0,0.0009846531376485172
external_lung,seed42_main,source_disjoint,287,8.0,0.0005836199605315747
external_lung,seed42_main,source_disjoint,288,3.0,0.0009776003031698808
external_lung,seed42_main,source_disjoint,289,9.0,0.0006293207330727803
external_lung,seed42_main,source_disjoint,290,5.0,0.000695094416662715
external_lung,seed42_main,source_disjoint,291,5.0,0.0011219721303611303
