domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,knn_k,used_component_bridging,coexp_missing_fraction,tier0_fraction,tier01_fraction,tier1_fraction,tier2plus_fraction,overall_delta_auc_geometry,delta_auc_tier01,delta_auc_tier2plus,tier_gap_high_minus_low,p_tier_gap_upper
external_lung,seed42_main,source_disjoint,0,1074,451,240,24,True,0.0,0.0074487895716946,0.5493482309124768,0.5418994413407822,0.4506517690875233,0.0006797806194900335,,0.0033595377276086635,,
external_lung,seed42_main,source_disjoint,3,1074,451,240,24,True,0.0,0.0074487895716946,0.5493482309124768,0.5418994413407822,0.4506517690875233,-7.829933837055769e-05,,0.004636162064100113,,
external_lung,seed42_main,source_disjoint,7,1074,451,240,24,True,0.0,0.0074487895716946,0.5493482309124768,0.5418994413407822,0.4506517690875233,0.004331377036227657,,0.006047167909695617,,
external_lung,seed42_main,source_disjoint,11,1074,451,240,24,True,0.0,0.0074487895716946,0.5493482309124768,0.5418994413407822,0.4506517690875233,-1.0677182505358651e-05,,-0.00020157226365646874,,
external_lung,seed42_main,target_disjoint,0,1616,972,240,24,True,0.0,0.0049504950495049506,0.37623762376237624,0.3712871287128713,0.6237623762376238,0.0007364593717250623,,0.005801326017375263,,
external_lung,seed42_main,target_disjoint,3,1616,972,240,24,True,0.0,0.0049504950495049506,0.37623762376237624,0.3712871287128713,0.6237623762376238,0.0007795925670320836,,0.007030178326474568,,
external_lung,seed42_main,target_disjoint,7,1616,972,240,24,True,0.0,0.0049504950495049506,0.37623762376237624,0.3712871287128713,0.6237623762376238,0.0016470490504305602,,0.0025148605395518553,,
external_lung,seed42_main,target_disjoint,11,1616,972,240,24,True,0.0,0.0049504950495049506,0.37623762376237624,0.3712871287128713,0.6237623762376238,0.0010335991616184925,,0.0012860082304527731,,
immune,seed42_main,source_disjoint,0,1260,303,240,24,True,0.0,0.05317460317460317,0.7134920634920635,0.6603174603174603,0.2865079365079365,0.0015760196709324603,0.007795100222717122,-0.0011224604332698007,-0.008917560655986922,0.9834710743801653
immune,seed42_main,source_disjoint,3,1260,303,240,24,True,0.0,0.05317460317460317,0.7134920634920635,0.6603174603174603,0.2865079365079365,0.0001586365533104983,0.006681514476614581,0.0029183971265013264,-0.003763117350113254,0.9834710743801653
immune,seed42_main,source_disjoint,7,1260,303,240,24,True,0.0,0.05317460317460317,0.7134920634920635,0.6603174603174603,0.2865079365079365,0.00040348862472450175,0.0011135857461025411,-0.0002806151083174502,-0.0013942008544199913,0.9173553719008265
immune,seed42_main,source_disjoint,11,1260,303,240,24,True,0.0,0.05317460317460317,0.7134920634920635,0.6603174603174603,0.2865079365079365,0.0001793282776554328,0.010022271714922093,-0.0004489841733080757,-0.010471255888230169,1.0
immune,seed42_main,target_disjoint,0,1465,357,227,24,True,0.0,0.10784982935153584,0.7194539249146757,0.6116040955631399,0.28054607508532425,0.005449291630009401,0.003171582619727234,0.000446030330062519,-0.002725552289664715,0.5371900826446281
immune,seed42_main,target_disjoint,3,1465,357,227,24,True,0.0,0.10784982935153584,0.7194539249146757,0.6116040955631399,0.28054607508532425,-0.00020730313786165855,0.0041230574056454194,0.0020814748736247557,-0.0020415825320206638,1.0
immune,seed42_main,target_disjoint,7,1465,357,227,24,True,0.0,0.10784982935153584,0.7194539249146757,0.6116040955631399,0.28054607508532425,0.00154466118577401,0.012052013954963511,0.005203687184061945,-0.006848326770901567,0.9586776859504132
immune,seed42_main,target_disjoint,11,1465,357,227,24,True,0.0,0.10784982935153584,0.7194539249146757,0.6116040955631399,0.28054607508532425,0.005584544287028814,0.010783380907072648,0.002279710575874616,-0.008503670331198032,0.6446280991735537
lung,seed42_main,source_disjoint,0,1037,460,239,24,True,0.0,0.0,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0015145806646070792,,0.004425465838509224,,
lung,seed42_main,source_disjoint,3,1037,460,239,24,True,0.0,0.0,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0007422198779292177,,0.006288819875776341,,
lung,seed42_main,source_disjoint,7,1037,460,239,24,True,0.0,0.0,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0016163062316330024,,0.005434782608695676,,
lung,seed42_main,source_disjoint,11,1037,460,239,24,True,0.0,0.0,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.001529651118981401,,0.002872670807453348,,
lung,seed42_main,target_disjoint,0,1368,775,238,24,True,0.0,0.008771929824561403,0.40350877192982454,0.39473684210526316,0.5964912280701754,0.0006962954903987351,0.0024286581663628404,0.0031794630240227217,0.0007508048576598814,0.14049586776859505
lung,seed42_main,target_disjoint,3,1368,775,238,24,True,0.0,0.008771929824561403,0.40350877192982454,0.39473684210526316,0.5964912280701754,0.0009639340695207776,0.0188221007893139,0.0017074894017898856,-0.017114611387524015,1.0
lung,seed42_main,target_disjoint,7,1368,775,238,24,True,0.0,0.008771929824561403,0.40350877192982454,0.39473684210526316,0.5964912280701754,0.0035815699287385927,0.04371584699453546,0.007212670748940275,-0.03650317624559518,1.0
lung,seed42_main,target_disjoint,11,1368,775,238,24,True,0.0,0.008771929824561403,0.40350877192982454,0.39473684210526316,0.5964912280701754,0.0002458793450471619,-0.0006071645415908211,0.0007654262835611325,0.0013725908251519536,0.05785123966942149
