domain,seed_tag,split_regime,n_layers,r2_mean_model,r2_full_model,delta_r2_full_minus_mean,p_delta_r2_upper
external_lung,seed42_main,source_disjoint,12,0.1011635130545443,0.9245657349276967,0.8234022218731524,0.009966777408637873
external_lung,seed42_main,target_disjoint,12,0.11270341711109522,0.8098529636252787,0.6971495465141835,0.059800664451827246
external_lung,seed43,source_disjoint,12,0.36909955410579465,0.7535614525965448,0.3844618984907502,0.4750830564784053
external_lung,seed43,target_disjoint,12,0.17116618057746547,0.6132705715607703,0.4421043909833048,0.3521594684385382
external_lung,seed44,source_disjoint,12,0.8600852121554319,0.9786614855120062,0.11857627335657428,0.9335548172757475
external_lung,seed44,target_disjoint,12,0.11332611526359448,0.6778098031515585,0.564483687887964,0.15282392026578073
immune,seed42_main,source_disjoint,12,0.5961651059111117,0.9515899241128511,0.35542481820173943,0.49169435215946844
immune,seed42_main,target_disjoint,12,0.049299045497221194,0.33430543368185295,0.28500638818463175,0.6378737541528239
immune,seed43,source_disjoint,12,0.43764532272551293,0.6301117148861727,0.19246639216065975,0.7807308970099668
immune,seed43,target_disjoint,12,0.27123487908575605,0.45984552249547983,0.18861064340972378,0.7807308970099668
immune,seed44,source_disjoint,12,0.6574220188079696,0.8772091389552898,0.21978712014732027,0.7043189368770764
immune,seed44,target_disjoint,12,0.5425065517361447,0.7476280669224673,0.2051215151863226,0.8039867109634552
lung,seed42_main,source_disjoint,12,0.42235898498251123,0.8839805646701501,0.46162157968763884,0.31561461794019935
lung,seed42_main,target_disjoint,12,0.04500246077744574,0.43112629365964394,0.3861238328821982,0.44518272425249167
lung,seed43,source_disjoint,12,0.5460506295832643,0.911222387929558,0.3651717583462937,0.48172757475083056
lung,seed43,target_disjoint,12,0.6929147372254825,0.8502525194800213,0.15733778225453887,0.8704318936877077
lung,seed44,source_disjoint,12,0.6537637536103049,0.8861365152974237,0.23237276168711873,0.6976744186046512
lung,seed44,target_disjoint,12,0.5680004954420583,0.9099183921340863,0.341917896692028,0.5116279069767442
