domain,seed_tag,split_regime,layer,n_edges,n_positive,n_union_genes,n_intersection_genes,auc_base_geodesic,auc_observed_zigzag_proxy,auc_split_swap_control,delta_auc_observed_minus_base,delta_auc_swap_minus_base,delta_auc_observed_minus_swap,p_layer_perm_upper,used_component_bridging
external_lung,seed42_main,source_disjoint,0,1546,831,302,38,0.5456278979744684,0.5690001935489301,0.5763096109666507,0.023372295574461632,0.030681712992182253,-0.007309417417720621,0.75,True
external_lung,seed42_main,source_disjoint,3,1546,831,302,38,0.5432220006227226,0.5568747738422828,0.5668164567081535,0.013652773219560155,0.02359445608543087,-0.009941682865870716,0.5,True
external_lung,seed42_main,source_disjoint,7,1546,831,302,38,0.5502057509277726,0.5674459114892327,0.5771696414295693,0.01724016056146016,0.026963890501796706,-0.009723729940336545,0.25,True
external_lung,seed42_main,source_disjoint,11,1546,831,302,38,0.5458466924170895,0.5552901971674534,0.6058350794812888,0.009443504750363929,0.05998838706419929,-0.05054488231383536,1.0,True
external_lung,seed42_main,target_disjoint,0,1480,870,302,38,0.5266393442622951,0.5376662898059168,0.5201629922743547,0.011026945543621713,-0.0064763519879403875,0.0175032975315621,1.0,True
external_lung,seed42_main,target_disjoint,3,1480,870,302,38,0.5194036178631996,0.5297069907669116,0.5201158846806105,0.010303372903712082,0.0007122668174109892,0.009591106086301093,0.5,True
external_lung,seed42_main,target_disjoint,7,1480,870,302,38,0.5198991897493876,0.5343800640663274,0.5159836065573771,0.014480874316939785,-0.003915583192010574,0.01839645750895036,0.25,True
external_lung,seed42_main,target_disjoint,11,1480,870,302,38,0.5162172602223478,0.5439165253438855,0.5119210476728849,0.027699265121537642,-0.0042962125494628856,0.03199547767100053,0.75,True
immune,seed42_main,source_disjoint,0,1152,279,239,101,0.6100744353709656,0.623290511440384,0.606059113098244,0.013216076069418436,-0.004015322272721611,0.017231398342140047,0.25,True
immune,seed42_main,source_disjoint,3,1152,279,239,101,0.6020889529369742,0.5657868266226541,0.5833918387958961,-0.03630212631432006,-0.01869711414107811,-0.017605012173241952,1.0,True
immune,seed42_main,source_disjoint,7,1152,279,239,101,0.5941096289727261,0.5663328776065724,0.5650047009652375,-0.027776751366153762,-0.02910492800748865,0.0013281766413348883,0.75,True
immune,seed42_main,source_disjoint,11,1152,279,239,101,0.6034705029827521,0.6030681496261809,0.6058805174756843,-0.0004023533565711279,0.002410014492932211,-0.002812367849503339,0.5,True
immune,seed42_main,target_disjoint,0,1111,276,239,101,0.6047578755532413,0.6137507593508635,0.637403453961642,0.008992883797622198,0.032645578408400655,-0.023652694610778457,0.5,True
immune,seed42_main,target_disjoint,3,1111,276,239,101,0.5935476872342272,0.5931723509502734,0.5982014232404755,-0.0003753362839538088,0.004653736006248299,-0.005029072290202108,0.75,True
immune,seed42_main,target_disjoint,7,1111,276,239,101,0.5775861320836587,0.5763321183719519,0.5847674216783822,-0.0012540137117068584,0.007181289594723528,-0.008435303306430386,0.75,True
immune,seed42_main,target_disjoint,11,1111,276,239,101,0.5840384448494316,0.6288553328126356,0.6263429662414302,0.044816887963204044,0.042304521391998584,0.00251236657120546,0.25,True
lung,seed42_main,source_disjoint,0,1460,756,303,37,0.5332632500601251,0.54481853505291,0.5507821894540644,0.011555284992784909,0.017518939393939337,-0.005963654401154428,0.5,True
lung,seed42_main,source_disjoint,3,1460,756,303,37,0.5328292222823473,0.5485368942400192,0.5651079244829245,0.015707671957671865,0.03227870220057716,-0.016571030242905294,1.0,True
lung,seed42_main,source_disjoint,7,1460,756,303,37,0.5343924738455988,0.557538743085618,0.5732125946969696,0.02314626924001917,0.038820120851370765,-0.015673851611351597,0.75,True
lung,seed42_main,source_disjoint,11,1460,756,303,37,0.5217831213924964,0.5598366477272727,0.5734606105699855,0.03805352633477632,0.051677489177489155,-0.013623962842712833,0.5,True
lung,seed42_main,target_disjoint,0,1343,737,303,37,0.5633466331707798,0.569621514390245,0.5580266981922073,0.006274881219465178,-0.005319934978572527,0.011594816198037705,0.5,True
lung,seed42_main,target_disjoint,3,1343,737,303,37,0.5540490616225802,0.5653270550935691,0.5433520964036702,0.0112779934709889,-0.010696965218909948,0.02197495868989885,0.75,True
lung,seed42_main,target_disjoint,7,1343,737,303,37,0.5451948179892616,0.5644459968384898,0.5432894035672224,0.019251178849228223,-0.0019054144220391755,0.0211565932712674,0.5,True
lung,seed42_main,target_disjoint,11,1343,737,303,37,0.5239699343068634,0.5472244985692598,0.5287166776379131,0.02325456426239636,0.00474674333104963,0.01850782093134673,1.0,True
