domain,split_regime,evaluation,holdout_id,n_train,n_test,r2_mean_model,r2_full_model,delta_r2_full_minus_mean
external_lung,source_disjoint,leave_layer_out,0,33,3,-1.7153129854088198,-2.4407702504059303,-0.7254572649971105
external_lung,source_disjoint,leave_layer_out,1,33,3,-10.498553173313999,-97.22740576012228,-86.72885258680829
external_lung,source_disjoint,leave_layer_out,10,33,3,-0.8377725071773969,0.13367966420813449,0.9714521713855314
external_lung,source_disjoint,leave_layer_out,11,33,3,-0.49921205383593836,0.5408415283310576,1.0400535821669958
external_lung,source_disjoint,leave_layer_out,2,33,3,-0.501408275851194,0.3068647097427005,0.8082729855938945
external_lung,source_disjoint,leave_layer_out,3,33,3,-16.796568430913315,-13.093490909195461,3.7030775217178533
external_lung,source_disjoint,leave_layer_out,4,33,3,0.20306345589107289,-0.1671671801149155,-0.3702306360059884
external_lung,source_disjoint,leave_layer_out,5,33,3,-0.0561102380248053,0.1856571118324566,0.2417673498572619
external_lung,source_disjoint,leave_layer_out,6,33,3,0.3212607753624591,0.4162755397911504,0.09501476442869128
external_lung,source_disjoint,leave_layer_out,7,33,3,0.11067330744206527,0.329742125061361,0.21906881761929575
external_lung,source_disjoint,leave_layer_out,8,33,3,0.24516550742900334,0.7038917566045003,0.458726249175497
external_lung,source_disjoint,leave_layer_out,9,33,3,-0.6478747982096607,0.5510706783868582,1.1989454765965188
external_lung,source_disjoint,leave_seed_out,seed42_main,24,12,-5.0204862263355885,-1.5891588950314572,3.4313273313041313
external_lung,source_disjoint,leave_seed_out,seed43,24,12,-42.744721916032674,-136.43230600463656,-93.68758408860388
external_lung,source_disjoint,leave_seed_out,seed44,24,12,-5.117039327262952,-3.7780950268639524,1.3389443003989996
external_lung,target_disjoint,leave_layer_out,0,33,3,-3.2112410630347386,-1.1774101924972231,2.0338308705375154
external_lung,target_disjoint,leave_layer_out,1,33,3,-19.105765308873245,-18.83793570948532,0.2678295993879267
external_lung,target_disjoint,leave_layer_out,10,33,3,-3.2284839515140726,-3.5708236308717307,-0.3423396793576581
external_lung,target_disjoint,leave_layer_out,11,33,3,0.19381525380362374,-2.9910854734668075,-3.1849007272704313
external_lung,target_disjoint,leave_layer_out,2,33,3,-1.140526372374889,-1.495903068200859,-0.35537669582596987
external_lung,target_disjoint,leave_layer_out,3,33,3,-0.2794738225620219,-0.08364128501388723,0.19583253754813468
external_lung,target_disjoint,leave_layer_out,4,33,3,-27.77200821223448,-15.800839907392046,11.971168304842433
external_lung,target_disjoint,leave_layer_out,5,33,3,-3.092240144354081,-0.31403117628172694,2.778208968072354
external_lung,target_disjoint,leave_layer_out,6,33,3,-1.164066167087717,-0.3360313472284191,0.8280348198592979
external_lung,target_disjoint,leave_layer_out,7,33,3,0.10187754414306205,-0.12834068871121262,-0.23021823285427467
external_lung,target_disjoint,leave_layer_out,8,33,3,0.28659768434810895,0.6335221804079496,0.34692449605984066
external_lung,target_disjoint,leave_layer_out,9,33,3,-0.08787435342274263,0.05267466324726733,0.14054901667000996
external_lung,target_disjoint,leave_seed_out,seed42_main,24,12,-2.0973185258864566,-0.9118607437073216,1.185457782179135
external_lung,target_disjoint,leave_seed_out,seed43,24,12,-2.577536577952215,-1.3428446557656444,1.2346919221865704
external_lung,target_disjoint,leave_seed_out,seed44,24,12,-1.3811712030074874,-265.05305339337525,-263.67188219036774
immune,source_disjoint,leave_layer_out,0,33,3,-6.864818073022742,-7.077205788052382,-0.2123877150296396
immune,source_disjoint,leave_layer_out,1,33,3,-0.43388921585080853,0.024509618412058454,0.458398834262867
immune,source_disjoint,leave_layer_out,10,33,3,-0.052058752882990555,-0.35940608338944235,-0.3073473305064518
immune,source_disjoint,leave_layer_out,11,33,3,-3.4487768921312822,-5.792605772826714,-2.3438288806954315
immune,source_disjoint,leave_layer_out,2,33,3,0.06043307747349924,0.027128598673882398,-0.03330447879961684
immune,source_disjoint,leave_layer_out,3,33,3,-1.8742409099541417,-2.696212012848495,-0.8219711028943535
