domain,seed_tag,split_regime,layer,n_union_genes,n_source_genes,n_target_genes,n_source_edges,n_target_edges,h1_total_lifetime,h1_long_count,h1_max_lifetime,h1_count,null_mean_h1_total_lifetime,delta_h1_total_vs_null_mean,p_h1_total_upper
external_lung,seed42_main,paired_source_target,0,302,170,170,1257,1260,4343.0,2162.0,3.0,2162.0,4078.525,264.4749999999999,0.024390243902439025
external_lung,seed42_main,paired_source_target,3,302,170,170,1247,1234,4266.0,2121.0,3.0,2121.0,4035.675,230.32499999999982,0.024390243902439025
external_lung,seed42_main,paired_source_target,7,302,170,170,1194,1202,4100.0,2040.0,3.0,2040.0,3858.075,241.92500000000018,0.024390243902439025
external_lung,seed42_main,paired_source_target,11,302,170,170,1200,1237,4178.0,2077.0,3.0,2077.0,3910.575,267.4250000000002,0.024390243902439025
immune,seed42_main,paired_source_target,0,239,170,170,1217,1310,4033.0,1842.0,3.0,1842.0,3789.575,243.42500000000018,0.024390243902439025
immune,seed42_main,paired_source_target,3,239,170,170,1223,1303,4044.0,1854.0,3.0,1854.0,3801.325,242.67500000000018,0.024390243902439025
immune,seed42_main,paired_source_target,7,239,170,170,1205,1261,3946.0,1816.0,3.0,1816.0,3741.45,204.55000000000018,0.024390243902439025
immune,seed42_main,paired_source_target,11,239,170,170,1224,1280,4012.0,1844.0,3.0,1844.0,3826.625,185.375,0.024390243902439025
lung,seed42_main,paired_source_target,0,303,170,170,1305,1268,4470.0,2233.0,3.0,2233.0,4250.825,219.17500000000018,0.024390243902439025
lung,seed42_main,paired_source_target,3,303,170,170,1304,1267,4464.0,2229.0,3.0,2229.0,4235.9,228.10000000000036,0.024390243902439025
lung,seed42_main,paired_source_target,7,303,170,170,1286,1255,4402.0,2197.0,3.0,2197.0,4151.775,250.22500000000036,0.024390243902439025
lung,seed42_main,paired_source_target,11,303,170,170,1272,1254,4377.0,2187.0,3.0,2187.0,4137.275,239.72500000000036,0.024390243902439025
