evaluation,holdout_id,n_train,n_test,delta_r2_raw,delta_r2_winsor,delta_r2_trimmed,domain,split_regime
leave_layer_out,0,33,3,-0.7254572649970057,-1.4411603718914452,,external_lung,source_disjoint
leave_layer_out,1,33,3,-86.72885258683888,-44.77980843455333,,external_lung,source_disjoint
leave_layer_out,10,33,3,0.9714521713855695,1.0392846698359048,,external_lung,source_disjoint
leave_layer_out,11,33,3,1.0400535821669603,1.0400535821669603,,external_lung,source_disjoint
leave_layer_out,2,33,3,0.8082729855939373,0.8082729855939373,,external_lung,source_disjoint
leave_layer_out,3,33,3,3.703077521721543,3.703077521721543,,external_lung,source_disjoint
leave_layer_out,4,33,3,-0.370230636005918,-0.3786970422708793,,external_lung,source_disjoint
leave_layer_out,5,33,3,0.2417673498573063,0.2417673498573063,,external_lung,source_disjoint
leave_layer_out,6,33,3,0.09501476442873158,0.09501476442873158,,external_lung,source_disjoint
leave_layer_out,7,33,3,0.21906881761924712,0.32965932172745116,,external_lung,source_disjoint
leave_layer_out,8,33,3,0.45872624917542326,0.56998015246866,,external_lung,source_disjoint
leave_layer_out,9,33,3,1.198945476596452,1.2747782914197927,,external_lung,source_disjoint
leave_seed_out,seed42_main,24,12,3.4313273313040007,16.086642395561146,-29.826954580579233,external_lung,source_disjoint
leave_seed_out,seed43,24,12,-93.68758408860481,5.876041077144521,-146.17111583272734,external_lung,source_disjoint
leave_seed_out,seed44,24,12,1.3389443003989783,1.6162965694617872,0.6197396889770603,external_lung,source_disjoint
leave_layer_out,0,33,3,2.0338308705374133,15.925818338313494,,external_lung,target_disjoint
leave_layer_out,1,33,3,0.26782959938954676,0.26782959938954676,,external_lung,target_disjoint
leave_layer_out,10,33,3,-0.3423396793578126,-14.54648548283409,,external_lung,target_disjoint
leave_layer_out,11,33,3,-3.184900727270412,-3.1616013710610056,,external_lung,target_disjoint
leave_layer_out,2,33,3,-0.3553766958259872,-0.9814589235165516,,external_lung,target_disjoint
leave_layer_out,3,33,3,0.19583253754813423,0.9394964621793817,,external_lung,target_disjoint
leave_layer_out,4,33,3,11.971168304842127,40.64377066241216,,external_lung,target_disjoint
leave_layer_out,5,33,3,2.7782089680722493,3.4711704254704747,,external_lung,target_disjoint
leave_layer_out,6,33,3,0.8280348198594121,0.8280348198594121,,external_lung,target_disjoint
leave_layer_out,7,33,3,-0.2302182328541973,-0.18095139515224778,,external_lung,target_disjoint
leave_layer_out,8,33,3,0.34692449605982956,0.41004056010588563,,external_lung,target_disjoint
leave_layer_out,9,33,3,0.14054901666999753,-0.07952972650820556,,external_lung,target_disjoint
leave_seed_out,seed42_main,24,12,1.1854577821790846,2.5971134499588935,0.6455552481396011,external_lung,target_disjoint
leave_seed_out,seed43,24,12,1.2346919221867583,1.8919885545948438,0.6773620162509286,external_lung,target_disjoint
leave_seed_out,seed44,24,12,-263.6718821903675,-2.74603732598622,-889.4086996577424,external_lung,target_disjoint
leave_layer_out,0,33,3,-0.2123877150299931,0.20632953731384696,,immune,source_disjoint
leave_layer_out,1,33,3,0.4583988342628228,0.47112606019655234,,immune,source_disjoint
leave_layer_out,10,33,3,-0.30734733050645313,-0.29683600922316744,,immune,source_disjoint
leave_layer_out,11,33,3,-2.3438288806953675,-35.933734852574126,,immune,source_disjoint
leave_layer_out,2,33,3,-0.03330447879960541,-0.1779295907256102,,immune,source_disjoint
leave_layer_out,3,33,3,-0.8219711028942736,-0.8704383635288919,,immune,source_disjoint
leave_layer_out,4,33,3,-0.9427435543535689,-0.955561316104651,,immune,source_disjoint
leave_layer_out,5,33,3,0.20474754565765063,0.20474754565765063,,immune,source_disjoint
leave_layer_out,6,33,3,-0.7035866458675317,-0.7340665170441985,,immune,source_disjoint
leave_layer_out,7,33,3,-2.3717470582403246,-2.3717470582403246,,immune,source_disjoint
leave_layer_out,8,33,3,2.7116292024368702,4.167876722980248,,immune,source_disjoint
leave_layer_out,9,33,3,0.3248393877491512,0.37169309391840655,,immune,source_disjoint
leave_seed_out,seed42_main,24,12,-31.051069527857127,-0.7040371464741488,-52.54453355712246,immune,source_disjoint
leave_seed_out,seed43,24,12,-2.0567095420074972,-3.8394101742924986,-3.8709925113775467,immune,source_disjoint
leave_seed_out,seed44,24,12,-2.591159681841706,-2.4886128996792714,-17.69515565469255,immune,source_disjoint
leave_layer_out,0,33,3,-0.5923395060447207,-0.5923395060447207,,immune,target_disjoint
leave_layer_out,1,33,3,-1.3598020315028307,-1.3598020315028307,,immune,target_disjoint
leave_layer_out,10,33,3,0.46093403902516883,1.1247787285054622,,immune,target_disjoint
leave_layer_out,11,33,3,0.34307403601129005,0.41170819452119134,,immune,target_disjoint
leave_layer_out,2,33,3,0.1972513237505895,0.3770313804500267,,immune,target_disjoint
leave_layer_out,3,33,3,-0.06679805154295604,-0.22218984785466578,,immune,target_disjoint
leave_layer_out,4,33,3,-0.28673845462607894,-0.33429535016365564,,immune,target_disjoint
leave_layer_out,5,33,3,0.18830518027928211,0.18830518027928211,,immune,target_disjoint
leave_layer_out,6,33,3,0.5930758697656757,0.6226267157912044,,immune,target_disjoint
leave_layer_out,7,33,3,0.5979173507818519,0.5526805401536932,,immune,target_disjoint
leave_layer_out,8,33,3,0.1237968544758572,0.1237968544758572,,immune,target_disjoint
leave_layer_out,9,33,3,-0.07294321643474178,-0.24628599178073474,,immune,target_disjoint
leave_seed_out,seed42_main,24,12,13.095250289447984,7.836247705404646,13.095250289447984,immune,target_disjoint
leave_seed_out,seed43,24,12,2.194211298061038,359.92451373450467,,immune,target_disjoint
leave_seed_out,seed44,24,12,0.9047674243757804,0.6457644690922422,-5.726946246309564,immune,target_disjoint
leave_layer_out,0,33,3,0.14190869892309355,0.1759737005050459,,lung,source_disjoint
leave_layer_out,1,33,3,0.3171954296184879,0.4700450315667626,,lung,source_disjoint
leave_layer_out,10,33,3,14.662024776587153,0.0,,lung,source_disjoint
leave_layer_out,11,33,3,0.9009283741228837,1.1929058936414896,,lung,source_disjoint
leave_layer_out,2,33,3,0.4897881251932983,0.4531329469930425,,lung,source_disjoint
leave_layer_out,3,33,3,-2.161145158598105,-2.161145158598105,,lung,source_disjoint
leave_layer_out,4,33,3,0.023272984565642862,0.03896492381380989,,lung,source_disjoint
leave_layer_out,5,33,3,0.49523598547608083,0.4914273653757719,,lung,source_disjoint
leave_layer_out,6,33,3,0.9379522320251765,0.9379522320251765,,lung,source_disjoint
leave_layer_out,7,33,3,-1.5125325490582233,-1.5246302054122651,,lung,source_disjoint
leave_layer_out,8,33,3,-0.6975267010790094,0.22948684816531517,,lung,source_disjoint
leave_layer_out,9,33,3,-1.9514106356470415,-1.9514106356470415,,lung,source_disjoint
leave_seed_out,seed42_main,24,12,-3.984649875647764,-0.2485079394958446,-23.332459363735197,lung,source_disjoint
leave_seed_out,seed43,24,12,1.14592045334039,1.2284395088517353,2.5944368156818114,lung,source_disjoint
leave_seed_out,seed44,24,12,0.1517526124339662,0.08507096501832956,-0.8538126100062904,lung,source_disjoint
leave_layer_out,0,33,3,-1.2317030578850103,-1.2317030578850103,,lung,target_disjoint
leave_layer_out,1,33,3,-1.20017939013478,-1.20017939013478,,lung,target_disjoint
leave_layer_out,10,33,3,0.7215031633017871,0.7373360688549149,,lung,target_disjoint
leave_layer_out,11,33,3,0.4706301447345762,0.744053161920048,,lung,target_disjoint
leave_layer_out,2,33,3,-0.681700630577577,-0.015258314160263353,,lung,target_disjoint
leave_layer_out,3,33,3,0.0030806717074439716,0.01444117128087996,,lung,target_disjoint
leave_layer_out,4,33,3,-0.2685599057693484,-0.10683922959159387,,lung,target_disjoint
leave_layer_out,5,33,3,-1.4010886936087965,-1.4010886936087965,,lung,target_disjoint
leave_layer_out,6,33,3,0.4966730049402486,0.4388804363807013,,lung,target_disjoint
leave_layer_out,7,33,3,0.5131605705309326,0.5149139064437015,,lung,target_disjoint
leave_layer_out,8,33,3,0.3189829819468011,0.3189829819468011,,lung,target_disjoint
leave_layer_out,9,33,3,1.0317648347889088,1.0409004769380457,,lung,target_disjoint
leave_seed_out,seed42_main,24,12,1.0855771408248351,11.027219822161527,-29.23651901163099,lung,target_disjoint
leave_seed_out,seed43,24,12,0.5082868137465728,0.4458903618353134,0.05277237671615609,lung,target_disjoint
