domain,split_regime,evaluation,metric,observed_mean_delta,fraction_holdout_delta_positive,p_perm_upper,p_block_sign_upper,bootstrap_ci_low,bootstrap_ci_high
external_lung,source_disjoint,leave_layer_out,delta_r2_trimmed,,0.0,,,,
external_lung,source_disjoint,leave_layer_out,delta_r2_winsor,-3.1248147674579467,0.75,0.8652482269503546,0.7478152309612984,-10.927403072042418,1.2084484203288863
external_lung,source_disjoint,leave_seed_out,delta_r2_trimmed,-58.45944357477651,0.3333333333333333,0.75177304964539,0.898876404494382,-146.17111583272734,0.6197396889770603
external_lung,source_disjoint,leave_seed_out,delta_r2_winsor,7.859660014055819,1.0,0.0070921985815602835,0.09363295880149813,1.6162965694617872,16.086642395561146
external_lung,target_disjoint,leave_layer_out,delta_r2_trimmed,,0.0,,,,
external_lung,target_disjoint,leave_layer_out,delta_r2_winsor,3.6280111640548545,0.5833333333333334,0.0425531914893617,0.1772784019975031,-2.7944298052636873,12.017182106528672
external_lung,target_disjoint,leave_seed_out,delta_r2_trimmed,-296.0285941311173,0.6666666666666666,0.9929078014184397,0.7802746566791511,-889.4086996577424,0.6773620162509286
external_lung,target_disjoint,leave_seed_out,delta_r2_winsor,0.5810215595225059,0.6666666666666666,0.03546099290780142,0.4544319600499376,-2.74603732598622,2.5971134499588935
immune,source_disjoint,leave_layer_out,delta_r2_trimmed,,0.0,,,,
immune,source_disjoint,leave_layer_out,delta_r2_winsor,-2.9932117289478555,0.4166666666666667,0.8865248226950354,0.8302122347066168,-9.076053310235528,0.6861914092460188
immune,source_disjoint,leave_seed_out,delta_r2_trimmed,-24.703560574397518,0.0,0.9361702127659575,0.9413233458177278,-52.54453355712246,-3.8709925113775463
immune,source_disjoint,leave_seed_out,delta_r2_winsor,-2.344020073481973,0.0,0.9645390070921985,0.951310861423221,-3.839410174292498,-0.7040371464741488
immune,target_disjoint,leave_layer_out,delta_r2_trimmed,,0.0,,,,
immune,target_disjoint,leave_layer_out,delta_r2_winsor,0.05383457223584246,0.5833333333333334,0.15602836879432624,0.40823970037453183,-0.34389626484268565,0.37637634257985214
immune,target_disjoint,leave_seed_out,delta_r2_trimmed,3.68415202156921,0.3333333333333333,0.0070921985815602835,0.365792759051186,-5.726946246309564,13.095250289447984
immune,target_disjoint,leave_seed_out,delta_r2_winsor,122.80217530300052,1.0,0.0070921985815602835,0.09987515605493133,0.6457644690922422,359.92451373450467
lung,source_disjoint,leave_layer_out,delta_r2_trimmed,,0.0,,,,
lung,source_disjoint,leave_layer_out,delta_r2_winsor,-0.13727475479758314,0.6666666666666666,0.14184397163120568,0.6741573033707865,-0.8314850499330859,0.43486337071135345
lung,source_disjoint,leave_seed_out,delta_r2_trimmed,-7.197278386019892,0.3333333333333333,0.6595744680851063,0.7727840199750312,-23.332459363735197,2.5944368156818114
lung,source_disjoint,leave_seed_out,delta_r2_winsor,0.35500084479140676,0.6666666666666666,0.04964539007092199,0.2421972534332085,-0.2485079394958446,1.2284395088517353
lung,target_disjoint,leave_layer_out,delta_r2_trimmed,,0.0,,,,
lung,target_disjoint,leave_layer_out,delta_r2_winsor,-0.012130040134612599,0.5833333333333334,0.3262411347517731,0.529338327091136,-0.5128094071429289,0.42642699390807276
lung,target_disjoint,leave_seed_out,delta_r2_trimmed,-10.061929452823225,0.3333333333333333,0.8936170212765957,0.9126092384519351,-29.23651901163099,0.05277237671615609
lung,target_disjoint,leave_seed_out,delta_r2_winsor,3.949232498742619,1.0,0.0070921985815602835,0.10362047440699126,0.37458731223101616,11.027219822161527
