domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc_bif_minus_distance
external_lung,seed42_main,source_disjoint,0,0,-0.004176377867891712
external_lung,seed42_main,source_disjoint,0,1,-0.002980721300874345
external_lung,seed42_main,source_disjoint,0,2,-0.007423174855510806
external_lung,seed42_main,source_disjoint,0,3,-0.00565158230832441
external_lung,seed42_main,source_disjoint,0,4,0.0008925323669285445
external_lung,seed42_main,source_disjoint,0,5,-0.0033613105743192095
external_lung,seed42_main,source_disjoint,0,6,-0.0045367588613307586
external_lung,seed42_main,source_disjoint,0,7,-0.010824901989841984
external_lung,seed42_main,source_disjoint,0,8,-0.0061702614951433254
external_lung,seed42_main,source_disjoint,0,9,0.0036576986810730183
external_lung,seed42_main,source_disjoint,0,10,-0.0020578765139368516
external_lung,seed42_main,source_disjoint,0,11,-0.008100152235709368
external_lung,seed42_main,source_disjoint,0,12,-0.0004951028601452023
external_lung,seed42_main,source_disjoint,0,13,-0.009619141282821486
external_lung,seed42_main,source_disjoint,0,14,-0.0030952348875745717
external_lung,seed42_main,source_disjoint,0,15,0.0014381559270885136
external_lung,seed42_main,source_disjoint,0,16,-0.0008487477602489024
external_lung,seed42_main,source_disjoint,0,17,-0.008366227922454006
external_lung,seed42_main,source_disjoint,0,18,-0.003408463227666525
external_lung,seed42_main,source_disjoint,0,19,-0.01515621000444578
external_lung,seed42_main,source_disjoint,0,20,0.003075026607568754
external_lung,seed42_main,source_disjoint,0,21,-0.0013202742937206136
external_lung,seed42_main,source_disjoint,0,22,-0.0015560375604565246
external_lung,seed42_main,source_disjoint,0,23,-0.006015331348431019
external_lung,seed42_main,source_disjoint,0,24,-0.008504317835827835
external_lung,seed42_main,source_disjoint,0,25,0.0024654101607232137
external_lung,seed42_main,source_disjoint,0,26,-0.005543804814959419
external_lung,seed42_main,source_disjoint,0,27,-0.007288452988804539
external_lung,seed42_main,source_disjoint,0,28,-0.00803952739569147
external_lung,seed42_main,source_disjoint,0,29,-0.007446751182184297
external_lung,seed42_main,source_disjoint,0,30,-0.010218653589664117
external_lung,seed42_main,source_disjoint,0,31,0.002327320247349385
external_lung,seed42_main,source_disjoint,0,32,-0.0013707949937353803
external_lung,seed42_main,source_disjoint,0,33,-0.002010723860589758
external_lung,seed42_main,source_disjoint,0,34,-0.0095248359761273
external_lung,seed42_main,source_disjoint,0,35,-0.00403491990785021
external_lung,seed42_main,source_disjoint,3,0,-0.007392862435501968
external_lung,seed42_main,source_disjoint,3,1,0.0003267005267625356
external_lung,seed42_main,source_disjoint,3,2,-0.004779258221401905
external_lung,seed42_main,source_disjoint,3,3,-0.0031659638675953783
external_lung,seed42_main,source_disjoint,3,4,-0.0010171500936317912
external_lung,seed42_main,source_disjoint,3,5,-0.007224460102119301
external_lung,seed42_main,source_disjoint,3,6,-0.0009699974402844758
external_lung,seed42_main,source_disjoint,3,7,-0.006934808088700839
external_lung,seed42_main,source_disjoint,3,8,-0.002640548587441227
external_lung,seed42_main,source_disjoint,3,9,-0.007958694275667977
external_lung,seed42_main,source_disjoint,3,10,-0.002808950920824005
external_lung,seed42_main,source_disjoint,3,11,-0.012343891036954324
external_lung,seed42_main,source_disjoint,3,12,-0.012155280423565618
external_lung,seed42_main,source_disjoint,3,13,0.0012798577337087558
external_lung,seed42_main,source_disjoint,3,14,-0.00746022336885499
external_lung,seed42_main,source_disjoint,3,15,-0.0036509625877376717
external_lung,seed42_main,source_disjoint,3,16,-0.0063420318751936655
external_lung,seed42_main,source_disjoint,3,17,-0.005402346854918028
external_lung,seed42_main,source_disjoint,3,18,-0.008581782909183988
external_lung,seed42_main,source_disjoint,3,19,-0.006611475608605977
external_lung,seed42_main,source_disjoint,3,20,-0.008484109555822017
external_lung,seed42_main,source_disjoint,3,21,-0.003334366200978156
external_lung,seed42_main,source_disjoint,3,22,0.0005759359801689179
external_lung,seed42_main,source_disjoint,3,23,-0.004166273727888803
external_lung,seed42_main,source_disjoint,3,24,0.0007712826868928602
external_lung,seed42_main,source_disjoint,3,25,-0.009039837255985117
external_lung,seed42_main,source_disjoint,3,26,-0.0008521158069165757
external_lung,seed42_main,source_disjoint,3,27,-0.01104382502323964
external_lung,seed42_main,source_disjoint,3,28,-0.006490225928570514
external_lung,seed42_main,source_disjoint,3,29,0.008430220809139466
external_lung,seed42_main,source_disjoint,3,30,-0.003546553141040354
external_lung,seed42_main,source_disjoint,3,31,-0.0053046735015561675
external_lung,seed42_main,source_disjoint,3,32,-0.0046007517480162186
external_lung,seed42_main,source_disjoint,3,33,-0.009487787462783226
external_lung,seed42_main,source_disjoint,3,34,-0.0043649884812804185
external_lung,seed42_main,source_disjoint,3,35,-0.008376332062457137
external_lung,seed42_main,source_disjoint,7,0,-0.01752057876513935
external_lung,seed42_main,source_disjoint,7,1,-0.0019736753472455737
external_lung,seed42_main,source_disjoint,7,2,-0.003930510461153003
external_lung,seed42_main,source_disjoint,7,3,0.0030480822342274783
external_lung,seed42_main,source_disjoint,7,4,-0.006503698115241097
external_lung,seed42_main,source_disjoint,7,5,-0.00936653778274743
external_lung,seed42_main,source_disjoint,7,6,-0.007719562962264392
external_lung,seed42_main,source_disjoint,7,7,-0.001165344147008529
external_lung,seed42_main,source_disjoint,7,8,-0.012785105150417087
external_lung,seed42_main,source_disjoint,7,9,-0.009363169736079868
external_lung,seed42_main,source_disjoint,7,10,-0.01419294865749654
external_lung,seed42_main,source_disjoint,7,11,-0.002660756867447156
external_lung,seed42_main,source_disjoint,7,12,-0.008056367629029726
external_lung,seed42_main,source_disjoint,7,13,-0.002616972260767625
external_lung,seed42_main,source_disjoint,7,14,-0.010248966009672955
external_lung,seed42_main,source_disjoint,7,15,-0.007126786748757219
external_lung,seed42_main,source_disjoint,7,16,-0.011414310156681595
external_lung,seed42_main,source_disjoint,7,17,-0.014923814784377654
external_lung,seed42_main,source_disjoint,7,18,-0.012030662696862371
external_lung,seed42_main,source_disjoint,7,19,-0.010127716329637493
external_lung,seed42_main,source_disjoint,7,20,-0.010235493823002373
external_lung,seed42_main,source_disjoint,7,21,-0.006665364355288528
external_lung,seed42_main,source_disjoint,7,22,-0.005122798981502696
external_lung,seed42_main,source_disjoint,7,23,-0.00904320530265268
external_lung,seed42_main,source_disjoint,7,24,-0.014112115537472936
external_lung,seed42_main,source_disjoint,7,25,-0.00926886442938546
external_lung,seed42_main,source_disjoint,7,26,-0.004112384981206363
external_lung,seed42_main,source_disjoint,7,27,-0.0021622859606342804
external_lung,seed42_main,source_disjoint,7,28,-0.00516995163484979
external_lung,seed42_main,source_disjoint,7,29,-0.0049847090681287565
external_lung,seed42_main,source_disjoint,7,30,-0.009976154229593082
external_lung,seed42_main,source_disjoint,7,31,-0.005553908954962439
external_lung,seed42_main,source_disjoint,7,32,-0.006022067441766477
external_lung,seed42_main,source_disjoint,7,33,0.0042268985679064786
external_lung,seed42_main,source_disjoint,7,34,-0.0063420318751936655
external_lung,seed42_main,source_disjoint,7,35,-0.009801015802874957
external_lung,seed42_main,source_disjoint,11,0,0.003374782760989903
external_lung,seed42_main,source_disjoint,11,1,-0.009413690436094635
external_lung,seed42_main,source_disjoint,11,2,0.005311409594891292
external_lung,seed42_main,source_disjoint,11,3,-0.0029302006008595782
external_lung,seed42_main,source_disjoint,11,4,-0.011128026189930917
external_lung,seed42_main,source_disjoint,11,5,2.357632667360221e-05
external_lung,seed42_main,source_disjoint,11,6,0.0035768655610491917
external_lung,seed42_main,source_disjoint,11,7,0.00034690880676846447
external_lung,seed42_main,source_disjoint,11,8,-0.0029840893475419072
external_lung,seed42_main,source_disjoint,11,9,-0.003068290514233407
external_lung,seed42_main,source_disjoint,11,10,-0.001657078960486058
external_lung,seed42_main,source_disjoint,11,11,-0.003216484567610145
external_lung,seed42_main,source_disjoint,11,12,-0.0030413461408921316
external_lung,seed42_main,source_disjoint,11,13,0.0033478383876487383
external_lung,seed42_main,source_disjoint,11,14,-0.003122179260915847
external_lung,seed42_main,source_disjoint,11,15,-0.013792151104045691
external_lung,seed42_main,source_disjoint,11,16,-0.005257520848208852
external_lung,seed42_main,source_disjoint,11,17,-0.012364099316960142
external_lung,seed42_main,source_disjoint,11,18,4.041656001185778e-05
external_lung,seed42_main,source_disjoint,11,19,-0.009720182682851242
external_lung,seed42_main,source_disjoint,11,20,-0.00945073894943882
external_lung,seed42_main,source_disjoint,11,21,-0.002094925027281147
external_lung,seed42_main,source_disjoint,11,22,0.002030932140595687
external_lung,seed42_main,source_disjoint,11,23,0.0021622859606342804
external_lung,seed42_main,source_disjoint,11,24,-0.006749565521979806
external_lung,seed42_main,source_disjoint,11,25,-0.001101351260322958
external_lung,seed42_main,source_disjoint,11,26,0.0023441604806876404
external_lung,seed42_main,source_disjoint,11,27,-0.008130464655718206
external_lung,seed42_main,source_disjoint,11,28,0.0013000660137146847
external_lung,seed42_main,source_disjoint,11,29,-0.005089118514826185
external_lung,seed42_main,source_disjoint,11,30,-0.004092176701200434
external_lung,seed42_main,source_disjoint,11,31,-0.012182224796906838
external_lung,seed42_main,source_disjoint,11,32,0.0026102361674323893
external_lung,seed42_main,source_disjoint,11,33,-0.0097605992428631
external_lung,seed42_main,source_disjoint,11,34,-0.004937556414781774
external_lung,seed42_main,source_disjoint,11,35,-0.0008083312002371557
external_lung,seed42_main,target_disjoint,0,0,-0.0026684981684982345
external_lung,seed42_main,target_disjoint,0,1,0.0020695970695970844
external_lung,seed42_main,target_disjoint,0,2,0.006261904761904802
external_lung,seed42_main,target_disjoint,0,3,0.004390109890109906
external_lung,seed42_main,target_disjoint,0,4,-0.002752747252747323
external_lung,seed42_main,target_disjoint,0,5,-0.002479853479853522
external_lung,seed42_main,target_disjoint,0,6,-0.00016300366300381341
external_lung,seed42_main,target_disjoint,0,7,0.0017692307692307452
external_lung,seed42_main,target_disjoint,0,8,-0.0006135531135530448
external_lung,seed42_main,target_disjoint,0,9,0.00013186813186805146
external_lung,seed42_main,target_disjoint,0,10,-0.0073260073260073555
external_lung,seed42_main,target_disjoint,0,11,0.00224908424908421
external_lung,seed42_main,target_disjoint,0,12,-0.005681318681318659
external_lung,seed42_main,target_disjoint,0,13,-0.0037857142857143367
external_lung,seed42_main,target_disjoint,0,14,-0.0036630036630037055
external_lung,seed42_main,target_disjoint,0,15,-0.0026684981684981235
external_lung,seed42_main,target_disjoint,0,16,-0.0030989010989010968
external_lung,seed42_main,target_disjoint,0,17,-0.0024542124542124566
external_lung,seed42_main,target_disjoint,0,18,-0.003943223443223454
external_lung,seed42_main,target_disjoint,0,19,-0.000866300366300421
external_lung,seed42_main,target_disjoint,0,20,-0.0048663003663003135
external_lung,seed42_main,target_disjoint,0,21,-0.0026043956043956262
external_lung,seed42_main,target_disjoint,0,22,-0.005263736263736218
external_lung,seed42_main,target_disjoint,0,23,-0.003989010989011055
external_lung,seed42_main,target_disjoint,0,24,-0.001967032967032878
external_lung,seed42_main,target_disjoint,0,25,-0.0010897435897435637
external_lung,seed42_main,target_disjoint,0,26,0.000287545787545751
external_lung,seed42_main,target_disjoint,0,27,-0.004304029304029344
external_lung,seed42_main,target_disjoint,0,28,-0.0018608058608058364
external_lung,seed42_main,target_disjoint,0,29,-0.006998168498168533
external_lung,seed42_main,target_disjoint,0,30,-0.008593406593406627
external_lung,seed42_main,target_disjoint,0,31,-0.002413919413919441
external_lung,seed42_main,target_disjoint,0,32,0.001749084249084265
external_lung,seed42_main,target_disjoint,0,33,-0.002461538461538515
external_lung,seed42_main,target_disjoint,0,34,0.004705128205128251
external_lung,seed42_main,target_disjoint,0,35,-0.002355311355311418
external_lung,seed42_main,target_disjoint,3,0,-2.3809523809537048e-05
external_lung,seed42_main,target_disjoint,3,1,-0.005580586080586147
external_lung,seed42_main,target_disjoint,3,2,-0.001146520146520169
external_lung,seed42_main,target_disjoint,3,3,-0.004390109890109906
external_lung,seed42_main,target_disjoint,3,4,-0.00493772893772898
