domain,layer,top_k,overlap_ffl,overlap_bifan,overlap_total,sc_ffl_count,gf_ffl_count,sc_bifan_count,gf_bifan_count,z_overlap_total,p_overlap_upper,null_mean_overlap_total,null_std_overlap_total,delta_overlap_total
external_lung,7,50,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
external_lung,7,100,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
external_lung,7,200,0,0,0,4,3,3,0,0.0,1.0,0.0,0.0,0.0
external_lung,11,50,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
external_lung,11,100,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
external_lung,11,200,0,0,0,5,3,4,0,0.0,1.0,0.0,0.0,0.0
immune,7,50,0,0,0,1,0,4,0,0.0,1.0,0.0,0.0,0.0
immune,7,100,1,0,1,4,4,11,3,,0.0109890109890109,0.0,0.0,1.0
immune,7,200,2,1,3,10,12,16,12,,0.0109890109890109,0.0,0.0,3.0
immune,11,50,0,0,0,2,0,0,0,0.0,1.0,0.0,0.0,0.0
immune,11,100,1,0,1,4,4,11,3,,0.0109890109890109,0.0,0.0,1.0
immune,11,200,1,0,1,9,12,19,12,,0.0109890109890109,0.0,0.0,1.0
lung,7,50,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
lung,7,100,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
lung,7,200,0,0,0,5,2,1,0,0.0,1.0,0.0,0.0,0.0
lung,11,50,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
lung,11,100,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
lung,11,200,0,0,0,0,2,3,0,0.0,1.0,0.0,0.0,0.0
