domain,layer,top_k,perm_idx,null_overlap_total
external_lung,7,50,0,0.0
external_lung,7,50,1,0.0
external_lung,7,50,2,0.0
external_lung,7,50,3,0.0
external_lung,7,50,4,0.0
external_lung,7,50,5,0.0
external_lung,7,50,6,0.0
external_lung,7,50,7,0.0
external_lung,7,50,8,0.0
external_lung,7,50,9,0.0
external_lung,7,50,10,0.0
external_lung,7,50,11,0.0
external_lung,7,50,12,0.0
external_lung,7,50,13,0.0
external_lung,7,50,14,0.0
external_lung,7,50,15,0.0
external_lung,7,50,16,0.0
external_lung,7,50,17,0.0
external_lung,7,50,18,0.0
external_lung,7,50,19,0.0
external_lung,7,50,20,0.0
external_lung,7,50,21,0.0
external_lung,7,50,22,0.0
external_lung,7,50,23,0.0
external_lung,7,50,24,0.0
external_lung,7,50,25,0.0
external_lung,7,50,26,0.0
external_lung,7,50,27,0.0
external_lung,7,50,28,0.0
external_lung,7,50,29,0.0
external_lung,7,50,30,0.0
external_lung,7,50,31,0.0
external_lung,7,50,32,0.0
external_lung,7,50,33,0.0
external_lung,7,50,34,0.0
external_lung,7,50,35,0.0
external_lung,7,50,36,0.0
external_lung,7,50,37,0.0
external_lung,7,50,38,0.0
external_lung,7,50,39,0.0
external_lung,7,50,40,0.0
external_lung,7,50,41,0.0
external_lung,7,50,42,0.0
external_lung,7,50,43,0.0
external_lung,7,50,44,0.0
external_lung,7,50,45,0.0
external_lung,7,50,46,0.0
external_lung,7,50,47,0.0
external_lung,7,50,48,0.0
external_lung,7,50,49,0.0
external_lung,7,50,50,0.0
external_lung,7,50,51,0.0
external_lung,7,50,52,0.0
external_lung,7,50,53,0.0
external_lung,7,50,54,0.0
external_lung,7,50,55,0.0
external_lung,7,50,56,0.0
external_lung,7,50,57,0.0
external_lung,7,50,58,0.0
external_lung,7,50,59,0.0
external_lung,7,50,60,0.0
external_lung,7,50,61,0.0
external_lung,7,50,62,0.0
external_lung,7,50,63,0.0
external_lung,7,50,64,0.0
external_lung,7,50,65,0.0
external_lung,7,50,66,0.0
external_lung,7,50,67,0.0
external_lung,7,50,68,0.0
external_lung,7,50,69,0.0
external_lung,7,50,70,0.0
external_lung,7,50,71,0.0
external_lung,7,50,72,0.0
external_lung,7,50,73,0.0
external_lung,7,50,74,0.0
external_lung,7,50,75,0.0
external_lung,7,50,76,0.0
external_lung,7,50,77,0.0
external_lung,7,50,78,0.0
external_lung,7,50,79,0.0
external_lung,7,50,80,0.0
external_lung,7,50,81,0.0
external_lung,7,50,82,0.0
external_lung,7,50,83,0.0
external_lung,7,50,84,0.0
external_lung,7,50,85,0.0
external_lung,7,50,86,0.0
external_lung,7,50,87,0.0
external_lung,7,50,88,0.0
external_lung,7,50,89,0.0
external_lung,7,100,0,0.0
external_lung,7,100,1,0.0
external_lung,7,100,2,0.0
external_lung,7,100,3,0.0
external_lung,7,100,4,0.0
external_lung,7,100,5,0.0
external_lung,7,100,6,0.0
external_lung,7,100,7,0.0
external_lung,7,100,8,0.0
external_lung,7,100,9,0.0
external_lung,7,100,10,0.0
external_lung,7,100,11,0.0
external_lung,7,100,12,0.0
external_lung,7,100,13,0.0
external_lung,7,100,14,0.0
external_lung,7,100,15,0.0
external_lung,7,100,16,0.0
external_lung,7,100,17,0.0
external_lung,7,100,18,0.0
external_lung,7,100,19,0.0
external_lung,7,100,20,0.0
external_lung,7,100,21,0.0
external_lung,7,100,22,0.0
external_lung,7,100,23,0.0
external_lung,7,100,24,0.0
external_lung,7,100,25,0.0
external_lung,7,100,26,0.0
external_lung,7,100,27,0.0
external_lung,7,100,28,0.0
external_lung,7,100,29,0.0
external_lung,7,100,30,0.0
external_lung,7,100,31,0.0
external_lung,7,100,32,0.0
external_lung,7,100,33,0.0
external_lung,7,100,34,0.0
external_lung,7,100,35,0.0
external_lung,7,100,36,0.0
external_lung,7,100,37,0.0
external_lung,7,100,38,0.0
external_lung,7,100,39,0.0
external_lung,7,100,40,0.0
external_lung,7,100,41,0.0
external_lung,7,100,42,0.0
external_lung,7,100,43,0.0
external_lung,7,100,44,0.0
external_lung,7,100,45,0.0
external_lung,7,100,46,0.0
external_lung,7,100,47,0.0
external_lung,7,100,48,0.0
external_lung,7,100,49,0.0
external_lung,7,100,50,0.0
external_lung,7,100,51,0.0
external_lung,7,100,52,0.0
external_lung,7,100,53,0.0
external_lung,7,100,54,0.0
external_lung,7,100,55,0.0
external_lung,7,100,56,0.0
external_lung,7,100,57,0.0
external_lung,7,100,58,0.0
external_lung,7,100,59,0.0
external_lung,7,100,60,0.0
external_lung,7,100,61,0.0
external_lung,7,100,62,0.0
external_lung,7,100,63,0.0
external_lung,7,100,64,0.0
external_lung,7,100,65,0.0
external_lung,7,100,66,0.0
external_lung,7,100,67,0.0
external_lung,7,100,68,0.0
external_lung,7,100,69,0.0
external_lung,7,100,70,0.0
external_lung,7,100,71,0.0
external_lung,7,100,72,0.0
external_lung,7,100,73,0.0
external_lung,7,100,74,0.0
external_lung,7,100,75,0.0
external_lung,7,100,76,0.0
external_lung,7,100,77,0.0
external_lung,7,100,78,0.0
external_lung,7,100,79,0.0
external_lung,7,100,80,0.0
external_lung,7,100,81,0.0
external_lung,7,100,82,0.0
external_lung,7,100,83,0.0
external_lung,7,100,84,0.0
external_lung,7,100,85,0.0
external_lung,7,100,86,0.0
external_lung,7,100,87,0.0
external_lung,7,100,88,0.0
external_lung,7,100,89,0.0
external_lung,7,200,0,0.0
external_lung,7,200,1,0.0
external_lung,7,200,2,0.0
external_lung,7,200,3,0.0
external_lung,7,200,4,0.0
external_lung,7,200,5,0.0
external_lung,7,200,6,0.0
external_lung,7,200,7,0.0
external_lung,7,200,8,0.0
external_lung,7,200,9,0.0
external_lung,7,200,10,0.0
external_lung,7,200,11,0.0
external_lung,7,200,12,0.0
external_lung,7,200,13,0.0
external_lung,7,200,14,0.0
external_lung,7,200,15,0.0
external_lung,7,200,16,0.0
external_lung,7,200,17,0.0
external_lung,7,200,18,0.0
external_lung,7,200,19,0.0
external_lung,7,200,20,0.0
external_lung,7,200,21,0.0
external_lung,7,200,22,0.0
external_lung,7,200,23,0.0
external_lung,7,200,24,0.0
external_lung,7,200,25,0.0
external_lung,7,200,26,0.0
external_lung,7,200,27,0.0
external_lung,7,200,28,0.0
external_lung,7,200,29,0.0
external_lung,7,200,30,0.0
external_lung,7,200,31,0.0
external_lung,7,200,32,0.0
external_lung,7,200,33,0.0
external_lung,7,200,34,0.0
external_lung,7,200,35,0.0
external_lung,7,200,36,0.0
external_lung,7,200,37,0.0
external_lung,7,200,38,0.0
external_lung,7,200,39,0.0
external_lung,7,200,40,0.0
external_lung,7,200,41,0.0
external_lung,7,200,42,0.0
external_lung,7,200,43,0.0
external_lung,7,200,44,0.0
external_lung,7,200,45,0.0
external_lung,7,200,46,0.0
external_lung,7,200,47,0.0
external_lung,7,200,48,0.0
external_lung,7,200,49,0.0
external_lung,7,200,50,0.0
external_lung,7,200,51,0.0
external_lung,7,200,52,0.0
external_lung,7,200,53,0.0
external_lung,7,200,54,0.0
external_lung,7,200,55,0.0
external_lung,7,200,56,0.0
external_lung,7,200,57,0.0
external_lung,7,200,58,0.0
external_lung,7,200,59,0.0
external_lung,7,200,60,0.0
external_lung,7,200,61,0.0
external_lung,7,200,62,0.0
external_lung,7,200,63,0.0
external_lung,7,200,64,0.0
external_lung,7,200,65,0.0
external_lung,7,200,66,0.0
external_lung,7,200,67,0.0
external_lung,7,200,68,0.0
external_lung,7,200,69,0.0
external_lung,7,200,70,0.0
external_lung,7,200,71,0.0
external_lung,7,200,72,0.0
external_lung,7,200,73,0.0
external_lung,7,200,74,0.0
external_lung,7,200,75,0.0
external_lung,7,200,76,0.0
external_lung,7,200,77,0.0
external_lung,7,200,78,0.0
external_lung,7,200,79,0.0
external_lung,7,200,80,0.0
external_lung,7,200,81,0.0
external_lung,7,200,82,0.0
external_lung,7,200,83,0.0
external_lung,7,200,84,0.0
external_lung,7,200,85,0.0
external_lung,7,200,86,0.0
external_lung,7,200,87,0.0
external_lung,7,200,88,0.0
external_lung,7,200,89,0.0
external_lung,11,50,0,0.0
external_lung,11,50,1,0.0
external_lung,11,50,2,0.0
external_lung,11,50,3,0.0
external_lung,11,50,4,0.0
external_lung,11,50,5,0.0
external_lung,11,50,6,0.0
external_lung,11,50,7,0.0
external_lung,11,50,8,0.0
external_lung,11,50,9,0.0
external_lung,11,50,10,0.0
external_lung,11,50,11,0.0
external_lung,11,50,12,0.0
external_lung,11,50,13,0.0
external_lung,11,50,14,0.0
external_lung,11,50,15,0.0
external_lung,11,50,16,0.0
external_lung,11,50,17,0.0
external_lung,11,50,18,0.0
external_lung,11,50,19,0.0
external_lung,11,50,20,0.0
external_lung,11,50,21,0.0
external_lung,11,50,22,0.0
external_lung,11,50,23,0.0
external_lung,11,50,24,0.0
external_lung,11,50,25,0.0
external_lung,11,50,26,0.0
external_lung,11,50,27,0.0
external_lung,11,50,28,0.0
external_lung,11,50,29,0.0
external_lung,11,50,30,0.0
external_lung,11,50,31,0.0
external_lung,11,50,32,0.0
external_lung,11,50,33,0.0
external_lung,11,50,34,0.0
external_lung,11,50,35,0.0
external_lung,11,50,36,0.0
external_lung,11,50,37,0.0
external_lung,11,50,38,0.0
external_lung,11,50,39,0.0
external_lung,11,50,40,0.0
external_lung,11,50,41,0.0
external_lung,11,50,42,0.0
external_lung,11,50,43,0.0
external_lung,11,50,44,0.0
external_lung,11,50,45,0.0
external_lung,11,50,46,0.0
external_lung,11,50,47,0.0
external_lung,11,50,48,0.0
external_lung,11,50,49,0.0
external_lung,11,50,50,0.0
external_lung,11,50,51,0.0
external_lung,11,50,52,0.0
external_lung,11,50,53,0.0
external_lung,11,50,54,0.0
external_lung,11,50,55,0.0
external_lung,11,50,56,0.0
external_lung,11,50,57,0.0
external_lung,11,50,58,0.0
external_lung,11,50,59,0.0
external_lung,11,50,60,0.0
external_lung,11,50,61,0.0
external_lung,11,50,62,0.0
external_lung,11,50,63,0.0
external_lung,11,50,64,0.0
external_lung,11,50,65,0.0
external_lung,11,50,66,0.0
external_lung,11,50,67,0.0
external_lung,11,50,68,0.0
external_lung,11,50,69,0.0
external_lung,11,50,70,0.0
external_lung,11,50,71,0.0
external_lung,11,50,72,0.0
external_lung,11,50,73,0.0
external_lung,11,50,74,0.0
external_lung,11,50,75,0.0
external_lung,11,50,76,0.0
external_lung,11,50,77,0.0
external_lung,11,50,78,0.0
external_lung,11,50,79,0.0
external_lung,11,50,80,0.0
external_lung,11,50,81,0.0
external_lung,11,50,82,0.0
external_lung,11,50,83,0.0
external_lung,11,50,84,0.0
external_lung,11,50,85,0.0
external_lung,11,50,86,0.0
external_lung,11,50,87,0.0
external_lung,11,50,88,0.0
external_lung,11,50,89,0.0
external_lung,11,100,0,0.0
external_lung,11,100,1,0.0
external_lung,11,100,2,0.0
external_lung,11,100,3,0.0
external_lung,11,100,4,0.0
external_lung,11,100,5,0.0
external_lung,11,100,6,0.0
external_lung,11,100,7,0.0
external_lung,11,100,8,0.0
external_lung,11,100,9,0.0
external_lung,11,100,10,0.0
external_lung,11,100,11,0.0
external_lung,11,100,12,0.0
external_lung,11,100,13,0.0
external_lung,11,100,14,0.0
external_lung,11,100,15,0.0
external_lung,11,100,16,0.0
external_lung,11,100,17,0.0
external_lung,11,100,18,0.0
external_lung,11,100,19,0.0
external_lung,11,100,20,0.0
external_lung,11,100,21,0.0
external_lung,11,100,22,0.0
external_lung,11,100,23,0.0
external_lung,11,100,24,0.0
external_lung,11,100,25,0.0
external_lung,11,100,26,0.0
external_lung,11,100,27,0.0
external_lung,11,100,28,0.0
external_lung,11,100,29,0.0
external_lung,11,100,30,0.0
external_lung,11,100,31,0.0
