domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_directed_signed,auc_distance_only,delta_auc_directed_minus_distance,null_degree_mean_delta,null_sign_mean_delta,p_degree_upper,p_sign_upper
external_lung,seed42_main,source_disjoint,7,771,373,179,1283,0.5265132633677772,0.5250346908806769,0.0014785724871002603,-0.024796682249495983,-0.027565216610308068,0.04,0.04
external_lung,seed42_main,source_disjoint,11,771,373,179,1288,0.5196862327724412,0.509986258369596,0.009699974402845202,-0.005382419245467726,-0.005737046492516232,0.16,0.08
external_lung,seed42_main,target_disjoint,7,1090,700,180,1326,0.5310494505494506,0.505974358974359,0.02507509157509158,-0.005878586691086774,0.01356738400488392,0.04,0.08
external_lung,seed42_main,target_disjoint,11,1090,700,180,1319,0.5357271062271063,0.5060439560439561,0.029683150183150153,-0.006249542124542204,0.004909874847374753,0.04,0.04
immune,seed42_main,source_disjoint,7,1003,248,180,1280,0.5447420422986541,0.5250720999786371,0.019669942320016953,-0.029037598803674524,-0.015302441607918672,0.04,0.04
immune,seed42_main,source_disjoint,11,1003,248,180,1308,0.5429849391155736,0.5248130741294595,0.018171864986114006,-0.02761829737235638,-0.025668148721783125,0.04,0.04
immune,seed42_main,target_disjoint,7,1189,292,180,1339,0.5449176096883065,0.5291286785479759,0.015788931140330642,-0.030719311708740038,-0.018254500033088563,0.04,0.04
immune,seed42_main,target_disjoint,11,1189,292,180,1362,0.5263435194942045,0.5164112490646142,0.009932270429590329,-0.010894302036723176,-0.01672010137800795,0.16,0.04
lung,seed42_main,source_disjoint,7,734,353,179,1378,0.5126214747235915,0.514034187652889,-0.001412712929297455,-0.015600873899261168,-0.01942015569583547,0.28,0.08
lung,seed42_main,source_disjoint,11,734,353,179,1362,0.5211869762738582,0.5128519699910032,0.008335006282854995,-0.015868236017240075,-0.01123029327424723,0.08,0.08
lung,seed42_main,target_disjoint,7,942,581,177,1314,0.5366213568162638,0.5086892882173729,0.027932068598890858,-0.007632031886946338,0.0011575784737683711,0.04,0.04
lung,seed42_main,target_disjoint,11,942,581,177,1300,0.530961995985525,0.5051563595100624,0.025805636475462523,-0.004457183701167965,-0.00018554630075509385,0.08,0.04
