domain,layer,top_k,variant,overlap_total,overlap_ffl,overlap_bifan,overlap_feedback_triad,overlap_feedforward_chain,overlap_multi_input,null_degree_mean,null_degree_std,delta_degree,z_degree,p_degree_upper,null_module_mean,null_module_std,delta_module,z_module,p_module_upper
external_lung,7,100,gene,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,,,,,
external_lung,7,200,gene,1,0,0,0,1,0,0.0,0.0,1.0,,0.02702702702702703,,,,,
external_lung,7,400,gene,36,3,3,0,19,11,0.1111111111111111,0.3928371006591931,35.888888888888886,91.35819612930193,0.02702702702702703,,,,,
external_lung,11,100,gene,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,,,,,
external_lung,11,200,gene,8,0,0,0,8,0,0.0,0.0,8.0,,0.02702702702702703,,,,,
external_lung,11,400,gene,32,3,3,0,18,8,0.0,0.0,32.0,,0.02702702702702703,,,,,
external_lung,7,100,module,19,10,6,1,2,0,12.777777777777779,5.126787553359701,6.222222222222221,1.2136688242805491,0.13513513513513514,25.416666666666668,10.326274470710356,-6.416666666666668,-0.6213922247434953,0.7027027027027027
external_lung,7,200,module,57,19,16,3,19,0,31.055555555555557,7.933558975938313,25.944444444444443,3.2702151106623565,0.02702702702702703,75.72222222222223,19.57125316931146,-18.72222222222223,-0.9566184679261853,0.7837837837837838
external_lung,7,400,module,147,44,53,7,40,3,103.66666666666667,22.785229133512498,43.33333333333333,1.9018168779175757,0.10810810810810811,210.88888888888889,44.70444781362352,-63.888888888888886,-1.4291394260196852,0.918918918918919
external_lung,11,100,module,12,7,3,0,2,0,10.38888888888889,3.5061674056643684,1.6111111111111107,0.45950775439538044,0.2702702702702703,30.47222222222222,11.800391027210146,-18.47222222222222,-1.5653906874465187,1.0
external_lung,11,200,module,32,12,10,1,9,0,27.02777777777778,10.296941593154713,4.972222222222221,0.4828834054499927,0.3783783783783784,76.22222222222223,20.015426149613134,-44.22222222222223,-2.2094069789804087,1.0
external_lung,11,400,module,130,39,44,5,39,3,98.25,20.247599308999025,31.75,1.5680871354407306,0.05405405405405406,206.91666666666666,56.52402389938085,-76.91666666666666,-1.360778326815285,0.9459459459459459
immune,7,100,gene,3,1,0,0,2,0,0.0,0.0,3.0,,0.02702702702702703,,,,,
immune,7,200,gene,25,2,1,0,13,9,0.05555555555555555,0.2290614236454256,24.944444444444443,108.8984956413135,0.02702702702702703,,,,,
immune,7,400,gene,233,7,12,0,120,94,1.5833333333333333,1.6562172428626492,231.41666666666666,139.72603392697448,0.02702702702702703,,,,,
immune,11,100,gene,3,1,0,0,2,0,0.0,0.0,3.0,,0.02702702702702703,,,,,
immune,11,200,gene,24,1,0,0,15,8,0.1111111111111111,0.3142696805273545,23.88888888888889,76.01397897755385,0.02702702702702703,,,,,
immune,11,400,gene,215,7,10,0,103,95,2.0277777777777777,2.397754865506841,212.97222222222223,88.82151602983146,0.02702702702702703,,,,,
immune,7,100,module,6,4,1,0,0,1,4.138888888888889,2.187753512646881,1.8611111111111107,0.8506950624704619,0.2702702702702703,11.0,7.249521056977182,-5.0,-0.6897007348075543,0.7297297297297297
immune,7,200,module,31,12,4,1,12,2,19.444444444444443,6.897843642297225,11.555555555555557,1.6752417356487295,0.10810810810810811,35.25,16.257263334002776,-4.25,-0.261421612769902,0.5405405405405406
immune,7,400,module,65,22,12,7,20,4,54.47222222222222,16.75225708028475,10.527777777777779,0.6284393635629922,0.35135135135135137,81.47222222222223,26.623387912709706,-16.47222222222223,-0.6187124747695456,0.7837837837837838
immune,11,100,module,6,4,1,0,0,1,3.5833333333333335,1.5343293866268306,2.4166666666666665,1.5750637951213484,0.16216216216216217,12.805555555555555,7.0703584870784635,-6.805555555555555,-0.9625474532858762,0.8378378378378378
immune,11,200,module,34,13,4,2,13,2,19.833333333333332,5.785518319236594,14.166666666666668,2.448642608141629,0.02702702702702703,33.888888888888886,14.381272115300545,0.11111111111111427,0.007726097539931865,0.5135135135135135
immune,11,400,module,63,21,12,6,20,4,50.52777777777778,14.303236057913434,12.472222222222221,0.8719860436982593,0.16216216216216217,84.61111111111111,24.795023893445702,-21.611111111111114,-0.8715906548016588,0.8108108108108109
lung,7,100,gene,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,,,,,
lung,7,200,gene,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,,,,,
lung,7,400,gene,27,4,3,0,11,9,0.027777777777777776,0.16433554953054486,26.97222222222222,164.12895626827796,0.02702702702702703,,,,,
lung,11,100,gene,1,0,0,0,1,0,0.0,0.0,1.0,,0.02702702702702703,,,,,
lung,11,200,gene,2,0,0,0,1,1,0.0,0.0,2.0,,0.02702702702702703,,,,,
lung,11,400,gene,30,3,3,0,16,8,0.0,0.0,30.0,,0.02702702702702703,,,,,
lung,7,100,module,6,3,0,0,2,1,10.416666666666666,3.5697416651006493,-4.416666666666666,-1.2372510621275272,0.918918918918919,28.72222222222222,8.995712284537163,-22.72222222222222,-2.5258947266776994,1.0
lung,7,200,module,36,14,6,3,13,0,35.611111111111114,14.119092231163402,0.38888888888888573,0.027543476770449684,0.4594594594594595,77.33333333333333,27.530790843062327,-41.33333333333333,-1.5013492917421658,1.0
lung,7,400,module,81,25,28,6,21,1,99.66666666666667,24.093567606313517,-18.66666666666667,-0.7747572701427259,0.7297297297297297,208.47222222222223,48.48395273530724,-127.47222222222223,-2.6291631566869698,1.0
lung,11,100,module,6,4,1,0,1,0,6.583333333333333,4.009537241239803,-0.583333333333333,-0.14548644849423034,0.5135135135135135,35.94444444444444,11.35523482913019,-29.944444444444443,-2.637060782541138,1.0
