domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_path_homology,auc_distance_only,delta_auc_path_minus_distance,null_degree_mean_delta,null_sign_mean_delta,null_random_map_mean_delta,p_degree_upper,p_sign_upper,p_random_map_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,563,297,139,795,0.5150692387534493,0.5313599655704919,-0.016290726817042578,-0.03515522813768432,-0.02758896399247283,-0.02465971325620453,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,source_disjoint,11,563,297,139,795,0.5032151084782663,0.5087212981949825,-0.0055061897167161256,-0.011509202298676033,-0.011371020142950041,-0.009671696075204914,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,target_disjoint,7,795,577,140,810,0.5093174121126357,0.5113009396912216,-0.0019835275785858864,-0.013803867945028312,-0.01334011734215255,-0.0087363988573185,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,target_disjoint,11,795,577,140,832,0.5114201898462467,0.5096592625570413,0.001760927289205405,-0.0030481664626163993,-0.01009916312891207,-0.006054595370973932,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,source_disjoint,7,802,207,140,800,0.5330775788576301,0.5276864368935981,0.005391141964032009,-0.026988863178121502,-0.013546191423429313,-0.00531130326526752,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,source_disjoint,11,802,207,140,818,0.5340437624325093,0.5299801079852231,0.00406365444728618,-0.029857643540508,-0.017879132329260233,-0.00785125644460688,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,target_disjoint,7,846,229,140,854,0.5048693141203032,0.5072756612146391,-0.002406347094335848,-0.006110234288558743,-0.015894276432661215,-0.006161546101599719,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,target_disjoint,11,846,229,140,850,0.5103649862342792,0.5087017757426058,0.0016632104916733947,-0.004426381113478132,-0.010299519438330249,-0.0011088069944488372,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,7,550,300,139,839,0.5306599999999999,0.51836,0.012299999999999867,-0.017714444444444515,-0.003573333333333354,-0.009444444444444458,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,11,550,300,139,845,0.5375333333333334,0.5231733333333333,0.01436000000000015,-0.021878888888888837,-0.007255555555555478,-0.003907777777777732,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,7,681,480,139,829,0.5178897180762853,0.5059805140961858,0.011909203980099425,-0.0025091556108348214,-0.003945550027639698,0.0005372443338860037,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,11,681,480,139,817,0.5122616086235489,0.5044206053067993,0.007841003316749529,-0.004943166113875038,-0.0044793394140409115,-5.527915975675479e-05,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
