null_kind,domain,split_regime,layer,perm_idx,null_delta_auc
degree_orientation_null,external_lung,source_disjoint,7,0,-0.026195539353434105
degree_orientation_null,external_lung,source_disjoint,7,1,-0.038176248702564586
degree_orientation_null,external_lung,source_disjoint,7,2,-0.038176248702564586
degree_orientation_null,external_lung,source_disjoint,7,3,-0.04440393914078128
degree_orientation_null,external_lung,source_disjoint,7,4,-0.03292954608744081
degree_orientation_null,external_lung,source_disjoint,7,5,-0.03104984683932055
degree_orientation_null,external_lung,source_disjoint,11,0,-0.006594769752664487
degree_orientation_null,external_lung,source_disjoint,11,1,-0.021695653274600657
degree_orientation_null,external_lung,source_disjoint,11,2,-0.002930305561884672
degree_orientation_null,external_lung,source_disjoint,11,3,-0.010392141971089341
degree_orientation_null,external_lung,source_disjoint,11,4,-0.016898306371990635
degree_orientation_null,external_lung,source_disjoint,11,5,-0.010544036859826411
degree_orientation_null,external_lung,target_disjoint,7,0,0.0025638783330418358
degree_orientation_null,external_lung,target_disjoint,7,1,-0.014639944031927254
degree_orientation_null,external_lung,target_disjoint,7,2,-0.016452546388310285
degree_orientation_null,external_lung,target_disjoint,7,3,-0.01388866805526845
degree_orientation_null,external_lung,target_disjoint,7,4,-0.019087974814367248
degree_orientation_null,external_lung,target_disjoint,7,5,-0.021317952713338473
degree_orientation_null,external_lung,target_disjoint,11,0,-0.010982939277821069
degree_orientation_null,external_lung,target_disjoint,11,1,-0.003183979139172899
degree_orientation_null,external_lung,target_disjoint,11,2,0.004869381330195766
degree_orientation_null,external_lung,target_disjoint,11,3,0.010068688089294509
degree_orientation_null,external_lung,target_disjoint,11,4,-0.009249837024788099
degree_orientation_null,external_lung,target_disjoint,11,5,-0.009810312753406603
degree_orientation_null,immune,source_disjoint,7,0,-0.02558762635488976
degree_orientation_null,immune,source_disjoint,7,1,-0.030735192627775743
degree_orientation_null,immune,source_disjoint,7,2,-0.013510331668899478
degree_orientation_null,immune,source_disjoint,7,3,-0.035777209434498414
degree_orientation_null,immune,source_disjoint,7,4,-0.024958389152762606
degree_orientation_null,immune,source_disjoint,7,5,-0.03136442982990301
degree_orientation_null,immune,source_disjoint,11,0,-0.0337636503876913
degree_orientation_null,immune,source_disjoint,11,1,-0.023257418909592875
