domain,seed_tag,split_regime,layer,delta_auc_directed_minus_distance,is_failure_slice,orientation_entropy,sign_balance,knn_density,degree_assortativity,margin_iqr,diagnostic_name,delta_corr_global,failure_slice_minus_other_mean
immune,seed42_main,source_disjoint,7,-0.0007752949018926536,0,0.35902156388673834,0.8636788048552755,0.09583892617449664,-0.16401198232480635,0.0,row,,
immune,seed42_main,source_disjoint,11,-0.004409036895342333,0,0.3264224759228385,0.880514705882353,0.09736017897091723,-0.24184532851465101,0.0,row,,
immune,seed42_main,target_disjoint,7,0.01900318751635377,0,0.3295306629422638,0.8789473684210527,0.10201342281879194,-0.16091959252235308,0.0,row,,
immune,seed42_main,target_disjoint,11,0.019247008729988968,0,0.32233814326870436,0.8825622775800712,0.10058165548098434,-0.17142526165184446,0.0,row,,
immune,seed43,source_disjoint,7,0.041391125445699894,0,0.2771413358244037,0.904323827046918,0.09727069351230425,-0.22052119338026147,0.0,row,,
immune,seed43,source_disjoint,11,0.01688052532658868,0,0.2754438295277747,0.9051094890510949,0.09807606263982104,-0.2328929090649465,0.0,row,,
immune,seed43,target_disjoint,7,0.02886186352189657,0,0.34478770167591155,0.8711385701676964,0.10138702460850112,-0.1628065317884467,0.0,row,,
immune,seed43,target_disjoint,11,0.019258645046373202,0,0.3163978830964005,0.8855160450997399,0.10317673378076063,-0.17874427088331485,0.0,row,,
immune,seed44,source_disjoint,7,0.011903046372885306,0,0.29051642080974416,0.8980537534754403,0.09655480984340045,-0.19615743829757554,0.0,row,,
immune,seed44,source_disjoint,11,0.019482952416635668,0,0.2883073653267928,0.899099099099099,0.09932885906040269,-0.16653999427547828,0.0,row,,
immune,seed44,target_disjoint,7,0.002386947854369992,0,0.29727986954225916,0.894829097283085,0.10210290827740492,-0.17877533263590498,0.0,row,,
immune,seed44,target_disjoint,11,0.0004196831392297984,0,0.29537112576423147,0.8957428323197221,0.10299776286353468,-0.15708295703915728,0.0,row,,
lung,seed42_main,source_disjoint,7,-0.002593183631596774,1,0.4453908554468218,0.8146167557932265,0.10175947759840377,-0.16984845854718195,0.0,row,,
lung,seed42_main,source_disjoint,11,0.017667844522968212,1,0.455910215509437,0.808170515097691,0.10212225648467259,-0.14951999491817772,0.0,row,,
lung,seed42_main,target_disjoint,7,0.044085552160628594,0,0.47395181070183223,0.7968605724838411,0.09955874241588528,-0.19000698840829092,0.09999999999999998,row,,
lung,seed42_main,target_disjoint,11,0.04342677465767819,0,0.46136018485204267,0.8047882136279927,0.09983452840595698,-0.19465043424201092,0.09999999999999995,row,,
lung,seed43,source_disjoint,7,-0.005747786002562982,1,0.4933757335098128,0.7843137254901962,0.10175947759840377,-0.12789831150808958,0.0,row,,
lung,seed43,source_disjoint,11,-0.010783076069700193,1,0.4994081343827484,0.7803365810451728,0.10239434064937421,-0.13990316090993316,0.0,row,,
lung,seed43,target_disjoint,7,0.02497504990019961,0,0.4996145283756812,0.7801998183469574,0.0985234899328859,-0.13744660734329558,0.0,row,,
lung,seed43,target_disjoint,11,0.024442781104457634,0,0.4729245408498366,0.7975133214920072,0.10076062639821029,-0.1666457844977925,0.0,row,,
lung,seed44,source_disjoint,7,-0.005432532181114391,1,0.44517451918197326,0.814748201438849,0.10085253038273173,-0.1672892012690275,0.0,row,,
lung,seed44,source_disjoint,11,-0.011990278152849032,1,0.48430414511992886,0.7902222222222222,0.10203156176310539,-0.15010927241188501,0.0,row,,
lung,seed44,target_disjoint,7,0.029372048818667507,0,0.4972174314819196,0.781785392245266,0.09923937360178971,-0.14639548584973405,0.09999999999999999,row,,
