domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_path_homology_v2,auc_distance_only,delta_auc_path_minus_distance,null_rewire_mean_delta,null_sign_mean_delta,p_rewire_upper,p_sign_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,610,304,149,0.5368990798073615,0.5449077657378741,-0.008008685930512627,-0.042953520955165726,-0.020430659471390906,0.04,0.04,0.04
external_lung,seed42_main,source_disjoint,11,610,304,149,0.5253375472996216,0.5217900756793945,0.0035474716202270606,-0.020485752780644368,-0.00659216080438015,0.04,0.04,0.04
external_lung,seed42_main,target_disjoint,7,869,610,150,0.5262928033419837,0.5212260269637318,0.005066776378251925,-0.01858833364980893,-0.006884270101483139,0.04,0.04,0.04
external_lung,seed42_main,target_disjoint,11,869,610,150,0.5240236723843281,0.5170358883473637,0.006987784036964428,-0.019347479798299417,-0.0035698461927969557,0.04,0.04,0.04
immune,seed42_main,source_disjoint,7,853,217,150,0.5422789322667594,0.5353628669970727,0.006916065269686689,-0.03658422818305653,-0.016123748901061694,0.04,0.04,0.04
immune,seed42_main,source_disjoint,11,853,217,150,0.5340332724690607,0.5265773990667478,0.007455873402312907,-0.021699049116501983,-0.015989853539305786,0.04,0.04,0.04
immune,seed42_main,target_disjoint,7,935,243,150,0.5261750993125431,0.5225594091201028,0.003615690192440346,-0.021758689351950994,-0.013429741827033671,0.04,0.04,0.04
immune,seed42_main,target_disjoint,11,935,243,150,0.5169961226480173,0.513796712576417,0.003199410071600295,-0.012236281587731912,-0.012838896619805298,0.12,0.04,0.04
lung,seed42_main,source_disjoint,7,593,310,149,0.5352217029522397,0.5229112048330103,0.012310498119229352,-0.021106899958205066,-0.0006404593639575592,0.04,0.04,0.04
lung,seed42_main,source_disjoint,11,593,310,149,0.5324974353128917,0.5146871081728028,0.0178103271400889,-0.011948354800714224,0.003919934268019408,0.04,0.04,0.04
lung,seed42_main,target_disjoint,7,759,522,148,0.5369036649045379,0.5241807717800734,0.012722893124464507,-0.023018985994578894,-0.004392523616297804,0.04,0.04,0.04
lung,seed42_main,target_disjoint,11,759,522,148,0.5288326300984528,0.5095825856410754,0.019250044457377435,-0.010275211374622109,0.0032026151715515614,0.04,0.04,0.04
