domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_weighted_directed_signed,auc_unweighted_directed_signed,auc_distance_only,delta_auc_weighted_minus_distance,delta_auc_weighted_minus_unweighted,mean_edge_weight,mean_abs_margin,p_weight_shuffle_upper,p_placebo_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,610,304,149,1066,0.5134911420708634,0.5163076195390438,0.5266974114207086,-0.013206269349845146,-0.0028164774681803673,1.2119742648437108,0.03531894934333959,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.6363636363636364
external_lung,seed42_main,source_disjoint,11,610,304,149,1066,0.5041064671482628,0.5042569659442725,0.510298417612659,-0.006191950464396245,-0.0001504987960097015,1.2059095773641688,0.03536585365853659,0.3333333333333333,0.2727272727272727,0.8181818181818182,0.2727272727272727
external_lung,seed42_main,target_disjoint,7,869,610,150,1077,0.5212450155073106,0.5220172162795113,0.5135894676878282,0.007655547819482411,-0.0007722007722006374,1.2353149072822718,0.04210770659238626,0.9393939393939394,0.7878787878787878,0.3333333333333333,0.3333333333333333
external_lung,seed42_main,target_disjoint,11,869,610,150,1089,0.5297772010886765,0.5310874105956073,0.511298183429331,0.018479017659345565,-0.0013102095069307262,1.2400843787108342,0.046189164370982555,0.5151515151515151,0.36363636363636365,0.06060606060606061,0.06060606060606061
external_lung,seed43,source_disjoint,7,657,321,150,1096,0.5369705904168521,0.5369242323097464,0.5294327622014539,0.007537828215398279,4.635810710573729e-05,1.2051801660486978,0.03654197080291971,0.5151515151515151,0.6060606060606061,0.45454545454545453,0.45454545454545453
external_lung,seed43,source_disjoint,11,657,321,150,1101,0.5212459204865746,0.5212690995401275,0.5290943480195817,-0.007848427533007074,-2.3179053552868645e-05,1.1971217380466606,0.034877384196185295,0.36363636363636365,0.30303030303030304,0.8787878787878788,0.30303030303030304
external_lung,seed43,target_disjoint,7,905,627,150,1089,0.5418918453753746,0.5360773582091264,0.5096296168806582,0.03226222849471638,0.005814487166248217,1.2393644346687587,0.045454545454545456,0.45454545454545453,0.21212121212121213,0.06060606060606061,0.06060606060606061
external_lung,seed43,target_disjoint,11,905,627,150,1094,0.5361433341365185,0.5316225488508715,0.5128911225086916,0.02325221162782687,0.004520785285647033,1.2384846700608727,0.04648080438756856,0.06060606060606061,0.09090909090909091,0.09090909090909091,0.06060606060606061
external_lung,seed44,source_disjoint,7,652,327,149,1068,0.5184897671136203,0.5183721477299459,0.5114090802164197,0.007080686897200539,0.0001176193836743833,1.2096115325822976,0.038295880149812736,0.21212121212121213,0.30303030303030304,0.42424242424242425,0.21212121212121213
external_lung,seed44,source_disjoint,11,652,327,149,1071,0.4975535168195719,0.4977370030581039,0.5108821453775582,-0.013328628557986277,-0.00018348623853203794,1.210429094300911,0.040336134453781515,0.3939393939393939,0.3333333333333333,0.6060606060606061,0.3333333333333333
