domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_topology_score,auc_distance_baseline,delta_auc_topology_minus_baseline,mean_node_curvature,mean_local_clustering,mean_degree_norm,p_curvature_upper,p_topology_feature_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,668,324,159,0.563276091013494,0.5756711168532874,-0.012395025839793461,-25.33755714704777,0.46802154040194494,0.09019982485470902,0.44,0.52,0.76,0.44
external_lung,seed42_main,source_disjoint,11,668,324,159,0.5405586060867068,0.5615130634510479,-0.020954457364341095,-25.60832883554938,0.4761711147060886,0.09059788233420907,0.68,0.32,0.88,0.32
external_lung,seed42_main,target_disjoint,7,942,647,160,0.5267230765200535,0.5263013124459697,0.0004217640740837858,-26.465047416607682,0.4672696284019843,0.09080188679245282,0.76,0.24,0.2,0.2
external_lung,seed42_main,target_disjoint,11,942,647,160,0.4801508919917219,0.5199931889031514,-0.03984229691142949,-26.743578055481272,0.4729902897961402,0.0915880503144654,0.4,0.96,0.76,0.4
external_lung,seed43,source_disjoint,7,709,335,160,0.5228270412642669,0.5460491659350307,-0.02322212467076379,-27.592083427247417,0.5069734516126065,0.09237421383647798,1.0,0.8,1.0,0.8
external_lung,seed43,source_disjoint,11,709,335,160,0.515974938143507,0.5441814989224998,-0.02820656077899275,-28.06655632192826,0.4994741236333072,0.09394654088050314,1.0,0.48,1.0,0.48
external_lung,seed43,target_disjoint,7,971,657,160,0.4807584174349727,0.4929058934163201,-0.012147475981347355,-26.81653249494491,0.4750936597233836,0.09135220125786163,0.76,0.28,0.72,0.28
external_lung,seed43,target_disjoint,11,971,657,160,0.47233613510552697,0.48636196182221836,-0.014025826716691392,-27.538399685690354,0.5010807184765838,0.09316037735849056,0.44,0.08,0.08,0.08
external_lung,seed44,source_disjoint,7,710,339,160,0.4960522863344703,0.5356606158910383,-0.03960832955656801,-25.787617095194605,0.4751191060313339,0.08962264150943396,0.92,0.56,1.0,0.56
external_lung,seed44,source_disjoint,11,710,339,160,0.49677185952023156,0.5179933051864928,-0.02122144566626122,-26.20123171399852,0.4630995516457281,0.09088050314465408,1.0,0.4,0.96,0.4
external_lung,seed44,target_disjoint,7,970,656,160,0.5153895448190151,0.4965240018642225,0.01886554295479259,-26.03952239049438,0.44936501602651563,0.09048742138364779,1.0,0.48,0.2,0.2
external_lung,seed44,target_disjoint,11,970,656,160,0.48956472347366775,0.4929557635544509,-0.0033910400807831698,-27.110139083333365,0.4676048138310239,0.09300314465408803,1.0,0.2,0.92,0.2
immune,seed42_main,source_disjoint,7,903,229,160,0.568913350524147,0.5781847278193151,-0.009271377295168026,-25.928458659959933,0.4728694614833492,0.08938679245283018,0.48,0.6,1.0,0.48
immune,seed42_main,source_disjoint,11,903,229,160,0.5312123411037539,0.5918747489406917,-0.06066240783693777,-26.780182361338234,0.4872636033349555,0.09190251572327043,0.8,0.84,1.0,0.8
immune,seed42_main,target_disjoint,7,1022,259,160,0.5974713713901132,0.5778020109605955,0.019669360429517724,-29.50001522852643,0.5033512121738445,0.095125786163522,0.08,0.24,0.44,0.08
immune,seed42_main,target_disjoint,11,1022,259,160,0.5572243278665296,0.5773389941148788,-0.020114666248349122,-29.128474931994937,0.5055827310826342,0.09504716981132075,0.56,0.52,0.8,0.52
immune,seed43,source_disjoint,7,870,227,160,0.6196038667863334,0.6123724830605436,0.007231383725789797,-27.06980493743377,0.498470791043074,0.09064465408805031,0.12,0.24,0.24,0.12
immune,seed43,source_disjoint,11,870,227,160,0.5554463178520289,0.608803036427539,-0.053356718575510054,-26.77010030478865,0.4798136283264801,0.09127358490566037,0.08,0.56,0.88,0.08
immune,seed43,target_disjoint,7,998,259,160,0.5758642849305907,0.5518779943678456,0.02398629056274515,-30.12058785712977,0.4974179728441152,0.09567610062893081,0.08,0.08,0.04,0.04
immune,seed43,target_disjoint,11,998,259,160,0.5481998526653465,0.5582050250521156,-0.010005172386769012,-29.984141623134008,0.48735672417360315,0.09638364779874213,0.56,0.28,0.88,0.28
immune,seed44,source_disjoint,7,899,230,160,0.5959446285825697,0.6144602586599077,-0.01851563007733803,-27.156544498853215,0.47465907918389244,0.09135220125786163,0.32,0.28,1.0,0.28
immune,seed44,source_disjoint,11,899,230,160,0.5547410151426528,0.6053811659192825,-0.050640150776629644,-27.763908473638544,0.5003377391248576,0.09339622641509433,0.68,0.72,0.76,0.68
immune,seed44,target_disjoint,7,1034,256,160,0.5743718870501286,0.5736062017994858,0.0007656852506428002,-31.91958427326361,0.5040436685764453,0.09685534591194969,0.64,0.64,0.72,0.64
