domain,split_regime,layer,train_domains,n_train_pairs,n_shared_target_symbols,n_edges_eval,n_positive_eval,auc_transfer,auc_baseline,delta_auc_transfer_minus_baseline,null_gap_q95,null_q95,alignment_diag_cosine,mean_anchor_fraction_train,p_random_map_upper,p_signature_destroy_upper,p_anchor_shuffle_upper,p_best_upper
external_lung,source_disjoint,7,immune+lung,120,220,994,610,0.4271580430327869,0.3799457821038251,0.0472122609289618,-0.16671384050546453,0.21392610143442634,0.015584145200250386,0.2727272727272727,0.8,1.0,0.12,0.12
external_lung,source_disjoint,11,immune+lung,120,220,994,610,0.38707522199453553,0.37219304986338797,0.014882172131147564,-0.1955238217213115,0.21040599385245906,0.07171284068940924,0.2727272727272727,0.92,1.0,0.4,0.4
external_lung,target_disjoint,7,immune+lung,120,220,817,502,0.4126667931448808,0.38138873079112123,0.03127806235375957,-0.19182855878075003,0.2231066211345096,0.015584145200250386,0.2727272727272727,0.84,1.0,0.24,0.24
external_lung,target_disjoint,11,immune+lung,120,220,817,502,0.4058875608676406,0.3699361285018656,0.03595143236577503,-0.17468506924682226,0.21063650161259728,0.07171284068940924,0.2727272727272727,0.8,1.0,0.24,0.24
immune,source_disjoint,7,external_lung+lung,120,220,1026,249,0.5541522589715361,0.4908049185157619,0.06334734045577417,-0.010294976560036764,0.07364231701581093,-0.08580028195943455,0.2727272727272727,0.16,0.04,0.12,0.04
immune,source_disjoint,11,external_lung+lung,120,220,1026,249,0.5877900275490636,0.4692153427093186,0.11857468483974504,0.010873610271200526,0.10770107456854451,0.027455056159534627,0.2727272727272727,0.04,0.12,0.04,0.04
immune,target_disjoint,7,external_lung+lung,120,220,943,244,0.5471897793100214,0.47385902577452566,0.07333075353549579,-0.010565444780599773,0.08389619831609556,-0.08580028195943455,0.2727272727272727,0.32,0.04,0.08,0.04
immune,target_disjoint,11,external_lung+lung,120,220,943,244,0.5543076760712025,0.4476858040760806,0.10662187199512185,-0.003825429770867028,0.11044730176598888,0.027455056159534627,0.2727272727272727,0.12,0.16,0.04,0.04
lung,source_disjoint,7,external_lung+immune,120,220,970,627,0.39283970594389495,0.39832187146902504,-0.005482165525130089,-0.22200189713616147,0.21651973161103139,0.0596178847636656,0.2727272727272727,0.88,1.0,0.4,0.4
lung,source_disjoint,11,external_lung+immune,120,220,970,627,0.4238402127768401,0.3929373526580831,0.03090286011875698,-0.1779246353360209,0.20882749545477788,0.09295860056872976,0.2727272727272727,0.84,1.0,0.2,0.2
lung,target_disjoint,7,external_lung+immune,120,220,750,484,0.40953753184614433,0.3750194183806624,0.03451811346548195,-0.174069859566271,0.20858797303175294,0.0596178847636656,0.2727272727272727,0.76,1.0,0.16,0.16
lung,target_disjoint,11,external_lung+immune,120,220,750,484,0.3919367116137451,0.37226977567886654,0.01966693593487856,-0.23420314733113784,0.2538700832660164,0.09295860056872976,0.2727272727272727,0.84,1.0,0.2,0.2
