domain,split_regime,layer,train_domains,n_train_genes,n_shared_target_symbols,n_edges_eval,n_positive_eval,n_tokens_sc,n_tokens_gf,auc_transfer,auc_baseline,delta_auc_transfer_minus_baseline,null_q95,null_gap_q95,mean_transport_diag,p_random_map_upper,p_freq_shuffle_upper,p_signature_destroy_upper,p_best_upper
external_lung,source_disjoint,7,immune+lung,440,220,994,610,12,12,0.6896580430327868,0.8759456113387978,-0.186287568306011,-0.27568796960382497,0.08940040129781396,0.08860509984059996,0.04,0.04,0.04,0.04
external_lung,source_disjoint,11,immune+lung,440,220,994,610,12,12,0.7914339993169399,0.8710809426229509,-0.07964694330601096,-0.2991145833333334,0.21946764002732244,0.08844280225499936,0.04,0.04,0.04,0.04
external_lung,target_disjoint,7,immune+lung,440,220,817,502,12,12,0.7129987984569657,0.8763232783153102,-0.16332447985834453,-0.29186112692088795,0.12853664706254342,0.08860509984059996,0.08,0.04,0.04,0.04
external_lung,target_disjoint,11,immune+lung,440,220,817,502,12,12,0.8162524505153986,0.8744956681211661,-0.05824321760576745,-0.22307879592740135,0.1648355783216339,0.08844280225499936,0.04,0.04,0.04,0.04
immune,source_disjoint,7,external_lung+lung,440,220,1026,249,12,12,0.825567391832452,0.8539305226052214,-0.028363130772769418,-0.19195210701234783,0.1635889762395784,0.09456960391720831,0.04,0.04,0.04,0.04
immune,source_disjoint,11,external_lung+lung,440,220,1026,249,12,12,0.7795738940317254,0.8453169176060742,-0.0657430235743488,-0.15605562533273362,0.09031260175838482,0.10444785019856556,0.08,0.04,0.04,0.04
immune,target_disjoint,7,external_lung+lung,440,220,943,244,12,12,0.8540948427495954,0.8854657707732357,-0.03137092802364039,-0.2565186800816154,0.225147752057975,0.09456960391720831,0.04,0.04,0.04,0.04
immune,target_disjoint,11,external_lung+lung,440,220,943,244,12,12,0.8099802997256033,0.8771547175121368,-0.06717441778653355,-0.23439867257674898,0.16722425479021544,0.10444785019856556,0.04,0.04,0.04,0.04
lung,source_disjoint,7,external_lung+immune,440,220,970,627,12,12,0.7238295181367148,0.8652103356722046,-0.1413808175354898,-0.2748180748717805,0.1334372573362907,0.08796568173737519,0.04,0.04,0.04,0.04
lung,source_disjoint,11,external_lung+immune,440,220,970,627,12,12,0.7389159354787711,0.8650127173220621,-0.12609678184329098,-0.2197790394353229,0.09368225759203191,0.0724476234786337,0.04,0.04,0.04,0.04
lung,target_disjoint,7,external_lung+immune,440,220,750,484,12,12,0.7305583172808054,0.8684094016031816,-0.13785108432237614,-0.231263981234077,0.09341289691170085,0.08796568173737519,0.04,0.04,0.04,0.04
lung,target_disjoint,11,external_lung+immune,440,220,750,484,12,12,0.7271872863978127,0.866133567389548,-0.13894628099173534,-0.2104214565338965,0.07147517554216115,0.0724476234786337,0.04,0.04,0.04,0.04
