null_kind,domain,split_regime,layer,perm_idx,null_delta_auc
random_codebook_mapping,external_lung,source_disjoint,7,0,-0.4808401639344262
random_codebook_mapping,external_lung,source_disjoint,7,1,-0.3889728483606557
random_codebook_mapping,external_lung,source_disjoint,7,2,-0.3908726092896175
random_codebook_mapping,external_lung,source_disjoint,7,3,-0.28885331284152993
random_codebook_mapping,external_lung,source_disjoint,7,4,-0.5292477800546447
random_codebook_mapping,external_lung,source_disjoint,7,5,-0.3107966188524589
random_codebook_mapping,external_lung,source_disjoint,7,6,-0.40014941939890714
random_codebook_mapping,external_lung,source_disjoint,7,7,-0.2529072745901638
random_codebook_mapping,external_lung,source_disjoint,7,8,-0.4052894467213115
random_codebook_mapping,external_lung,source_disjoint,7,9,-0.617324112021858
random_codebook_mapping,external_lung,source_disjoint,7,10,-0.5662781762295082
random_codebook_mapping,external_lung,source_disjoint,7,11,-0.3566342213114754
random_codebook_mapping,external_lung,source_disjoint,7,12,-0.34458674863387984
random_codebook_mapping,external_lung,source_disjoint,7,13,-0.5821422472677595
random_codebook_mapping,external_lung,source_disjoint,7,14,-0.2595969945355191
random_codebook_mapping,external_lung,source_disjoint,7,15,-0.38665044398907095
random_codebook_mapping,external_lung,source_disjoint,7,16,-0.30213883196721303
random_codebook_mapping,external_lung,source_disjoint,7,17,-0.4456198770491803
random_codebook_mapping,external_lung,source_disjoint,7,18,-0.4778005464480874
random_codebook_mapping,external_lung,source_disjoint,7,19,-0.4974385245901639
random_codebook_mapping,external_lung,source_disjoint,7,20,-0.39511612021857917
random_codebook_mapping,external_lung,source_disjoint,7,21,-0.38139941939890704
random_codebook_mapping,external_lung,source_disjoint,7,22,-0.23487448770491814
random_codebook_mapping,external_lung,source_disjoint,7,23,-0.24657616120218573
random_codebook_mapping,external_lung,source_disjoint,11,0,-0.4480554132513662
random_codebook_mapping,external_lung,source_disjoint,11,1,-0.3944565403005465
random_codebook_mapping,external_lung,source_disjoint,11,2,-0.5339544911202186
random_codebook_mapping,external_lung,source_disjoint,11,3,-0.33221268784153013
random_codebook_mapping,external_lung,source_disjoint,11,4,-0.2852266905737706
random_codebook_mapping,external_lung,source_disjoint,11,5,-0.3097698941256831
random_codebook_mapping,external_lung,source_disjoint,11,6,-0.4750619023224044
random_codebook_mapping,external_lung,source_disjoint,11,7,-0.35362662226775954
random_codebook_mapping,external_lung,source_disjoint,11,8,-0.5394445867486338
random_codebook_mapping,external_lung,source_disjoint,11,9,-0.3764707137978143
random_codebook_mapping,external_lung,source_disjoint,11,10,-0.4834037739071039
random_codebook_mapping,external_lung,source_disjoint,11,11,-0.34136996243169404
random_codebook_mapping,external_lung,source_disjoint,11,12,-0.45077057718579244
random_codebook_mapping,external_lung,source_disjoint,11,13,-0.3029222165300547
random_codebook_mapping,external_lung,source_disjoint,11,14,-0.5112683572404373
random_codebook_mapping,external_lung,source_disjoint,11,15,-0.14676186816939907
random_codebook_mapping,external_lung,source_disjoint,11,16,-0.37682932035519134
random_codebook_mapping,external_lung,source_disjoint,11,17,-0.10262764685792347
random_codebook_mapping,external_lung,source_disjoint,11,18,-0.35667477800546454
random_codebook_mapping,external_lung,source_disjoint,11,19,-0.3758559596994536
random_codebook_mapping,external_lung,source_disjoint,11,20,-0.29446080942622965
random_codebook_mapping,external_lung,source_disjoint,11,21,-0.5288998463114756
random_codebook_mapping,external_lung,source_disjoint,11,22,-0.6251899760928963
random_codebook_mapping,external_lung,source_disjoint,11,23,-0.5317345457650273
random_codebook_mapping,external_lung,target_disjoint,7,0,-0.5479447290204262
random_codebook_mapping,external_lung,target_disjoint,7,1,-0.2906437741099096
random_codebook_mapping,external_lung,target_disjoint,7,2,-0.3860779105799026
random_codebook_mapping,external_lung,target_disjoint,7,3,-0.4163251754885221
random_codebook_mapping,external_lung,target_disjoint,7,4,-0.33861063681780823
random_codebook_mapping,external_lung,target_disjoint,7,5,-0.5080598241952824
random_codebook_mapping,external_lung,target_disjoint,7,6,-0.3017359134889015
random_codebook_mapping,external_lung,target_disjoint,7,7,-0.2213273888572692
random_codebook_mapping,external_lung,target_disjoint,7,8,-0.6285745905267818
random_codebook_mapping,external_lung,target_disjoint,7,9,-0.2979542148864859
random_codebook_mapping,external_lung,target_disjoint,7,10,-0.3736008347562132
random_codebook_mapping,external_lung,target_disjoint,7,11,-0.33114842218427876
random_codebook_mapping,external_lung,target_disjoint,7,12,-0.22430595079997473
random_codebook_mapping,external_lung,target_disjoint,7,13,-0.32013216973376346
random_codebook_mapping,external_lung,target_disjoint,7,14,-0.3371118699803959
random_codebook_mapping,external_lung,target_disjoint,7,15,-0.5586131663820908
random_codebook_mapping,external_lung,target_disjoint,7,16,-0.31905710491367856
random_codebook_mapping,external_lung,target_disjoint,7,17,-0.2928571428571429
