domain,seed_tag,split_regime,transition_from,transition_to,transition,n_edges_eval,n_positive_eval,n_nodes_graph,auc_id_interaction,auc_directed_geodesic_baseline,delta_auc_id_interaction_minus_baseline,mean_edge_margin,mean_abs_id_delta_gap,p_partner_upper,p_order_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,3,0->3,704,337,169,0.7179310958206325,0.8361565019122081,-0.11822540609157561,0.1091619318181818,25.238103496489746,0.9230769230769231,0.6153846153846154,1.0,0.6153846153846154
external_lung,seed42_main,source_disjoint,3,7,3->7,704,337,169,0.7129908877012265,0.8363343817462949,-0.12334349404506839,0.1091619318181818,23.49313723751957,1.0,0.5384615384615384,1.0,0.5384615384615384
external_lung,seed42_main,source_disjoint,7,11,7->11,704,337,169,0.7078889706417419,0.8459398927869727,-0.13805092214523074,0.1091619318181818,29.477757300360846,1.0,1.0,1.0,1.0
external_lung,seed42_main,target_disjoint,0,3,0->3,1014,671,170,0.6958675315985453,0.8163134958049645,-0.12044596420641918,0.1551775147928994,34.13583186449568,1.0,0.8461538461538461,1.0,0.8461538461538461
external_lung,seed42_main,target_disjoint,3,7,3->7,1014,671,170,0.7081202504420973,0.8223703362545784,-0.1142500858124812,0.1551775147928994,24.172861873133094,0.9230769230769231,0.5384615384615384,1.0,0.5384615384615384
external_lung,seed42_main,target_disjoint,7,11,7->11,1014,671,170,0.7226757852385153,0.8343493241452424,-0.11167353890672715,0.1551775147928994,25.49651511860376,0.7692307692307693,0.46153846153846156,1.0,0.46153846153846156
external_lung,seed43,source_disjoint,0,3,0->3,784,378,170,0.6841035264680584,0.8120389918419475,-0.1279354653738891,0.11001275510204081,27.26680405943681,1.0,0.3076923076923077,1.0,0.3076923076923077
external_lung,seed43,source_disjoint,3,7,3->7,784,378,170,0.6989795918367347,0.8138830244741574,-0.11490343263742264,0.11001275510204081,30.15549453568827,0.8461538461538461,0.07692307692307693,1.0,0.07692307692307693
external_lung,seed43,source_disjoint,7,11,7->11,784,378,170,0.6801157244506998,0.8215197956577267,-0.14140407120702692,0.11001275510204081,27.33095977205711,1.0,0.6923076923076923,1.0,0.6923076923076923
external_lung,seed43,target_disjoint,0,3,0->3,1034,686,170,0.6846054924432827,0.8046919506718944,-0.12008645822861164,0.15754352030947777,30.816220214846346,1.0,0.9230769230769231,1.0,0.9230769230769231
external_lung,seed43,target_disjoint,3,7,3->7,1034,686,170,0.6696763680841795,0.800105140578399,-0.13042877249421947,0.15754352030947777,28.173739776146284,1.0,0.6153846153846154,1.0,0.6153846153846154
external_lung,seed43,target_disjoint,7,11,7->11,1034,686,170,0.6661200194363459,0.8101584229751014,-0.14403840353875552,0.15754352030947777,31.041470970893943,1.0,0.7692307692307693,1.0,0.7692307692307693
external_lung,seed44,source_disjoint,0,3,0->3,759,351,170,0.6585246634266242,0.8026227585051116,-0.14409809507848736,0.10606060606060606,29.74367693287006,1.0,0.9230769230769231,1.0,0.9230769230769231
external_lung,seed44,source_disjoint,3,7,3->7,759,351,170,0.690764482431149,0.8139210099994414,-0.12315652756829243,0.10606060606060606,31.313561527917365,0.9230769230769231,0.5384615384615384,1.0,0.5384615384615384
external_lung,seed44,source_disjoint,7,11,7->11,759,351,170,0.6648511256354394,0.8218186134852802,-0.15696748784984083,0.10606060606060606,35.106401426422835,1.0,0.23076923076923078,1.0,0.23076923076923078
external_lung,seed44,target_disjoint,0,3,0->3,1041,684,170,0.6672686618507052,0.8060305993742527,-0.13876193752354749,0.15446685878962538,32.24712042914738,1.0,0.38461538461538464,1.0,0.38461538461538464
external_lung,seed44,target_disjoint,3,7,3->7,1041,684,170,0.6879412583746949,0.8052525103608695,-0.11731125198617465,0.15446685878962538,25.061391151758748,0.3076923076923077,0.8461538461538461,1.0,0.3076923076923077
external_lung,seed44,target_disjoint,7,11,7->11,1041,684,170,0.720948613363474,0.8357003620161514,-0.11475174865267734,0.15446685878962538,27.077843341097157,1.0,0.6153846153846154,1.0,0.6153846153846154
immune,seed42_main,source_disjoint,0,3,0->3,953,240,170,0.7333391771856008,0.8778459560542309,-0.14450677886863006,0.07639034627492132,29.499860387495573,0.9230769230769231,0.5384615384615384,1.0,0.5384615384615384
immune,seed42_main,source_disjoint,3,7,3->7,953,240,170,0.7213709677419355,0.878155680224404,-0.1567847124824685,0.07639034627492132,31.526222943915236,1.0,0.8461538461538461,1.0,0.8461538461538461
immune,seed42_main,source_disjoint,7,11,7->11,953,240,170,0.7285004675081813,0.8935659186535763,-0.16506545114539495,0.07639034627492132,27.782685642848957,0.8461538461538461,1.0,1.0,0.8461538461538461
immune,seed42_main,target_disjoint,0,3,0->3,1111,276,170,0.7426798576759525,0.8766380282912436,-0.13395817061529114,0.07232223222322232,22.62233663877444,0.7692307692307693,0.38461538461538464,1.0,0.38461538461538464
