null_kind,domain,split_regime,perm_idx,null_delta_auc
layer_order_permutation,external_lung,source_disjoint,0,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,1,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,2,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,3,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,4,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,5,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,6,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,7,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,8,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,9,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,10,0.0066006600660066805
layer_order_permutation,external_lung,source_disjoint,11,0.0066006600660066805
layer_order_permutation,external_lung,target_disjoint,0,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,1,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,2,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,3,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,4,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,5,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,6,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,7,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,8,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,9,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,10,0.0026434682303180246
layer_order_permutation,external_lung,target_disjoint,11,0.0026434682303180246
layer_order_permutation,immune,source_disjoint,0,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,1,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,2,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,3,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,4,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,5,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,6,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,7,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,8,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,9,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,10,0.0015576323987539498
layer_order_permutation,immune,source_disjoint,11,0.0015576323987539498
layer_order_permutation,immune,target_disjoint,0,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,1,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,2,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,3,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,4,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,5,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,6,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,7,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,8,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,9,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,10,0.0009120145922334455
layer_order_permutation,immune,target_disjoint,11,0.0009120145922334455
layer_order_permutation,lung,source_disjoint,0,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,1,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,2,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,3,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,4,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,5,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,6,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,7,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,8,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,9,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,10,-0.0001867064973860577
layer_order_permutation,lung,source_disjoint,11,-0.0001867064973860577
layer_order_permutation,lung,target_disjoint,0,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,1,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,2,-0.010354662698412676
layer_order_permutation,lung,target_disjoint,3,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,4,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,5,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,6,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,7,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,8,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,9,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,10,-0.011036706349206282
layer_order_permutation,lung,target_disjoint,11,-0.011036706349206282
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,0,-0.018196414236018255
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,1,-0.0571759878690572
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,2,-0.0414771206850415
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,3,-0.03915796985103914
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,4,-0.01962358398001962
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,5,-0.01962358398001962
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,6,-0.020961555615020888
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,7,-0.031130140041031096
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,8,-0.01623405583801618
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,9,-0.028900187316028947
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,10,-0.06154669521006151
motif_label_shuffle_within_degree_bins,external_lung,source_disjoint,11,-0.025956649719026004
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,0,-0.02922233970969923
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,1,-0.013601845621455388
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,2,-0.028164952417571887
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,3,-0.020955493607613285
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,4,-0.01840815149476127
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,5,-0.04263193309622226
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,6,-0.05061040084590995
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,7,-0.03431702393540326
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,8,-0.04426607709314634
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,9,-0.03249062770354716
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,10,-0.03253869076228022
motif_label_shuffle_within_degree_bins,external_lung,target_disjoint,11,-0.02076324137268104
motif_label_shuffle_within_degree_bins,immune,source_disjoint,0,-0.020898234683281336
motif_label_shuffle_within_degree_bins,immune,source_disjoint,1,-0.02063862928348892
motif_label_shuffle_within_degree_bins,immune,source_disjoint,2,-0.030957943925233544
motif_label_shuffle_within_degree_bins,immune,source_disjoint,3,-0.017782969885773547
motif_label_shuffle_within_degree_bins,immune,source_disjoint,4,-0.02836188992731048
motif_label_shuffle_within_degree_bins,immune,source_disjoint,5,-0.012266355140186924
motif_label_shuffle_within_degree_bins,immune,source_disjoint,6,-0.03504672897196248
motif_label_shuffle_within_degree_bins,immune,source_disjoint,7,-0.0184968847352025
motif_label_shuffle_within_degree_bins,immune,source_disjoint,8,-0.023429387331256324
motif_label_shuffle_within_degree_bins,immune,source_disjoint,9,-0.03777258566978192
motif_label_shuffle_within_degree_bins,immune,source_disjoint,10,-0.024727414330218078
motif_label_shuffle_within_degree_bins,immune,source_disjoint,11,-0.028816199376947016
motif_label_shuffle_within_degree_bins,immune,target_disjoint,0,-0.029184466951471255
motif_label_shuffle_within_degree_bins,immune,target_disjoint,1,-0.028368453895262324
motif_label_shuffle_within_degree_bins,immune,target_disjoint,2,-0.027936446983151564
motif_label_shuffle_within_degree_bins,immune,target_disjoint,3,-0.024816397062353057
motif_label_shuffle_within_degree_bins,immune,target_disjoint,4,-0.021888350213603358
motif_label_shuffle_within_degree_bins,immune,target_disjoint,5,-0.027168434694955
motif_label_shuffle_within_degree_bins,immune,target_disjoint,6,-0.02203235251764024
motif_label_shuffle_within_degree_bins,immune,target_disjoint,7,-0.031200499207987287
motif_label_shuffle_within_degree_bins,immune,target_disjoint,8,-0.03456055296884741
motif_label_shuffle_within_degree_bins,immune,target_disjoint,9,-0.02985647770364319
motif_label_shuffle_within_degree_bins,immune,target_disjoint,10,-0.040320645130322075
motif_label_shuffle_within_degree_bins,immune,target_disjoint,11,-0.026448423174770808
motif_label_shuffle_within_degree_bins,lung,source_disjoint,0,-0.01867064973861088
motif_label_shuffle_within_degree_bins,lung,source_disjoint,1,-0.0316467513069455
motif_label_shuffle_within_degree_bins,lung,source_disjoint,2,-0.033420463032113545
motif_label_shuffle_within_degree_bins,lung,source_disjoint,3,-0.03482076176250937
motif_label_shuffle_within_degree_bins,lung,source_disjoint,4,-0.02417849141150108
motif_label_shuffle_within_degree_bins,lung,source_disjoint,5,-0.034540702016430114
motif_label_shuffle_within_degree_bins,lung,source_disjoint,6,-0.03920836445108289
motif_label_shuffle_within_degree_bins,lung,source_disjoint,7,-0.036594473487677415
motif_label_shuffle_within_degree_bins,lung,source_disjoint,8,-0.039395070948468947
motif_label_shuffle_within_degree_bins,lung,source_disjoint,9,-0.04154219566840922
motif_label_shuffle_within_degree_bins,lung,source_disjoint,10,-0.02716579536967889
motif_label_shuffle_within_degree_bins,lung,source_disjoint,11,-0.03146004480955933
motif_label_shuffle_within_degree_bins,lung,target_disjoint,0,-0.02604166666666663
motif_label_shuffle_within_degree_bins,lung,target_disjoint,1,-0.04067460317460314
motif_label_shuffle_within_degree_bins,lung,target_disjoint,2,-0.032180059523809534
motif_label_shuffle_within_degree_bins,lung,target_disjoint,3,-0.031063988095238138
motif_label_shuffle_within_degree_bins,lung,target_disjoint,4,-0.026847718253968256
motif_label_shuffle_within_degree_bins,lung,target_disjoint,5,-0.028893849206349187
motif_label_shuffle_within_degree_bins,lung,target_disjoint,6,-0.02442956349206349
motif_label_shuffle_within_degree_bins,lung,target_disjoint,7,-0.02994791666666674
motif_label_shuffle_within_degree_bins,lung,target_disjoint,8,-0.04656498015873023
