null_kind,domain,split_regime,layer,perm_idx,null_delta_spearman
random_orthogonal_basis,external_lung,source_disjoint,7,0,-3.7166547094385355e-07
random_orthogonal_basis,external_lung,source_disjoint,7,1,-5.005732674231815e-07
random_orthogonal_basis,external_lung,source_disjoint,7,2,-3.683307596793507e-07
random_orthogonal_basis,external_lung,source_disjoint,7,3,-3.1075485088004687e-07
random_orthogonal_basis,external_lung,source_disjoint,7,4,-2.329506640108038e-07
random_orthogonal_basis,external_lung,source_disjoint,7,5,-1.0066832424660867e-06
random_orthogonal_basis,external_lung,source_disjoint,7,6,3.963350056267016e-07
random_orthogonal_basis,external_lung,source_disjoint,7,7,-8.40709407391553e-07
random_orthogonal_basis,external_lung,source_disjoint,7,8,-5.436599106898796e-07
random_orthogonal_basis,external_lung,source_disjoint,7,9,1.0025384268937294e-06
random_orthogonal_basis,external_lung,source_disjoint,7,10,-4.555200315142782e-07
random_orthogonal_basis,external_lung,source_disjoint,7,11,-5.935985792149615e-07
random_orthogonal_basis,external_lung,source_disjoint,7,12,-1.8905467796389783e-06
random_orthogonal_basis,external_lung,source_disjoint,7,13,-8.079852651388109e-07
random_orthogonal_basis,external_lung,source_disjoint,7,14,-1.158804328828169e-06
random_orthogonal_basis,external_lung,source_disjoint,7,15,-3.5017728898609907e-07
random_orthogonal_basis,external_lung,source_disjoint,7,16,-3.7377900721996885e-07
random_orthogonal_basis,external_lung,source_disjoint,7,17,-5.868105638589909e-07
random_orthogonal_basis,external_lung,source_disjoint,7,18,7.874433823312071e-09
random_orthogonal_basis,external_lung,source_disjoint,7,19,-2.3301077536810183e-07
random_orthogonal_basis,external_lung,source_disjoint,7,20,-1.6721276985226345e-06
random_orthogonal_basis,external_lung,source_disjoint,7,21,-6.965013648742129e-07
random_orthogonal_basis,external_lung,source_disjoint,7,22,-1.0455966204360803e-07
random_orthogonal_basis,external_lung,source_disjoint,7,23,-7.762824846347174e-07
random_orthogonal_basis,external_lung,source_disjoint,11,0,-1.3198382421168373e-06
random_orthogonal_basis,external_lung,source_disjoint,11,1,-1.3839388193770397e-07
random_orthogonal_basis,external_lung,source_disjoint,11,2,-9.223990246652949e-07
random_orthogonal_basis,external_lung,source_disjoint,11,3,-1.351618634725174e-06
random_orthogonal_basis,external_lung,source_disjoint,11,4,-1.256008905599175e-06
random_orthogonal_basis,external_lung,source_disjoint,11,5,-1.7888052094277435e-06
random_orthogonal_basis,external_lung,source_disjoint,11,6,-7.757294153056676e-07
random_orthogonal_basis,external_lung,source_disjoint,11,7,-5.741236567382083e-07
random_orthogonal_basis,external_lung,source_disjoint,11,8,-1.481085675842514e-06
random_orthogonal_basis,external_lung,source_disjoint,11,9,-1.273968266707684e-06
random_orthogonal_basis,external_lung,source_disjoint,11,10,-1.0099224724662015e-06
random_orthogonal_basis,external_lung,source_disjoint,11,11,-5.505745519886543e-07
random_orthogonal_basis,external_lung,source_disjoint,11,12,-9.592369537569922e-07
random_orthogonal_basis,external_lung,source_disjoint,11,13,-9.943365432514215e-07
random_orthogonal_basis,external_lung,source_disjoint,11,14,1.8735726243970102e-07
random_orthogonal_basis,external_lung,source_disjoint,11,15,-1.7487992557685406e-06
random_orthogonal_basis,external_lung,source_disjoint,11,16,-1.1881453710355788e-06
random_orthogonal_basis,external_lung,source_disjoint,11,17,-1.14289864048666e-06
