domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_baseline,auc_detour_elasticity,delta_auc_elasticity_minus_baseline,mean_detour_ratio,mean_detour_span,mean_detour_cv,null_q95,null_gap_q95,p_endpoint_swap_upper,p_feature_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,704,337,0.8309656449356803,0.836835679460539,0.0058700345248587915,0.9872159090909091,0.0,0.0,0.011773219382433664,-0.005903184857574873,1.0,0.36,0.04,0.04
external_lung,seed42_main,source_disjoint,3,704,337,0.8293323846408849,0.8259850095812548,-0.00334737505963012,2.291206739689914,0.4243158059237204,0.06363296100920848,0.004299840716694015,-0.007647215776324135,0.56,0.84,0.2,0.2
external_lung,seed42_main,source_disjoint,7,704,337,0.8415575805108386,0.8490932171185085,0.007535636607669871,0.9872159090909091,0.0,0.0,0.01457765667574929,-0.007042020068079418,1.0,0.56,0.04,0.04
external_lung,seed42_main,source_disjoint,11,704,337,0.8524001649431189,0.8599519724447965,0.00755180750167761,0.9872159090909091,0.0,0.0,0.014417969097421547,-0.006866161595743938,1.0,0.24,0.04,0.04
external_lung,seed42_main,target_disjoint,0,1014,671,0.7998635690171321,0.8062853840705964,0.006421815053464286,0.9773175551461972,0.0,0.0,0.012892727881018284,-0.006470912827553998,1.0,0.4,0.04,0.04
external_lung,seed42_main,target_disjoint,3,1014,671,0.8072673395523846,0.8219445325500861,0.014677192997701538,2.751125089126505,0.6139649690986883,0.05915657990131647,0.015142970111186994,-0.00046577711348545596,0.04,0.28,0.04,0.04
external_lung,seed42_main,target_disjoint,7,1014,671,0.8223355767684974,0.8277146072395319,0.005379030471034496,0.9773175544995719,0.0,0.0,0.017746455618653758,-0.012367425147619262,1.0,1.0,0.04,0.04
external_lung,seed42_main,target_disjoint,11,1014,671,0.8378035480745416,0.8481792546697198,0.010375706595178169,0.9773175543125993,0.0,0.0,0.0228222095736315,-0.01244650297845333,1.0,0.8,0.04,0.04
immune,seed42_main,source_disjoint,0,953,240,0.8759934548854605,0.8814925198690977,0.00549906498363717,2.268650509911042,0.43070666789677337,0.06392568115828755,0.007625058438522689,-0.0021259934548855195,0.04,0.28,0.04,0.04
immune,seed42_main,source_disjoint,3,953,240,0.878325151940159,0.8781381486676015,-0.0001870032725574955,0.9821615957927678,0.0,0.0,0.009801601215521094,-0.00998860448807859,1.0,1.0,0.52,0.52
immune,seed42_main,source_disjoint,7,953,240,0.8778225806451613,0.8773842917251051,-0.0004382889200561513,2.2233315938714826,0.429543204359237,0.06398778068478908,0.00763207106124354,-0.00807035998129969,0.36,0.56,0.44,0.36
immune,seed42_main,source_disjoint,11,953,240,0.8956229546517064,0.8964294062646097,0.0008064516129032695,0.9821615952926421,0.0,8.679754591322432e-22,0.006365123889668001,-0.0055586722767647315,1.0,1.0,0.08,0.08
immune,seed42_main,target_disjoint,0,1111,276,0.8713486071335589,0.8666145968931702,-0.004734010240388664,0.9666966740294244,0.0,2.3825184159943193e-19,0.007050681246203366,-0.01178469148659203,1.0,1.0,1.0,1.0
immune,seed42_main,target_disjoint,3,1111,276,0.8766727414735745,0.8754534409441984,-0.0012193005293761328,0.9666966729880598,0.0,0.0,0.006744554369521817,-0.007963854898897949,1.0,0.92,0.88,0.88
immune,seed42_main,target_disjoint,7,1111,276,0.8776230148398854,0.878022216436692,0.0003992015968066198,0.9666966734698575,0.0,7.147555247982958e-20,0.005300485984552606,-0.004901284387745986,1.0,0.6,0.16,0.16
immune,seed42_main,target_disjoint,11,1111,276,0.8948494315716394,0.8869435042957563,-0.007905927275883129,0.9666966721233118,0.0,4.4672220299893485e-21,0.0013605397899851559,-0.009266467065868285,1.0,1.0,1.0,1.0
lung,seed42_main,source_disjoint,0,690,342,0.7761225381461316,0.7721398803522215,-0.00398265779391016,0.9521739188655114,0.0,3.0689599538199286e-19,0.0028672615446662,-0.006849919338576361,1.0,1.0,1.0,1.0
lung,seed42_main,source_disjoint,3,690,342,0.7792313638502386,0.7751310748134704,-0.004100289036768179,0.9521739181594584,0.0,0.0,0.002268602540834847,-0.006368891577603026,1.0,1.0,1.0,1.0
lung,seed42_main,source_disjoint,7,690,342,0.7840038314176245,0.782180547153324,-0.001823284264300562,0.952173917204789,0.0,0.0,0.0019770451031794543,-0.0038003293674800163,1.0,0.68,0.96,0.68
lung,seed42_main,source_disjoint,11,690,342,0.800472205417759,0.7887006789003159,-0.011771526517443065,0.9521739149469488,0.0,1.1988124819609097e-20,0.003029844726759436,-0.014801371244202501,1.0,1.0,1.0,1.0
lung,seed42_main,target_disjoint,0,879,561,0.8108723191964035,0.8132714492314935,0.002399130035090069,0.9817974986013973,0.0,0.0,0.010655108241123852,-0.008255978206033783,1.0,0.68,0.04,0.04
lung,seed42_main,target_disjoint,3,879,561,0.8281314812946333,0.837862532091167,0.009731050796533691,2.279853803657298,0.5055946616487166,0.06157108494363463,0.011807026984607541,-0.00207597618807385,0.04,0.28,0.12,0.04
lung,seed42_main,target_disjoint,7,879,561,0.8261695758921065,0.83069877464994,0.00452919875783353,2.5475726767383104,0.6941812672150169,0.06521842873650083,0.013502113252390632,-0.008972914494557102,0.04,0.84,0.36,0.04
lung,seed42_main,target_disjoint,11,879,561,0.8339835648381708,0.8386080561441271,0.004624491305956324,0.9817974975777007,0.0,0.0,0.014332840054260627,-0.009708348748304303,1.0,0.88,0.08,0.08
