domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_sbc_index,auc_directed_geodesic_baseline,delta_auc_sbc_index_minus_baseline,mean_edge_bridge,mean_edge_triangle_close_frac,mean_sbc_index,q95_null_delta_auc,null_gap_q95_delta_auc,p_endpoint_upper,p_feature_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,704,337,0.790045197648752,0.8217644062451993,-0.03171920859644728,9.79338075961573,0.3737176452020201,-3.1288103421254413e-16,0.006273902602705474,-0.03799311119915275,1.0,0.8,1.0,0.8
external_lung,seed42_main,source_disjoint,3,704,337,0.8067416457118832,0.8365607742624052,-0.029819128550521934,9.563984946480263,0.21164772727272727,1.261617073437678e-16,0.006900524745510562,-0.036719653296032495,1.0,0.28,1.0,0.28
external_lung,seed42_main,source_disjoint,7,704,337,0.803256818053186,0.8412745898657008,-0.038017771812514756,8.728909385367968,0.21164772727272727,-3.835315903250541e-16,0.005111215323539245,-0.043128987136054,1.0,1.0,1.0,1.0
external_lung,seed42_main,source_disjoint,11,704,337,0.8098302864673874,0.8524082503901229,-0.042577963922735496,8.750868846432747,0.21164772727272727,1.4130111222501992e-16,0.011221387624414809,-0.053799351547150306,1.0,0.92,1.0,0.92
external_lung,seed42_main,target_disjoint,0,1014,671,0.7723123313621808,0.8018014103661477,-0.02948907900396691,10.41152731999515,0.24753451676528598,-1.9620509468720714e-16,0.0052519411000507945,-0.03474102010401771,1.0,0.04,1.0,0.04
external_lung,seed42_main,target_disjoint,3,1014,671,0.7778260548417791,0.8153141605801358,-0.0374881057383567,9.69546798960709,0.24753451676528598,-1.0510987215386097e-17,0.006759851055602218,-0.04424795679395892,1.0,0.16,1.0,0.16
external_lung,seed42_main,target_disjoint,7,1014,671,0.7837655820258698,0.8221661242738526,-0.03840054224798284,8.942981659997184,0.24753451676528598,-1.4715382101540538e-16,0.005707724861287991,-0.04410826710927083,1.0,0.2,1.0,0.2
external_lung,seed42_main,target_disjoint,11,1014,671,0.8098873358157399,0.837881756918224,-0.02799442110248407,9.211359855254232,0.24753451676528598,-9.109522253334617e-17,0.0054641912119329575,-0.033458612314417026,0.44,0.04,1.0,0.04
immune,seed42_main,source_disjoint,0,953,240,0.8497750116877045,0.8680867227676484,-0.018311711079943893,9.758239035238663,0.24239244491080797,2.2740349885291767e-16,0.0058514492753622355,-0.024163160355306128,0.96,0.08,1.0,0.08
immune,seed42_main,source_disjoint,3,953,240,0.843720780738663,0.8762184431977559,-0.03249766245909291,9.703270426327471,0.38556604873498895,2.7586653959206407e-16,0.0059914095371669095,-0.038489071996259824,1.0,1.0,1.0,1.0
