domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_finite_dual_cycle,auc_h70_baseline,auc_h85_dual_cycle_augmented,delta_auc_local_dual_filtration_plus_h70_minus_h70,dual_cycle_hotspot_gap,q95_null_dual_cycle_hotspot_gap,null_gap_q95_local_dual_filtration_hotspot_gap,q95_null_delta_feature_shuffle,q95_null_delta_label_shuffle,null_gap_q95_feature_shuffle,null_gap_q95_label_shuffle,p_feature_shuffle_upper,p_label_shuffle_upper,p_gap_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,240,115,240,0.864695652173913,0.8564173913043479,-0.008278260869565068,0.36258719934091915,0.09574049347010766,0.2668467058708115,0.016260869565217495,0.004834782608695604,-0.024539130434782563,-0.013113043478260672,0.9411764705882353,0.35294117647058826,0.058823529411764705,0.058823529411764705
external_lung,seed42_main,source_disjoint,11,240,115,240,0.8516869565217392,0.851895652173913,0.00020869565217385144,-0.0768393534629288,0.1403108202586543,-0.2171501737215831,0.019669565217391244,0.0036173913043478084,-0.019460869565217392,-0.003408695652173957,1.0,0.17647058823529413,0.6470588235294118,0.17647058823529413
external_lung,seed42_main,target_disjoint,7,240,159,240,0.8933923441260967,0.884928954111344,-0.008463390014752714,0.5986426514203415,0.23390293726180517,0.3647397141585363,0.01405388617128664,-0.0038628775526049763,-0.022517276186039353,-0.004600512462147738,0.9411764705882353,0.29411764705882354,0.058823529411764705,0.058823529411764705
external_lung,seed42_main,target_disjoint,11,240,159,240,0.8514636229520927,0.8447084400962808,-0.006755182855811892,-0.3461996013879394,0.28167798074282036,-0.6278775821307598,0.005939902166317235,-0.004988741361907051,-0.012695085022129127,-0.0017664414939048412,0.8823529411764706,0.11764705882352941,0.9411764705882353,0.11764705882352941
external_lung,seed43,source_disjoint,7,240,116,240,0.8714543937708565,0.8679783092324804,-0.003476084538376112,0.5521306397932927,0.12237649927792858,0.4297541405153641,0.016163793103448232,-0.0002259454949945089,-0.019639877641824344,-0.003250139043381603,0.8823529411764706,0.17647058823529413,0.058823529411764705,0.058823529411764705
external_lung,seed43,source_disjoint,11,240,116,240,0.8610956618464961,0.8810483870967742,0.019952725250278136,0.03282334822411119,0.31583905574543725,-0.28301570752132604,0.016667825361512817,0.014304087875417176,0.003284899888765319,0.00564863737486096,0.058823529411764705,0.058823529411764705,0.6470588235294118,0.058823529411764705
external_lung,seed43,target_disjoint,7,240,159,240,0.869477443900924,0.8724279835390947,0.0029505396381707127,0.01653562528891861,0.3696168359988157,-0.35308121070989706,0.02162434971659294,0.013044491031912353,-0.018673810078422226,-0.01009395139374164,0.7058823529411765,0.4117647058823529,0.47058823529411764,0.4117647058823529
external_lung,seed43,target_disjoint,11,240,159,240,0.8544141625902633,0.8666821958226569,0.012268033232393671,-0.3111550429634379,0.19520906940456856,-0.5063641123680065,0.015043869865672882,0.016189145119962695,-0.0027758366332792106,-0.003921111887569023,0.29411764705882354,0.23529411764705882,1.0,0.23529411764705882
external_lung,seed44,source_disjoint,7,240,111,240,0.8644458411900273,0.8340666247642992,-0.03037921642572816,-0.18351525373194957,0.20551951940567076,-0.38903477313762036,0.013286542356309744,0.004556882463859144,-0.043665758782037906,-0.034936098889587305,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706
external_lung,seed44,source_disjoint,11,240,111,240,0.8071094350164117,0.8205880298903555,0.013478594873943761,-0.5515087242020138,0.3320531027985112,-0.883561827000525,0.022941546197360163,0.011994552692227142,-0.009462951323416402,0.0014840421817166188,0.8235294117647058,0.058823529411764705,1.0,0.058823529411764705
external_lung,seed44,target_disjoint,7,240,158,240,0.9221210250077185,0.8976535967891325,-0.02446742821858605,-0.08806950512824008,0.12328912047214531,-0.21135862560038537,0.023039518369867173,-0.01308274158690953,-0.047506946588453225,-0.011384686631676522,1.0,0.29411764705882354,0.6470588235294118,0.29411764705882354
external_lung,seed44,target_disjoint,11,240,158,240,0.8852269218894722,0.9112380364309972,0.02601111454152505,-0.0544283320807849,0.11470566418963388,-0.16913399627041878,0.0259725223834516,0.014336986724297673,3.859215807344718e-05,0.011674127817227375,0.11764705882352941,0.058823529411764705,0.6470588235294118,0.058823529411764705
immune,seed42_main,source_disjoint,7,240,60,240,0.8849074074074075,0.8501851851851852,-0.03472222222222232,0.531200951030513,0.3544483861643733,0.17675256486613972,-0.0015740740740741166,-0.043541666666666756,-0.033148148148148204,0.008819444444444435,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed42_main,source_disjoint,11,240,60,240,0.8699999999999999,0.8885185185185184,0.01851851851851849,0.010483809256777332,0.1524452202213103,-0.14196141096453296,0.025185185185185255,0.012291666666666645,-0.006666666666666765,0.0062268518518518445,0.5294117647058824,0.058823529411764705,0.4117647058823529,0.058823529411764705
