domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_sparse_descriptor_blend,delta_auc_sparse_descriptor_blend_minus_h70,descriptor_nonzero_count,q95_null_delta_auc,null_gap_q95_delta_auc,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,300,144,0.8904246794871795,0.9387909544159545,0.04836627492877499,5,0.15444377670940163,-0.10607750178062664,0.2,0.2,0.8,0.2
external_lung,seed42_main,source_disjoint,3,300,144,0.873397435897436,0.9167111823361824,0.043313746438746414,2,0.06844951923076924,-0.025135772792022823,0.2,0.2,0.8,0.2
external_lung,seed42_main,source_disjoint,7,300,144,0.8221153846153847,0.9322026353276353,0.11008725071225056,6,0.013481570512820416,0.09660568019943014,0.2,0.2,0.2,0.2
external_lung,seed42_main,source_disjoint,11,300,144,0.868144586894587,0.9387464387464388,0.07060185185185186,4,0.1646879451566951,-0.09408609330484324,0.2,0.2,0.6,0.2
external_lung,seed42_main,target_disjoint,0,300,199,0.8837753122045873,0.9644758445693816,0.08070053236479435,3,0.029313647445146467,0.051386884919647886,0.2,0.2,0.2,0.2
external_lung,seed42_main,target_disjoint,3,300,199,0.8738743221055775,0.9602467784466889,0.08637245634111146,5,0.031858550176625644,0.054513906164485815,0.2,0.2,0.2,0.2
external_lung,seed42_main,target_disjoint,7,300,199,0.8566097815811733,0.938952186675954,0.08234240509478075,3,0.017923777302353266,0.06441862779242748,0.2,0.2,0.2,0.2
external_lung,seed42_main,target_disjoint,11,300,199,0.8531767749639285,0.9574605701776207,0.10428379521369213,3,0.037414796756057564,0.06686899845763457,0.2,0.2,0.2,0.2
external_lung,seed43,source_disjoint,0,300,145,0.8804894327030033,0.9143937708565071,0.0339043381535038,3,0.015563959955506065,0.018340378197997734,0.2,0.2,0.4,0.2
external_lung,seed43,source_disjoint,3,300,145,0.8740378197997775,0.9481201334816463,0.0740823136818688,4,0.0546929922135706,0.019389321468298193,0.2,0.2,0.2,0.2
