domain,split_regime,layer,n_seeds,seed_tags,descriptor_nonzero_jaccard_mean,descriptor_sign_agreement_mean,descriptor_core_size,mean_delta_auc_sparse_descriptor_blend_minus_h70,mean_null_gap_q95_delta_auc
external_lung,source_disjoint,0,3,seed42_main;seed43;seed44,0.5428571428571428,1.0,3,0.03942884028431889,-0.025609858776168875
external_lung,source_disjoint,3,3,seed42_main;seed43;seed44,0.4444444444444444,1.0,2,0.056916550180068325,0.010347500868766324
external_lung,source_disjoint,7,3,seed42_main;seed43;seed44,0.26190476190476186,1.0,1,0.0663221424916759,0.030256099363830613
external_lung,source_disjoint,11,3,seed42_main;seed43;seed44,0.24444444444444446,1.0,1,0.07948035463239667,0.002493259003556743
external_lung,target_disjoint,0,3,seed42_main;seed43;seed44,0.35714285714285715,1.0,1,0.053179728490768165,0.03488276725688603
external_lung,target_disjoint,3,3,seed42_main;seed43;seed44,0.37777777777777777,1.0,1,0.06800410463401074,0.020318564106146776
external_lung,target_disjoint,7,3,seed42_main;seed43;seed44,0.27777777777777773,1.0,1,0.07920329221600741,0.057559266041616625
external_lung,target_disjoint,11,3,seed42_main;seed43;seed44,0.38888888888888884,1.0,1,0.10060797021003642,0.061234874982393196
immune,source_disjoint,0,3,seed42_main;seed43;seed44,0.7777777777777777,1.0,2,0.06219799556218316,-0.015611226809635016
immune,source_disjoint,3,3,seed42_main;seed43;seed44,0.5,1.0,1,0.05325266163012495,-0.027687755484499626
immune,source_disjoint,7,3,seed42_main;seed43;seed44,0.5,1.0,2,0.06951270508364271,-0.0013884569218347066
immune,source_disjoint,11,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,2,0.0800830439965589,0.03412207337864124
immune,target_disjoint,0,3,seed42_main;seed43;seed44,0.611111111111111,1.0,2,0.07133443808103805,0.01815368502569077
immune,target_disjoint,3,3,seed42_main;seed43;seed44,0.611111111111111,1.0,2,0.05352384637892701,0.013448144317327283
immune,target_disjoint,7,3,seed42_main;seed43;seed44,0.611111111111111,1.0,2,0.06547732619837887,0.03249488673561258
immune,target_disjoint,11,3,seed42_main;seed43;seed44,0.7777777777777777,1.0,2,0.08405611179969201,0.05450716995790819
lung,source_disjoint,0,3,seed42_main;seed43;seed44,0.5555555555555555,1.0,1,0.08677155168240284,0.05571366916930862
lung,source_disjoint,3,3,seed42_main;seed43;seed44,0.3666666666666667,0.8888888888888888,1,0.11651230379347192,0.07816301353983914
lung,source_disjoint,7,3,seed42_main;seed43;seed44,0.31666666666666665,0.8888888888888888,1,0.0905642418276847,0.03335366647023466
lung,source_disjoint,11,3,seed42_main;seed43;seed44,0.3277777777777778,1.0,1,0.084046040539472,0.04480989975212668
lung,target_disjoint,0,3,seed42_main;seed43;seed44,0.611111111111111,1.0,2,0.0984583482843339,0.058434720881919366
lung,target_disjoint,3,3,seed42_main;seed43;seed44,0.38888888888888884,1.0,1,0.09531584663799893,0.03525375922608649
lung,target_disjoint,7,3,seed42_main;seed43;seed44,0.47222222222222215,1.0,1,0.08101455018042587,0.03769343102878028
lung,target_disjoint,11,3,seed42_main;seed43;seed44,0.8333333333333334,1.0,3,0.08956060272058457,0.0532976162762142
