domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_phase_boundary_blend,delta_auc_phase_boundary_minus_h70,phase_nonzero_count,q95_null_delta_auc,null_gap_q95_delta_auc,p_layer_order_upper,p_feature_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,320,153,0.8626668232163125,0.8634887088567962,0.0008218856404836883,1,0.016146139094360197,-0.015324253453876509,1.0,0.8571428571428571,0.2857142857142857,0.2857142857142857
external_lung,seed42_main,source_disjoint,3,320,153,0.8836053383429219,0.8904935227584048,0.00688818441548289,1,0.03420414073813155,-0.02731595632264866,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285
external_lung,seed42_main,source_disjoint,7,320,153,0.8833313764627608,0.8873233924308247,0.003992015968063867,1,0.040517983640561986,-0.03652596767249812,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.42857142857142855
external_lung,seed42_main,source_disjoint,11,320,153,0.83166999334664,0.8456811866463153,0.014011193299675262,2,0.06582814762631597,-0.05181695432664071,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
external_lung,seed42_main,target_disjoint,0,320,212,0.866221174004193,0.8730782669461914,0.006857092941998433,2,0.03414897798742134,-0.02729188504542291,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857
external_lung,seed42_main,target_disjoint,3,320,212,0.892077218728162,0.8998078266946192,0.0077306079664571925,2,0.03532713137665956,-0.02759652341020237,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285
external_lung,seed42_main,target_disjoint,7,320,212,0.891640461215933,0.8891946191474493,-0.002445842068483639,3,0.05379760656883303,-0.056243448637316666,1.0,1.0,0.5714285714285714,0.5714285714285714
external_lung,seed42_main,target_disjoint,11,320,212,0.8958770090845563,0.8965321453529,0.0006551362683437922,1,0.12113360412299094,-0.12047846785464715,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
immune,seed42_main,source_disjoint,0,320,81,0.9491709282504261,0.944935172271295,-0.004235755979131173,2,0.04238338757167198,-0.046619143550803155,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855
immune,seed42_main,source_disjoint,3,320,81,0.9360504158272638,0.939356371713415,0.003305955886151235,2,0.026445064311172946,-0.02313910842502171,0.42857142857142855,1.0,0.2857142857142857,0.2857142857142857
immune,seed42_main,source_disjoint,7,320,81,0.8842915439847099,0.8947259672503746,0.010434423265664683,1,0.04096673381889557,-0.030532310553230885,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.42857142857142855
immune,seed42_main,source_disjoint,11,320,81,0.8976703342114778,0.9152848804173769,0.017614546205899084,3,0.03841236634123667,-0.020797820135337583,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.14285714285714285
immune,seed42_main,target_disjoint,0,320,79,0.9208466831241137,0.9161195440937023,-0.004727139030411331,3,0.09180629234728704,-0.09653343137769838,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143
immune,seed42_main,target_disjoint,3,320,79,0.9123378328693733,0.9099742633541678,-0.0023635695152055547,3,0.04025815431482743,-0.04262172383003299,1.0,0.7142857142857143,0.5714285714285714,0.5714285714285714
immune,seed42_main,target_disjoint,7,320,79,0.890908135931509,0.8974210830400756,0.006512947108566647,3,0.0451481170229528,-0.038635169914386154,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857
immune,seed42_main,target_disjoint,11,320,79,0.8408004622091496,0.8552444981354063,0.014444035926256649,3,0.10473239140711167,-0.09028835548085502,1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855
lung,seed42_main,source_disjoint,0,320,159,0.8104613461463338,0.8336653775538108,0.023204031407476955,3,0.03845755693581793,-0.015253525528340972,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855
lung,seed42_main,source_disjoint,3,320,159,0.8270244931442634,0.8909723036056096,0.06394781046134623,2,0.06718817141294596,-0.0032403609515997273,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285
lung,seed42_main,source_disjoint,7,320,159,0.7944841595374819,0.8409312863783741,0.04644712684089225,3,0.05271787960467201,-0.006270752763779759,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,source_disjoint,11,320,159,0.8025313488808157,0.8548771436384234,0.0523457947576077,2,0.06639712488769102,-0.01405133013008332,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285
lung,seed42_main,target_disjoint,0,320,204,0.866844151453685,0.8812119675456389,0.014367816091953922,1,0.052986604124408386,-0.038618788032454464,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.42857142857142855
lung,seed42_main,target_disjoint,3,320,204,0.862449290060852,0.9000169033130494,0.037567613252197374,2,0.05115048174442189,-0.013582868492224516,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,target_disjoint,7,320,204,0.8520114942528736,0.8935513860716701,0.04153989181879647,2,0.06395579783637594,-0.022415906017579465,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,11,320,204,0.8607589587559161,0.904158215010142,0.043399256254225915,3,0.04007141649763362,0.003327839756592295,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
