domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_stability_blend,delta_auc_stability_blend_minus_h70,stability_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_feature_shuffle_upper,p_profile_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,320,153,0.8666979765958279,0.8682243356424406,0.0015263590466126908,-0.0021973070463384425,0.0038237250988219043,-0.0022973660522092134,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222
external_lung,seed42_main,source_disjoint,11,320,153,0.8121404250322884,0.8094008062306759,-0.0027396188016125533,-0.014364519939834841,0.0360807796172361,-0.038820398418848656,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444
external_lung,seed42_main,target_disjoint,7,320,212,0.8942610062893082,0.8860062893081762,-0.008254716981132004,0.008223036925794402,0.06308525506638692,-0.07133997204751892,0.8888888888888888,1.0,0.4444444444444444,0.4444444444444444
external_lung,seed42_main,target_disjoint,11,320,212,0.8497117400419287,0.8730345911949684,0.02332285115303967,0.030820423632888977,0.008968815513626922,0.014354035639412748,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
immune,seed42_main,source_disjoint,7,320,81,0.9085180019629112,0.9084663464021902,-5.1655560721064475e-05,0.01949716864043205,0.018314479053670063,-0.018366134614391127,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333
immune,seed42_main,source_disjoint,11,320,81,0.8596518415207397,0.8498372849837286,-0.009814556537011132,0.005133482354877594,0.013812696936825264,-0.023627253473836395,0.8888888888888888,1.0,0.5555555555555556,0.5555555555555556
immune,seed42_main,target_disjoint,7,320,79,0.870896580702768,0.8880718525132623,0.017175271810494275,-0.01756031195812635,0.026151583591575187,-0.008976311781080912,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222
immune,seed42_main,target_disjoint,11,320,79,0.9046168391197017,0.9123378328693733,0.007720993749671612,0.004977770498048983,0.07807132727559213,-0.07035033352592052,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111
lung,seed42_main,source_disjoint,7,320,159,0.835579514824798,0.8419469510527755,0.00636743622797753,-0.02022341900963351,0.00965662721200033,-0.0032891909840228,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111
lung,seed42_main,source_disjoint,11,320,159,0.7605765850228525,0.7747568264385327,0.014180241415680195,0.038547655564815965,0.039501543029024505,-0.02532130161334431,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
lung,seed42_main,target_disjoint,7,320,204,0.8673089925625422,0.8666328600405679,-0.0006761325219742931,0.027643752580014447,0.007543103448275859,-0.008219235970250153,0.7777777777777778,0.8888888888888888,0.5555555555555556,0.5555555555555556
lung,seed42_main,target_disjoint,11,320,204,0.8884381338742393,0.8935513860716701,0.005113252197430751,0.014665689615623922,0.045223757606490764,-0.04011050540906001,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111
