domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_scale_trajectory_blend,delta_auc_scale_trajectory_minus_h70,slope_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_scale_order_upper,p_feature_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,300,144,0.8818554131054132,0.8766025641025641,-0.005252849002849058,-1.1238914197449828e-17,0.09975405092592587,-0.10500689992877493,0.42857142857142855,0.8571428571428571,1.0,0.42857142857142855
external_lung,seed42_main,source_disjoint,3,300,144,0.8339565527065527,0.8340010683760684,4.451566951568786e-05,0.005644621930608729,0.12972422542735046,-0.12967970975783477,1.0,0.42857142857142855,0.8571428571428571,0.42857142857142855
external_lung,seed42_main,source_disjoint,7,300,144,0.8273682336182335,0.8428151709401709,0.01544693732193736,0.020569022294890785,0.01894586894586893,-0.00349893162393157,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,source_disjoint,11,300,144,0.8240295584045584,0.8726629273504274,0.048633368945869004,0.0050584083705613484,0.06394787215099704,-0.015314503205128033,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
external_lung,seed42_main,target_disjoint,0,300,199,0.876809791531917,0.8688989501965272,-0.007910841335389773,-6.183138527188491e-18,0.04216752077217747,-0.05007836210756724,0.2857142857142857,1.0,0.5714285714285714,0.2857142857142857
external_lung,seed42_main,target_disjoint,3,300,199,0.8708890989601473,0.8758644708691974,0.004975371909050064,-0.008778567157791045,0.02349992536942131,-0.018524553460371247,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.14285714285714285
external_lung,seed42_main,target_disjoint,7,300,199,0.8608886014229562,0.861833922085676,0.0009453206627197952,-5.828154871230592e-18,0.020131598586994374,-0.01918627792427458,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855
external_lung,seed42_main,target_disjoint,11,300,199,0.8472560823921588,0.8512861336384895,0.0040300512463307125,0.008759141156222252,0.014198467585451967,-0.010168416339121255,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
immune,seed42_main,source_disjoint,0,300,76,0.8810796522556392,0.8603148496240601,-0.020764802631579093,-9.963063996754899e-18,0.004840225563909751,-0.025605028195488842,1.0,1.0,0.5714285714285714,0.5714285714285714
immune,seed42_main,source_disjoint,3,300,76,0.873766447368421,0.895500469924812,0.02173402255639101,0.012426101964316153,0.048077713815789465,-0.026343691259398457,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
immune,seed42_main,source_disjoint,7,300,76,0.911419172932331,0.9146499060150376,0.003230733082706605,-0.004025523114061779,0.01867657424812021,-0.015445841165413605,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.14285714285714285
immune,seed42_main,source_disjoint,11,300,76,0.8408129699248121,0.8848684210526316,0.0440554511278195,-1.4874933026339744e-17,0.1089696898496241,-0.0649142387218046,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.14285714285714285
immune,seed42_main,target_disjoint,0,300,75,0.9153185185185185,0.8845037037037038,-0.03081481481481474,-1.1025650317834084e-17,0.09041185185185181,-0.12122666666666655,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571
immune,seed42_main,target_disjoint,3,300,75,0.8789333333333333,0.8555259259259259,-0.023407407407407432,-1.4526240292477568e-17,0.10200888888888893,-0.12541629629629636,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
immune,seed42_main,target_disjoint,7,300,75,0.9003851851851851,0.9330962962962963,0.032711111111111246,0.007905358058935124,0.12923111111111096,-0.09651999999999972,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285
immune,seed42_main,target_disjoint,11,300,75,0.8724740740740742,0.8997333333333334,0.027259259259259205,0.006193659171698966,0.06913777777777783,-0.04187851851851862,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,source_disjoint,0,300,149,0.8327925685586026,0.8065691808524823,-0.026223387706120316,-1.396209900846002e-17,0.038588381705853464,-0.06481176941197378,0.42857142857142855,1.0,0.8571428571428571,0.42857142857142855
lung,seed42_main,source_disjoint,3,300,149,0.8358593715276235,0.8447486554957998,0.008889283968176342,0.016685814582127388,0.04567314102848996,-0.03678385706031362,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.2857142857142857
lung,seed42_main,source_disjoint,7,300,149,0.7943908618160807,0.7980354682430331,0.0036446064269524125,0.002522633005554837,0.0398784390417351,-0.03623383261478269,0.14285714285714285,1.0,0.7142857142857143,0.14285714285714285
lung,seed42_main,source_disjoint,11,300,149,0.8143028579047958,0.8041246277612337,-0.010178230143562117,-3.763519526814253e-18,0.033337037201653305,-0.04351526734521542,0.5714285714285714,1.0,0.7142857142857143,0.5714285714285714
lung,seed42_main,target_disjoint,0,300,191,0.8530669100341034,0.848888034968058,-0.004178875066045418,-1.5060296855361764e-17,0.09892405975311017,-0.10310293481915558,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
lung,seed42_main,target_disjoint,3,300,191,0.8978817426389357,0.9013881550506748,0.0035064124117391016,0.010538007624690367,0.03220976031509674,-0.028703347903357636,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,target_disjoint,7,300,191,0.8327489312647102,0.8291464527594985,-0.0036024785052116703,-7.451820758612948e-18,0.05575796147749655,-0.05936043998270822,0.8571428571428571,1.0,0.42857142857142855,0.42857142857142855
lung,seed42_main,target_disjoint,11,300,191,0.8758345741870408,0.8816946058888516,0.0058600317018108194,-1.2374688993057146e-17,0.03250876603102926,-0.026648734329218438,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857
