domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_weighted_filtration_blend,delta_auc_weighted_filtration_minus_h70,weighted_gain_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_confidence_shuffle_upper,p_sign_flip_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,300,144,0.8665420227920227,0.9285523504273504,0.062010327635327656,-0.09998562130187455,0.0557491987179487,0.006261128917378955,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
external_lung,seed42_main,source_disjoint,11,300,144,0.8620904558404557,0.9306445868945867,0.068554131054131,-0.4262381531463294,0.04897613960113968,0.019577991452991314,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,target_disjoint,7,300,199,0.8577541171202548,0.9245236081397084,0.06676949101945351,-0.08994893818076542,0.06949226329668143,-0.0027227722772279195,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
external_lung,seed42_main,target_disjoint,11,300,199,0.8490969699985075,0.9369620379123339,0.08786506791382642,-0.19593617285490117,0.074891785660978,0.012973282252848425,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,source_disjoint,7,300,76,0.8900375939849624,0.969983552631579,0.07994595864661658,-0.2577380026554673,0.07537006578947356,0.004575892857143021,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
immune,seed42_main,source_disjoint,11,300,76,0.882518796992481,0.9692199248120301,0.08670112781954908,-0.31014449352837303,0.06968397556390984,0.01701715225563924,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,target_disjoint,7,300,75,0.8952296296296297,0.9689481481481482,0.07371851851851852,-0.12118852222976366,0.05365333333333324,0.020065185185185276,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,target_disjoint,11,300,75,0.8401185185185186,0.9422222222222223,0.1021037037037037,-0.3875704726204,0.11411259259259253,-0.012008888888888833,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,7,300,149,0.8177252322325438,0.9259522645450909,0.10822703231254716,-0.02628772406614254,0.10906262500555573,-0.0008355926930085772,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,11,300,149,0.7941686297168763,0.9232410329347971,0.1290724032179208,-0.1873552560574811,0.10284234854882436,0.026230054669096434,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,7,300,191,0.870983236466689,0.9317450405879245,0.06076180412123555,-0.012294982984031928,0.04486766895624195,0.0158941351649936,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
lung,seed42_main,target_disjoint,11,300,191,0.8618089245400835,0.9492290695998847,0.08742014505980122,-0.2932567160444687,0.08028243431480869,0.0071377107449925314,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
