hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_value
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,0,-0.0891433244735228
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,1,-0.061183806992435086
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,2,-0.06614189327335929
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,3,-0.053721120425270996
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,4,-0.07386015129830314
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,5,-0.07186669392762224
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,0,-0.10644551216520137
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,1,-0.12781128603557557
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,2,-0.10578102637497444
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,3,-0.11145471273768137
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,4,-0.1164639133101616
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,5,-0.10302085463095478
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,0,-0.03743954480796574
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,1,-0.03766714082503564
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,2,-0.03800853485064015
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,3,-0.04500711237553345
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,4,-0.03766714082503553
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,5,-0.037325746799431014
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,0,-0.0856330014224751
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,1,-0.0908677098150783
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,2,-0.0929160739687056
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,3,-0.09211948790896174
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,4,-0.07567567567567568
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,5,-0.08193456614509254
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,0,-0.042860791826309086
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,1,-0.04991060025542782
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,2,-0.04025542784163483
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,3,-0.04689655172413776
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,4,-0.04873563218390797
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,5,-0.03969348659003824
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,0,-0.06641123882503186
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,1,-0.0701915708812263
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,2,-0.06334610472541502
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,3,-0.05323116219667945
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,4,-0.0618135376756066
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,5,-0.06191570881226072
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,0,-0.0855067490276824
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,1,-0.08030199039121488
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,2,-0.08241821093571267
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,3,-0.07172271791352092
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,4,-0.08133150308853809
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,5,-0.07326698695950584
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,0,-0.05096087851750175
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,1,-0.05382063601006637
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,2,-0.052104781514527576
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,3,-0.06594600777854043
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,4,-0.060741249142072684
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,5,-0.056165637153969494
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,7,0,-0.08249910159659124
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,7,1,-0.07336105549566208
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,7,2,-0.07259099543097702
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,7,3,-0.0740797782227014
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,7,4,-0.07839211458493767
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,7,5,-0.06643051491349683
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,11,0,-0.08696544997176436
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,11,1,-0.09158581035987479
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,11,2,-0.09415267724215826
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,11,3,-0.10359874736896135
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,11,4,-0.09677088146208734
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,source_disjoint,11,5,-0.08465526977770932
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,7,0,-0.09273097826086962
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,7,1,-0.08174818840579712
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,7,2,-0.07846467391304346
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,7,3,-0.09827898550724645
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,7,4,-0.07212409420289856
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,7,5,-0.07620018115942029
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,11,0,-0.06855751811594213
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,11,1,-0.0725203804347826
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,11,2,-0.06731204710144933
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,11,3,-0.08016304347826086
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,11,4,-0.07478487318840576
H94,confidence_feature_shuffle_within_geodesic_bins,external_lung,seed44,target_disjoint,11,5,-0.06555706521739135
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,7,0,-0.06267268683873572
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,7,1,-0.06536828627265989
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,7,2,-0.06523350630096347
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,7,3,-0.059235797560482584
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,7,4,-0.07426376440460947
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,7,5,-0.08309185255071094
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,11,0,-0.09023519105060995
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,11,1,-0.09926544915425572
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,11,2,-0.13215176224813008
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,11,3,-0.12008895478131965
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,11,4,-0.0868656917582048
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,source_disjoint,11,5,-0.1231215041444843
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,7,0,-0.04707482993197287
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,7,1,-0.06204081632653069
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,7,2,-0.04761904761904756
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,7,3,-0.0614285714285715
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,7,4,-0.06210884353741508
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,7,5,-0.07319727891156469
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,11,0,-0.0603401360544219
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,11,1,-0.07659863945578249
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,11,2,-0.053877551020408254
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,11,3,-0.057278911564625945
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,11,4,-0.0563945578231293
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed42_main,target_disjoint,11,5,-0.07387755102040827
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,7,0,-0.04959902958420381
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,7,1,-0.05970752746141916
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,7,2,-0.09090909090909105
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,7,3,-0.057079318013343094
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,7,4,-0.06193139699440653
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,7,5,-0.06705303591886247
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,11,0,-0.09353730035716679
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,11,1,-0.09946761911179991
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,11,2,-0.10189365860233168
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,11,3,-0.08349619246579953
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,11,4,-0.09663723970617955
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,source_disjoint,11,5,-0.08080059303187548
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,target_disjoint,7,0,-0.030729833546734975
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,target_disjoint,7,1,-0.018464856122380136
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,target_disjoint,7,2,-0.022103915358177795
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,target_disjoint,7,3,-0.025136464721342344
H94,confidence_feature_shuffle_within_geodesic_bins,immune,seed43,target_disjoint,7,4,-0.028640743985443806
