domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_graph_bridge_curvature_blend,delta_auc_graph_bridge_curvature_minus_h70,q95_null_delta_auc,null_gap_q95_delta_auc,p_rewire_upper,p_feature_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,300,144,0.8368055555555557,0.9287304131054132,0.09192485754985746,0.0939770299145297,-0.0020521723646722417,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
external_lung,seed42_main,source_disjoint,3,300,144,0.8834134615384615,0.9214298433048433,0.03801638176638189,0.10610421118233627,-0.06808782941595438,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
external_lung,seed42_main,source_disjoint,7,300,144,0.8679220085470086,0.9277065527065528,0.05978454415954415,0.06520655270655261,-0.005422008547008458,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285
external_lung,seed42_main,source_disjoint,11,300,144,0.8258101851851851,0.9252581908831908,0.09944800569800571,0.10627225783475783,-0.0068242521367521125,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285
external_lung,seed42_main,target_disjoint,0,300,199,0.891785660978158,0.9480571172695159,0.05627145629135788,0.056736653564854016,-0.000465197273496136,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,target_disjoint,3,300,199,0.8709388526792379,0.927857107318772,0.05691825463953415,0.06634907209313867,-0.009430817453604523,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
external_lung,seed42_main,target_disjoint,7,300,199,0.8801930444300712,0.962734464401214,0.08254141997114284,0.08177272501119456,0.000768694959948274,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
external_lung,seed42_main,target_disjoint,11,300,199,0.8557142146375442,0.9474103189213394,0.09169610428379527,0.0882133439474602,0.0034827603363350723,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,source_disjoint,0,300,76,0.938263627819549,0.9813792293233082,0.04311560150375926,0.0456590695488722,-0.0025434680451129413,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285
immune,seed42_main,source_disjoint,3,300,76,0.8838698308270676,0.9773261278195489,0.09345629699248126,0.09510690789473679,-0.001650610902255531,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,source_disjoint,7,300,76,0.8772908834586466,0.9652255639097744,0.08793468045112784,0.10117481203007515,-0.013240131578947309,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285
immune,seed42_main,source_disjoint,11,300,76,0.918703007518797,0.9660479323308271,0.04734492481203012,0.09941553101503742,-0.0520706062030073,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
immune,seed42_main,target_disjoint,0,300,75,0.9359999999999999,0.9704296296296296,0.0344296296296297,0.04190518518518515,-0.007475555555555451,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
immune,seed42_main,target_disjoint,3,300,75,0.9266962962962962,0.9826962962962963,0.05600000000000005,0.13023999999999994,-0.07423999999999989,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.14285714285714285
immune,seed42_main,target_disjoint,7,300,75,0.8664296296296295,0.9622518518518518,0.09582222222222225,0.09616000000000008,-0.0003377777777778257,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
immune,seed42_main,target_disjoint,11,300,75,0.890725925925926,0.9623703703703703,0.07164444444444429,0.0721125925925926,-0.0004681481481483146,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,0,300,149,0.8240366238499488,0.9452864571758746,0.12124983332592576,0.11684963776167835,0.004400195564247408,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,3,300,149,0.8309702653451265,0.9212853904617984,0.09031512511667183,0.09402862349437743,-0.0037134983777055985,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,7,300,149,0.8011467176318947,0.9286190497355439,0.12747233210364917,0.13223032134761548,-0.00475798924396631,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,11,300,149,0.8115471798746612,0.9317302991244055,0.12018311924974434,0.12250100004444632,-0.002317880794701979,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,0,300,191,0.8672846918680053,0.9303520822325759,0.06306739036457065,0.0683990585522838,-0.005331668187713148,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,3,300,191,0.860079734857582,0.93779720447668,0.07771746961909798,0.07369950525961862,0.004017964359479362,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,target_disjoint,7,300,191,0.8879869350112878,0.9488928382727316,0.06090590326144385,0.06372304145251928,-0.00281713819107543,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285
lung,seed42_main,target_disjoint,11,300,191,0.859167106969595,0.9423123108698784,0.08314520390028346,0.0814928670925597,0.0016523368077237532,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
