hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_value
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,0,0,0.08422364672364657
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,0,1,0.08760683760683752
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,0,2,0.09134615384615363
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,0,3,0.08195334757834738
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,0,4,0.08934294871794857
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,0,5,0.08377849002848992
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,3,0,0.040064102564102644
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,3,1,0.03924056267806286
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,3,2,0.04135505698005704
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,3,3,0.03917378917378922
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,3,4,0.04393696581196582
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,3,5,0.038684116809116875
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,7,0,0.059517450142450024
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,7,1,0.056178774928774766
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,7,2,0.056223290598290454
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,7,3,0.05787037037037024
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,7,4,0.05938390313390307
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,7,5,0.061787749287749216
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,11,0,0.10091702279202286
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,11,1,0.10470085470085477
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,11,2,0.10354344729344733
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,11,3,0.10269764957264971
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,11,4,0.10505698005698005
H95,degree_preserving_edge_swap,external_lung,seed42_main,source_disjoint,11,5,0.09989316239316237
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,0,0,0.05666948604408184
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,0,1,0.055027613314095336
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,0,2,0.054679337280461704
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,0,3,0.05443056868500917
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,0,4,0.05711726951589635
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,0,5,0.04930593561868757
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,3,0,0.05368426289865147
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,3,1,0.05273894223593212
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,3,2,0.05010199512413549
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,3,3,0.048410368675058324
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,3,4,0.052838449674113
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,3,5,0.04980347280959241
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,7,0,0.08333747947659087
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,7,1,0.07960595054480324
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,7,2,0.07910841335389829
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,7,3,0.07383451913030514
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,7,4,0.07482959351211504
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,7,5,0.08149659187024227
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,11,0,0.08990497039653722
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,11,1,0.08443206129658187
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,11,2,0.08657147121747355
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,11,3,0.08652171749838289
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,11,4,0.0817453604656948
H95,degree_preserving_edge_swap,external_lung,seed42_main,target_disjoint,11,5,0.0879148216329172
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,0,0,0.041823308270676596
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,0,1,0.04094219924812015
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,0,2,0.043937969924811804
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,0,3,0.039003759398496096
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,0,4,0.04246945488721787
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,0,5,0.04035479323308255
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,3,0,0.09363251879699253
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,3,1,0.09680451127819556
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,3,2,0.0943374060150376
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,3,3,0.0948073308270676
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,3,4,0.09398496240601517
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,3,5,0.09398496240601506
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,7,0,0.08922697368421051
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,7,1,0.08946193609022557
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,7,2,0.08787593984962405
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,7,3,0.0886983082706767
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,7,4,0.0853500939849624
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,7,5,0.08364661654135341
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,11,0,0.04893092105263164
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,11,1,0.0535714285714286
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,11,2,0.051515507518796966
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,11,3,0.051221804511278224
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,11,4,0.047462406015037595
H95,degree_preserving_edge_swap,immune,seed42_main,source_disjoint,11,5,0.05533364661654139
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,0,0,0.026459259259259404
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,0,1,0.02459259259259261
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,0,2,0.025244444444444625
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,0,3,0.02731851851851863
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,0,4,0.025718518518518585
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,0,5,0.026133333333333453
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,3,0,0.05528888888888894
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,3,1,0.05860740740740744
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,3,2,0.05611851851851857
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,3,3,0.05374814814814821
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,3,4,0.05706666666666671
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,3,5,0.05677037037037047
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,7,0,0.08651851851851877
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,7,1,0.09374814814814814
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,7,2,0.09600000000000009
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,7,3,0.09416296296296311
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,7,4,0.09706666666666675
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,7,5,0.09481481481481502
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,11,0,0.06915555555555564
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,11,1,0.07170370370370371
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,11,2,0.07057777777777774
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,11,3,0.07442962962962962
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,11,4,0.07069629629629626
H95,degree_preserving_edge_swap,immune,seed42_main,target_disjoint,11,5,0.06957037037037028
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,0,0,0.11440508467042987
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,0,1,0.11640517356326963
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,0,2,0.11836081603626836
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,0,3,0.11604960220454252
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,0,4,0.11658295924263307
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,0,5,0.11178274589981785
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,3,0,0.09000400017778565
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,3,1,0.0927152317880795
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,3,2,0.09995999822214319
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,3,3,0.09298191030712466
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,3,4,0.0884039290635138
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,3,5,0.08911507178096789
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,7,0,0.1283612605004667
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,7,1,0.13218365260678255
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,7,2,0.13249477754566874
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,7,3,0.1246722076536737
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,7,4,0.1247611004933552
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,7,5,0.12782790346237616
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,11,0,0.11791635183785931
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,11,1,0.124049957775901
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,11,2,0.11996088715053987
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,11,3,0.12049424418863053
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,11,4,0.12169429752433436
H95,degree_preserving_edge_swap,lung,seed42_main,source_disjoint,11,5,0.1222276545624249
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,0,0,0.06669388539315035
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,0,1,0.06109803544838832
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,0,2,0.05898458139199769
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,0,3,0.06839905855228379
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,0,4,0.0683990585522839
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,0,5,0.06772659589797769
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,3,0,0.07089677698256402
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,3,1,0.07190547096402333
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,3,2,0.07089677698256402
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,3,3,0.07132907440318936
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,3,4,0.0736346606465248
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,3,5,0.07406695806715025
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,7,0,0.058888515298525346
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,7,1,0.062490993803736905
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,7,2,0.06105000240165226
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,7,3,0.06220279552332009
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,7,4,0.060521638887554685
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,7,5,0.061146068495124606
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,11,0,0.08059945242326738
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,11,1,0.08247274124597737
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,11,2,0.08064748547000333
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,11,3,0.08055141937653121
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,11,4,0.08131994812430954
H95,degree_preserving_edge_swap,lung,seed42_main,target_disjoint,11,5,0.07781353571257044
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,0,0,0.004985754985754931
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,0,1,0.013755341880341665
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,0,2,-0.009170227920228036
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,0,3,-0.00618767806267817
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,0,4,0.0026709401709399394
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,0,5,0.024127492877492718
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,3,0,-0.010149572649572502
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,3,1,-0.009125712250712237
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,3,2,-0.0051638176638176825
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,3,3,-0.022302350427350293
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,3,4,-0.004896723646723666
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,3,5,-0.018652065527065442
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,0,0.0013799857549855465
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,1,0.0007567663817663606
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,2,-0.0012019230769231282
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,3,-0.00983796296296302
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,4,0.00017806267806264042
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,7,5,-0.002448361823361833
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,0,0.009125712250712237
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,1,0.01313212250712259
H95,descriptor_shuffle_within_geodesic_bins,external_lung,seed42_main,source_disjoint,11,2,-0.0007122507122506727
