domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_id_entropy_blend,delta_auc_id_entropy_minus_h70,mean_edge_entropy,mean_edge_entropy_weighted,q95_null_delta_auc,null_gap_q95_delta_auc,p_radius_permutation_upper,p_neighbor_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,300,144,0.8552795584045584,0.8654291310541311,0.010149572649572725,0.979186826450084,0.9698870524165738,0.07520922364672362,-0.0650596509971509,0.631578947368421,0.42105263157894735,0.47368421052631576,0.42105263157894735
external_lung,seed42_main,source_disjoint,3,300,144,0.8693019943019944,0.8728187321937322,0.0035167378917377867,0.9829522688881679,0.9732877076007619,0.027693198005697913,-0.024176460113960126,0.7894736842105263,0.47368421052631576,0.21052631578947367,0.21052631578947367
external_lung,seed42_main,source_disjoint,7,300,144,0.8493144586894587,0.8490473646723647,-0.0002670940170939051,0.9766660835256575,0.9724439683775493,0.04092214209401708,-0.041189236111110986,0.5263157894736842,0.3684210526315789,0.6842105263157895,0.3684210526315789
external_lung,seed42_main,source_disjoint,11,300,144,0.865963319088319,0.8612001424501424,-0.004763176638176603,0.982700416592174,0.9722965452190208,0.10586827813390301,-0.11063145477207961,0.6842105263157895,0.631578947368421,0.8421052631578947,0.631578947368421
external_lung,seed42_main,target_disjoint,0,300,199,0.8589482063784267,0.8572565799293498,-0.001691626449076944,0.9796257954030466,0.9693118916322804,0.02175232598636743,-0.023443952435444376,0.5789473684210527,0.8947368421052632,0.47368421052631576,0.47368421052631576
external_lung,seed42_main,target_disjoint,3,300,199,0.8653664361411016,0.8487486939648738,-0.0166177421762278,0.9807209565038507,0.9716598816803014,0.04069481068709882,-0.05731255286332662,0.42105263157894735,0.8421052631578947,0.7368421052631579,0.42105263157894735
external_lung,seed42_main,target_disjoint,7,300,199,0.8838250659236777,0.8810886113737002,-0.0027364545499775073,0.9772236298382246,0.970367817560093,0.06990024379322345,-0.07263669834320095,0.47368421052631576,0.3684210526315789,0.6842105263157895,0.3684210526315789
external_lung,seed42_main,target_disjoint,11,300,199,0.8440220906512761,0.8454649485049006,0.001442857853624524,0.9776395552446244,0.9700293196501077,0.04553584755460468,-0.044092989700980155,0.10526315789473684,0.3684210526315789,0.631578947368421,0.10526315789473684
immune,seed42_main,source_disjoint,0,300,76,0.8989661654135338,0.8852208646616542,-0.01374530075187963,0.9725781601740588,0.9657954158259586,0.049644619360902274,-0.06338992011278191,0.5263157894736842,0.9473684210526315,0.5789473684210527,0.5263157894736842
immune,seed42_main,source_disjoint,3,300,76,0.8907424812030076,0.8647791353383459,-0.025963345864661647,0.974631964125899,0.9694662982773076,0.03820048167293214,-0.06416382753759378,0.2631578947368421,1.0,0.6842105263157895,0.2631578947368421
immune,seed42_main,source_disjoint,7,300,76,0.9058975563909775,0.912065319548872,0.006167763157894579,0.9799055525032438,0.9712919967865139,0.07537887687969916,-0.06921111372180458,0.05263157894736842,0.3157894736842105,0.47368421052631576,0.05263157894736842
immune,seed42_main,source_disjoint,11,300,76,0.8833411654135338,0.8730028195488723,-0.010338345864661536,0.9830355218866956,0.9751297225208236,0.052154311560150345,-0.06249265742481188,0.7368421052631579,1.0,0.7894736842105263,0.7368421052631579
immune,seed42_main,target_disjoint,0,300,75,0.9063111111111112,0.9041777777777777,-0.0021333333333334314,0.9838813748944703,0.9652731249720057,0.028242962962962942,-0.030376296296296373,0.3157894736842105,0.5789473684210527,0.5263157894736842,0.3157894736842105
immune,seed42_main,target_disjoint,3,300,75,0.9042962962962964,0.8853333333333333,-0.01896296296296307,0.98170021777037,0.965912015495482,0.037225185185185194,-0.056188148148148265,0.7368421052631579,0.9473684210526315,0.6842105263157895,0.6842105263157895
immune,seed42_main,target_disjoint,7,300,75,0.8753777777777778,0.855051851851852,-0.02032592592592586,0.977238810759564,0.9686897004763011,0.0106799999999999,-0.031005925925925756,0.5789473684210527,0.9473684210526315,0.47368421052631576,0.47368421052631576
immune,seed42_main,target_disjoint,11,300,75,0.8590814814814816,0.8506074074074074,-0.00847407407407419,0.9802026143730384,0.9675924893734096,0.0291259259259258,-0.03759999999999999,0.8421052631578947,0.6842105263157895,0.5789473684210527,0.5789473684210527
lung,seed42_main,source_disjoint,0,300,149,0.8471487621672075,0.8220365349571094,-0.025112227210098093,0.9846542900424242,0.9697293098249128,0.04029290190675132,-0.06540512911684941,0.8421052631578947,0.9473684210526315,0.631578947368421,0.631578947368421
lung,seed42_main,source_disjoint,3,300,149,0.8429263522823237,0.7959020400906707,-0.04702431219165304,0.9803556380546051,0.9729982730490442,0.06380283568158585,-0.11082714787323888,0.9473684210526315,1.0,0.8947368421052632,0.8947368421052632
lung,seed42_main,source_disjoint,7,300,149,0.7704786879416863,0.7745233121472066,0.00404462420552032,0.9870494918894192,0.9728202539573221,0.06518067469665319,-0.06113605049113287,0.5263157894736842,0.42105263157894735,0.5789473684210527,0.42105263157894735
lung,seed42_main,source_disjoint,11,300,149,0.8064358415929597,0.8004355749144407,-0.00600026667851894,0.982268415793603,0.9719948207552481,0.09374749988888387,-0.0997477665674028,0.5789473684210527,0.8421052631578947,0.5263157894736842,0.5263157894736842
