domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h93_backbone,auc_relative_persistence,delta_auc_relative_ph_minus_h93,relative_conn_two_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_anchor_permutation_upper,p_random_background_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,280,134,0.9124923328562666,0.9104477611940299,-0.002044571662236705,0.007556396101683363,0.010411981189940772,-0.012456552852177477,0.48,0.6,0.24,0.24
external_lung,seed42_main,source_disjoint,11,280,134,0.9148947045593948,0.9124412185647107,-0.0024534859946840903,0.026102364887889327,0.009674657534246458,-0.012128143528930548,0.56,0.52,0.36,0.36
external_lung,seed42_main,target_disjoint,7,280,185,0.9335419630156473,0.94475106685633,0.011209103840682744,-0.003935514461830255,0.01732859174964446,-0.006119487908961715,0.08,0.04,0.24,0.04
external_lung,seed42_main,target_disjoint,11,280,185,0.9527169274537696,0.9499857752489331,-0.00273115220483644,-0.002750118539592214,0.04633570412517771,-0.04906685633001415,0.64,0.56,0.96,0.56
immune,seed42_main,source_disjoint,7,280,71,0.9549160994676191,0.9435945818451379,-0.011321517622481236,-0.014151897028101624,0.02616753150481842,-0.03748904912729965,0.84,0.84,0.76,0.76
immune,seed42_main,source_disjoint,11,280,71,0.9572747489723028,0.9621268279533661,0.004852078981063324,0.147247119078105,0.028608733742165906,-0.023756654761102582,0.12,0.12,0.4,0.12
immune,seed42_main,target_disjoint,7,280,70,0.9645578231292518,0.9583673469387756,-0.006190476190476191,-0.024999999999999998,0.010710884353741406,-0.0169013605442176,0.72,0.64,0.36,0.36
immune,seed42_main,target_disjoint,11,280,70,0.968843537414966,0.964013605442177,-0.0048299319727890255,0.058333333333333334,0.019897959183673444,-0.02472789115646247,0.8,0.84,0.44,0.44
lung,seed42_main,source_disjoint,7,280,139,0.9113220062248073,0.91234246645237,0.0010204602275627472,0.00643315135125942,0.009906117659064262,-0.008885657431501515,0.28,0.36,0.36,0.28
lung,seed42_main,source_disjoint,11,280,139,0.9070360732690443,0.9067299352007756,-0.00030613806826873535,0.05431824752963589,0.009224960457166179,-0.009531098525434914,0.56,0.56,0.16,0.16
lung,seed42_main,target_disjoint,7,280,179,0.940206869848996,0.9312461972454229,-0.008960672603573139,0.015907037631137416,0.04281210243929433,-0.05177277504286747,0.88,0.92,1.0,0.88
lung,seed42_main,target_disjoint,11,280,179,0.9332374578239947,0.9324077659162564,-0.0008296919077382947,-0.008223168685583641,0.0323621328613309,-0.03319182476906919,0.44,0.52,0.64,0.44
