domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_persistence_derivative_blend,delta_auc_persistence_derivative_minus_h70,derivative_spectrum_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_quantile_order_upper,p_derivative_sign_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,260,124,0.8541864326375712,0.8540085388994308,-0.00017789373814036669,0.009161527514231493,0.030378320683111915,-0.03055621442125228,0.8095238095238095,0.6666666666666666,0.8571428571428571,0.6666666666666666
external_lung,seed42_main,source_disjoint,3,260,124,0.9060721062618596,0.90198055028463,-0.004091555977229655,0.031487191650853896,0.04374703510436421,-0.04783859108159386,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
external_lung,seed42_main,source_disjoint,7,260,124,0.82240275142315,0.8317125237191652,0.00930977229601515,0.008568548387096753,0.02510080645161285,-0.0157910341555977,0.8095238095238095,0.6666666666666666,0.19047619047619047,0.19047619047619047
external_lung,seed42_main,source_disjoint,11,260,124,0.8104245730550285,0.802953036053131,-0.00747153700189751,0.0865453036053131,0.012142730075901352,-0.019614267077798862,0.8095238095238095,0.6190476190476191,0.6666666666666666,0.6190476190476191
external_lung,seed42_main,target_disjoint,0,260,172,0.8662790697674418,0.8644291754756871,-0.00184989429175475,0.013444767441860517,0.005777616279069777,-0.007627510570824527,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.14285714285714285
external_lung,seed42_main,target_disjoint,3,260,172,0.8617204016913319,0.8612579281183932,-0.00046247357293871527,0.008555761099365733,0.03568644291754735,-0.036148916490486065,0.7142857142857143,0.6190476190476191,0.7619047619047619,0.6190476190476191
external_lung,seed42_main,target_disjoint,7,260,172,0.8627114164904862,0.8641649048625794,0.0014534883720931369,0.02583245243128962,0.043825977801268345,-0.04237248942917521,0.47619047619047616,0.2857142857142857,0.7142857142857143,0.2857142857142857
external_lung,seed42_main,target_disjoint,11,260,172,0.8565671247357295,0.8554439746300211,-0.0011231501057084037,0.057445824524312905,0.009860597251585551,-0.010983747357293955,0.47619047619047616,0.42857142857142855,0.6666666666666666,0.42857142857142855
immune,seed42_main,source_disjoint,0,260,65,0.9446153846153846,0.9463510848126233,0.0017357001972386765,0.0032051282051281937,0.009755424063116346,-0.00801972386587767,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.2857142857142857
immune,seed42_main,source_disjoint,3,260,65,0.881577909270217,0.8796844181459567,-0.0018934911242602936,-0.0038461538461538325,0.008729783037475264,-0.010623274161735557,0.42857142857142855,0.23809523809523808,0.5714285714285714,0.23809523809523808
immune,seed42_main,source_disjoint,7,260,65,0.8969625246548324,0.9242603550295859,0.02729783037475353,0.0064102564102563875,0.035140039447731905,-0.007842209072978376,0.6666666666666666,0.7142857142857143,0.14285714285714285,0.14285714285714285
immune,seed42_main,source_disjoint,11,260,65,0.9238658777120317,0.9274950690335306,0.00362919132149897,0.06923076923076932,0.008477317554240507,-0.004848126232741537,0.6190476190476191,0.42857142857142855,0.3333333333333333,0.3333333333333333
immune,seed42_main,target_disjoint,0,260,65,0.9009072978303748,0.8975147928994083,-0.0033925049309665445,0.01538461538461533,0.034445759368836384,-0.03783826429980293,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048
immune,seed42_main,target_disjoint,3,260,65,0.9029585798816568,0.9012228796844182,-0.0017357001972386765,0.0006410256410256387,0.012248520710059137,-0.013984220907297814,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.47619047619047616
immune,seed42_main,target_disjoint,7,260,65,0.9086390532544378,0.9050098619329388,-0.003629191321499081,0.02115384615384619,0.009834319526627252,-0.013463510848126333,0.6190476190476191,0.47619047619047616,0.2857142857142857,0.2857142857142857
immune,seed42_main,target_disjoint,11,260,65,0.9048520710059171,0.9192110453648916,0.014358974358974486,0.08782051282051284,0.022035502958579874,-0.007676528599605388,0.5714285714285714,0.47619047619047616,0.09523809523809523,0.09523809523809523
lung,seed42_main,source_disjoint,0,260,129,0.8486300964554117,0.8462039173915616,-0.002426179063850009,0.016480265104444114,0.004162968222971695,-0.0065891472868217045,0.5714285714285714,0.3333333333333333,0.047619047619047616,0.047619047619047616
lung,seed42_main,source_disjoint,3,260,129,0.7970885851233802,0.8191017219953842,0.022013136872004013,0.022715841174033913,0.022927392153381774,-0.0009142552813777606,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.047619047619047616
lung,seed42_main,source_disjoint,7,260,129,0.8156695662465234,0.8356707497485059,0.020001183501982434,0.036732942777679245,0.022368187466714134,-0.0023670039647317002,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.14285714285714285
lung,seed42_main,source_disjoint,11,260,129,0.7893958222380022,0.8344280726670218,0.045032250429019594,0.0013832179418901136,0.05180779927806381,-0.006775548849044216,0.5714285714285714,0.3333333333333333,0.047619047619047616,0.047619047619047616
lung,seed42_main,target_disjoint,0,260,166,0.8881697000769032,0.9056652140476801,0.017495513970776866,0.003733017175083342,0.015579338631120354,0.0019161753396565121,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616
lung,seed42_main,target_disjoint,3,260,166,0.8477954370674186,0.8565752371186875,0.008779800051268993,0.011519482184055407,0.033167777492950634,-0.02438797744168164,0.6190476190476191,0.8095238095238095,0.5714285714285714,0.5714285714285714
lung,seed42_main,target_disjoint,7,260,166,0.8886823891309921,0.8957959497564726,0.0071135606254805195,0.04540502435273008,0.04263970776723926,-0.03552614714175874,0.047619047619047616,0.23809523809523808,0.8095238095238095,0.047619047619047616
lung,seed42_main,target_disjoint,11,260,166,0.8659318123558062,0.8650986926429121,-0.0008331197128941259,0.09753909254037418,0.013054345039733392,-0.013887464752627518,0.9523809523809523,0.6666666666666666,0.38095238095238093,0.38095238095238093
