domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h93_backbone,auc_interaction_rescue,delta_auc_interaction_derivative_minus_h91_h93,interaction_signal_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_order_permutation_upper,p_partner_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,220,105,0.9104761904761905,0.902111801242236,-0.00836438923395455,-0.02476568820616726,0.02828157349896488,-0.03664596273291943,0.8235294117647058,0.7058823529411765,0.7647058823529411,0.7058823529411765
external_lung,seed42_main,source_disjoint,3,220,105,0.933416149068323,0.9346583850931678,0.001242236024844745,-0.018203602719187882,0.0309171842650104,-0.029674948240165654,0.11764705882352941,0.29411764705882354,0.8235294117647058,0.11764705882352941
external_lung,seed42_main,source_disjoint,7,220,105,0.8901035196687371,0.8838923395445135,-0.006211180124223614,-0.10539544274681586,0.039380952380952385,-0.045592132505176,0.4117647058823529,0.47058823529411764,0.7058823529411765,0.4117647058823529
external_lung,seed42_main,source_disjoint,11,220,105,0.9178467908902691,0.9105590062111801,-0.007287784679088971,-0.4259496123614263,0.02565631469979289,-0.03294409937888186,0.6470588235294118,0.7647058823529411,0.7647058823529411,0.6470588235294118
external_lung,seed42_main,target_disjoint,0,220,146,0.934191040355424,0.9341910403554239,-1.1102230246251565e-16,0.1612395142624779,0.011324509440947593,-0.011324509440947704,0.8235294117647058,0.47058823529411764,0.29411764705882354,0.29411764705882354
external_lung,seed42_main,target_disjoint,3,220,146,0.9456682710107368,0.942428730099963,-0.0032395409107738304,-0.1021968279969878,0.05527582376897447,-0.0585153646797483,0.8235294117647058,0.8823529411764706,1.0,0.8235294117647058
external_lung,seed42_main,target_disjoint,7,220,146,0.9502036282858201,0.9425212884116995,-0.007682339874120592,-0.06561927250863565,0.05833487597186236,-0.06601721584598295,0.8823529411764706,0.5882352941176471,0.8235294117647058,0.5882352941176471
external_lung,seed42_main,target_disjoint,11,220,146,0.9247500925583118,0.9222510181414291,-0.002499074416882685,-0.28279606009611513,0.05687708256201404,-0.05937615697889673,0.17647058823529413,0.23529411764705882,0.9411764705882353,0.17647058823529413
immune,seed42_main,source_disjoint,0,220,55,0.9691460055096419,0.9696969696969697,0.000550964187327807,-0.026316252952325432,0.010611570247933896,-0.01006060606060609,1.0,0.7647058823529411,0.4117647058823529,0.4117647058823529
immune,seed42_main,source_disjoint,3,220,55,0.9528374655647383,0.9548209366391185,0.0019834710743802386,-0.11265030369579306,0.016534435261707982,-0.014550964187327743,0.47058823529411764,0.35294117647058826,0.5294117647058824,0.35294117647058826
