domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_h93_with_string,delta_auc_h93_with_string_minus_h70,q95_null_unconditioned,q95_null_conditioned,null_gap_q95_unconditioned,null_gap_q95_conditioned,conditioned_minus_unconditioned_null_gap,p_unconditioned_upper,p_conditioned_upper
external_lung,seed42_main,source_disjoint,7,240,116,0.8513626251390434,0.9236651835372637,0.0723025583982203,0.09968889043381525,0.1448501807563959,-0.027386332035594943,-0.0725476223581756,-0.04516129032258066,0.23809523809523808,0.9047619047619048
external_lung,seed42_main,source_disjoint,11,240,116,0.900305895439377,0.9378476084538376,0.03754171301446063,0.1060866240266964,0.08725319799777534,-0.06854491101223577,-0.04971148498331471,0.01883342602892106,0.2857142857142857,0.9523809523809523
external_lung,seed42_main,target_disjoint,7,240,154,0.8611446692842041,0.9147538508003624,0.053609181516158344,0.04125264270613117,0.13407014497130784,0.01235653881002717,-0.0804609634551495,-0.09281750226517667,0.09523809523809523,1.0
external_lung,seed42_main,target_disjoint,11,240,154,0.8862126245847175,0.9639081848384173,0.07769556025369984,0.15860955904560556,0.13441935971005753,-0.08091399879190572,-0.05672379945635769,0.02419019933554803,0.19047619047619047,1.0
immune,seed42_main,source_disjoint,7,240,59,0.8934357149545837,0.9366981927146737,0.04326247776008996,0.08768611293192241,0.17341511377469804,-0.044423635171832454,-0.13015263601460808,-0.08572900084277563,0.38095238095238093,1.0
immune,seed42_main,source_disjoint,11,240,59,0.8865062271748291,0.9511190186347036,0.06461279145987453,0.0797874332802697,0.1498923120142336,-0.015174641820395171,-0.08527952055435906,-0.07010487873396389,0.19047619047619047,1.0
immune,seed42_main,target_disjoint,7,240,59,0.8700252832662234,0.9700346474388987,0.10000936417267525,0.10592049817398633,0.13798108437119588,-0.005911134001311075,-0.03797172019852063,-0.032060586197209556,0.14285714285714285,0.47619047619047616
immune,seed42_main,target_disjoint,11,240,59,0.9091675250491619,0.9415675625058525,0.03240003745669062,0.07918344414270989,0.13548553235321673,-0.04678340668601927,-0.1030854948965261,-0.056302088210506834,0.38095238095238093,1.0
lung,seed42_main,source_disjoint,7,240,115,0.8292869565217392,0.920904347826087,0.09161739130434776,0.061118260869565164,0.15073913043478276,0.030499130434782598,-0.059121739130435,-0.0896208695652176,0.047619047619047616,0.8095238095238095
lung,seed42_main,source_disjoint,11,240,115,0.7980521739130435,0.9312695652173913,0.13321739130434784,0.08954434782608692,0.21009217391304355,0.043673043478260926,-0.07687478260869571,-0.12054782608695663,0.047619047619047616,1.0
lung,seed42_main,target_disjoint,7,240,148,0.8904230317273796,0.9443301997649826,0.05390716803760298,0.0920461222091657,0.12850690364277328,-0.038138954171562725,-0.0745997356051703,-0.03646078143360758,0.14285714285714285,1.0
lung,seed42_main,target_disjoint,11,240,148,0.838205052878966,0.929861927144536,0.09165687426557001,0.13565290834312568,0.1649309635722679,-0.043996034077555674,-0.0732740893066979,-0.02927805522914223,0.14285714285714285,1.0
