domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h93_backbone,auc_vineyard_features,delta_auc_vineyard_features_minus_h93,mean_vineyard_slope,mean_vineyard_curvature,q95_null_delta_auc,null_gap_q95_delta_auc,p_schedule_permutation_upper,p_rewire_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,260,126,0.9309997630893153,0.9359156597962568,0.0049158967069414805,0.0,0.0,0.031597962568111704,-0.026682065861170223,0.3333333333333333,0.15151515151515152,0.696969696969697,0.15151515151515152
external_lung,seed42_main,source_disjoint,11,260,126,0.9346718787017294,0.9304667140488035,-0.0042051646529258635,0.0,0.0,0.07236140724946677,-0.07656657190239263,0.18181818181818182,0.15151515151515152,1.0,0.15151515151515152
external_lung,seed42_main,target_disjoint,7,260,167,0.9301397205588824,0.9375442663060976,0.007404545747215163,0.0,0.0,0.06469319425664785,-0.05728864850943269,0.6060606060606061,0.3333333333333333,1.0,0.3333333333333333
external_lung,seed42_main,target_disjoint,11,260,167,0.9294314596613225,0.9309123688107656,0.0014809091494430993,0.0,0.0,0.06790451355353802,-0.06642360440409492,0.36363636363636365,0.12121212121212122,1.0,0.12121212121212122
immune,seed42_main,source_disjoint,7,260,64,0.9720184948979591,0.9694674744897959,-0.0025510204081632404,0.0,0.0,0.026317362882653184,-0.028868383290816424,0.6666666666666666,0.5151515151515151,0.6363636363636364,0.5151515151515151
immune,seed42_main,source_disjoint,11,260,64,0.9555963010204082,0.9563934948979592,0.0007971938775510612,0.0,0.0,0.05311304209183673,-0.05231584821428567,0.9393939393939394,0.8181818181818182,0.9090909090909091,0.8181818181818182
immune,seed42_main,target_disjoint,7,260,64,0.9627710459183673,0.9565529336734694,-0.006218112244897878,0.0,0.0,0.03188775510204078,-0.03810586734693866,0.7272727272727273,0.6363636363636364,0.7575757575757576,0.6363636363636364
immune,seed42_main,target_disjoint,11,260,64,0.9795918367346939,0.9803093112244898,0.0007174744897959773,0.0,0.0,0.03472775829081631,-0.034010283801020336,0.5454545454545454,0.5151515151515151,0.5757575757575758,0.5151515151515151
lung,seed42_main,source_disjoint,7,260,125,0.9125925925925926,0.9143703703703704,0.001777777777777767,0.0,0.0,0.02243703703703695,-0.020659259259259183,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
lung,seed42_main,source_disjoint,11,260,125,0.9104592592592593,0.9127111111111111,0.0022518518518518382,0.0,0.0,0.015311111111111081,-0.013059259259259243,0.5151515151515151,0.36363636363636365,0.3939393939393939,0.36363636363636365
lung,seed42_main,target_disjoint,7,260,160,0.9259999999999999,0.9304375,0.004437500000000094,0.0,0.0,0.028390625000000086,-0.023953124999999992,0.45454545454545453,0.2727272727272727,0.7878787878787878,0.2727272727272727
lung,seed42_main,target_disjoint,11,260,160,0.9444375,0.9445,6.249999999996536e-05,0.0,0.0,0.0362890625,-0.03622656250000003,0.48484848484848486,0.15151515151515152,0.9090909090909091,0.15151515151515152
