hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_value
H113,label_permutation,external_lung,seed42_main,source_disjoint,-1,0,87.33333333333333
H113,label_permutation,external_lung,seed42_main,source_disjoint,-1,1,-10.333333333333334
H113,label_permutation,external_lung,seed42_main,source_disjoint,-1,2,128.0
H113,label_permutation,external_lung,seed42_main,source_disjoint,-1,3,-47.666666666666664
H113,label_permutation,external_lung,seed42_main,source_disjoint,-1,4,33.666666666666664
H113,label_permutation,external_lung,seed42_main,source_disjoint,-1,5,177.33333333333334
H113,label_permutation,external_lung,seed42_main,target_disjoint,-1,0,262.0
H113,label_permutation,external_lung,seed42_main,target_disjoint,-1,1,306.3333333333333
H113,label_permutation,external_lung,seed42_main,target_disjoint,-1,2,196.66666666666666
H113,label_permutation,external_lung,seed42_main,target_disjoint,-1,3,389.6666666666667
H113,label_permutation,external_lung,seed42_main,target_disjoint,-1,4,244.66666666666666
H113,label_permutation,external_lung,seed42_main,target_disjoint,-1,5,203.66666666666666
H113,label_permutation,immune,seed42_main,source_disjoint,-1,0,-309.3333333333333
H113,label_permutation,immune,seed42_main,source_disjoint,-1,1,-260.0
H113,label_permutation,immune,seed42_main,source_disjoint,-1,2,-262.0
H113,label_permutation,immune,seed42_main,source_disjoint,-1,3,-134.33333333333334
H113,label_permutation,immune,seed42_main,source_disjoint,-1,4,-159.66666666666666
H113,label_permutation,immune,seed42_main,source_disjoint,-1,5,-150.66666666666666
H113,label_permutation,immune,seed42_main,target_disjoint,-1,0,-205.0
H113,label_permutation,immune,seed42_main,target_disjoint,-1,1,-138.66666666666666
H113,label_permutation,immune,seed42_main,target_disjoint,-1,2,-133.33333333333334
H113,label_permutation,immune,seed42_main,target_disjoint,-1,3,-90.0
H113,label_permutation,immune,seed42_main,target_disjoint,-1,4,-137.66666666666666
H113,label_permutation,immune,seed42_main,target_disjoint,-1,5,-191.33333333333334
H113,label_permutation,lung,seed42_main,source_disjoint,-1,0,141.0
H113,label_permutation,lung,seed42_main,source_disjoint,-1,1,85.0
H113,label_permutation,lung,seed42_main,source_disjoint,-1,2,202.33333333333334
H113,label_permutation,lung,seed42_main,source_disjoint,-1,3,125.0
H113,label_permutation,lung,seed42_main,source_disjoint,-1,4,162.66666666666666
H113,label_permutation,lung,seed42_main,source_disjoint,-1,5,220.66666666666666
H113,label_permutation,lung,seed42_main,target_disjoint,-1,0,232.66666666666666
H113,label_permutation,lung,seed42_main,target_disjoint,-1,1,393.6666666666667
H113,label_permutation,lung,seed42_main,target_disjoint,-1,2,325.0
H113,label_permutation,lung,seed42_main,target_disjoint,-1,3,351.3333333333333
H113,label_permutation,lung,seed42_main,target_disjoint,-1,4,272.3333333333333
H113,label_permutation,lung,seed42_main,target_disjoint,-1,5,276.0
H113,layer_order_permutation,external_lung,seed42_main,source_disjoint,-1,0,-156.33333333333334
H113,layer_order_permutation,external_lung,seed42_main,source_disjoint,-1,1,-161.66666666666666
H113,layer_order_permutation,external_lung,seed42_main,source_disjoint,-1,2,-161.66666666666666
H113,layer_order_permutation,external_lung,seed42_main,source_disjoint,-1,3,-165.66666666666666
H113,layer_order_permutation,external_lung,seed42_main,source_disjoint,-1,4,-165.66666666666666
H113,layer_order_permutation,external_lung,seed42_main,source_disjoint,-1,5,-161.33333333333334
H113,layer_order_permutation,external_lung,seed42_main,target_disjoint,-1,0,7.0
H113,layer_order_permutation,external_lung,seed42_main,target_disjoint,-1,1,2.6666666666666665
H113,layer_order_permutation,external_lung,seed42_main,target_disjoint,-1,2,7.333333333333333
H113,layer_order_permutation,external_lung,seed42_main,target_disjoint,-1,3,-0.6666666666666666
H113,layer_order_permutation,external_lung,seed42_main,target_disjoint,-1,4,7.333333333333333
H113,layer_order_permutation,external_lung,seed42_main,target_disjoint,-1,5,1.6666666666666667
H113,layer_order_permutation,immune,seed42_main,source_disjoint,-1,0,-338.0
H113,layer_order_permutation,immune,seed42_main,source_disjoint,-1,1,-338.3333333333333
H113,layer_order_permutation,immune,seed42_main,source_disjoint,-1,2,-341.3333333333333
H113,layer_order_permutation,immune,seed42_main,source_disjoint,-1,3,-337.3333333333333
H113,layer_order_permutation,immune,seed42_main,source_disjoint,-1,4,-337.3333333333333
H113,layer_order_permutation,immune,seed42_main,source_disjoint,-1,5,-337.3333333333333
H113,layer_order_permutation,immune,seed42_main,target_disjoint,-1,0,-496.6666666666667
H113,layer_order_permutation,immune,seed42_main,target_disjoint,-1,1,-510.3333333333333
H113,layer_order_permutation,immune,seed42_main,target_disjoint,-1,2,-499.0
H113,layer_order_permutation,immune,seed42_main,target_disjoint,-1,3,-513.0
H113,layer_order_permutation,immune,seed42_main,target_disjoint,-1,4,-513.0
H113,layer_order_permutation,immune,seed42_main,target_disjoint,-1,5,-509.6666666666667
H113,layer_order_permutation,lung,seed42_main,source_disjoint,-1,0,-215.66666666666666
H113,layer_order_permutation,lung,seed42_main,source_disjoint,-1,1,-215.66666666666666
H113,layer_order_permutation,lung,seed42_main,source_disjoint,-1,2,-205.33333333333334
H113,layer_order_permutation,lung,seed42_main,source_disjoint,-1,3,-200.66666666666666
H113,layer_order_permutation,lung,seed42_main,source_disjoint,-1,4,-204.66666666666666
