hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_value
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,0,0.11814129822224495
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,1,0.11819253035503874
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,2,0.11650186997284695
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,3,0.11353040627081301
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,4,0.11271069214611396
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,5,0.11501613812183009
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,6,0.11931963727649975
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,7,0.1161432450432911
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,8,0.1161432450432911
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,source_disjoint,11,9,0.1168604949024028
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,0,0.11784309440559426
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,1,0.11849868881118863
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,2,0.12172202797202791
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,3,0.12303321678321677
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,4,0.119536713286713
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,5,0.1172421328671327
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,6,0.12237762237762229
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,7,0.12527316433566416
H118,community_size_preserving_label_shuffle,external_lung,seed42_main,target_disjoint,11,8,0.11620410839160822
