hypothesis_id,domain,seed_tag,split_regime,layer,n_modules_eval,n_modules_train,n_modules_test,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_mapping_upper,p_landscape_bin_upper,p_best_upper,mse_observed,mean_module_size
H122,external_lung,seed42_main,source_disjoint,7,32,19,13,-56.51754930628581,-28.835830152872983,-27.681719153412825,0.8823529411764706,0.5882352941176471,0.5882352941176471,56.51754930628581,29.125
H122,external_lung,seed42_main,source_disjoint,11,32,19,13,-136.50050333610685,-86.99232886629487,-49.508174469811976,0.5882352941176471,0.5294117647058824,0.5294117647058824,136.50050333610685,29.125
H122,external_lung,seed42_main,target_disjoint,7,32,19,13,-106.37956677541611,-60.82434282437629,-45.55522395103982,0.7058823529411765,0.8235294117647058,0.7058823529411765,106.37956677541611,31.21875
H122,external_lung,seed42_main,target_disjoint,11,32,19,13,-132.55065582291007,-43.69353438824402,-88.85712143466606,0.9411764705882353,0.9411764705882353,0.9411764705882353,132.55065582291007,31.21875
H122,immune,seed42_main,source_disjoint,7,32,19,13,-208.82693213744838,-89.86891313349079,-118.95801900395759,0.8823529411764706,0.7058823529411765,0.7058823529411765,208.82693213744838,28.625
H122,immune,seed42_main,source_disjoint,11,32,19,13,-232.96886666907545,-79.66607780379321,-153.30278886528225,1.0,1.0,1.0,232.96886666907545,28.625
H122,immune,seed42_main,target_disjoint,7,32,19,13,-18.266092947168197,-16.427805038878553,-1.8382879082896437,0.4117647058823529,0.058823529411764705,0.058823529411764705,18.266092947168197,27.09375
H122,immune,seed42_main,target_disjoint,11,32,19,13,-46.74079792884953,-32.19340084053509,-14.54739708831444,0.7058823529411765,0.17647058823529413,0.17647058823529413,46.74079792884953,27.09375
H122,lung,seed42_main,source_disjoint,7,32,19,13,-34.83273921821723,-33.521286823259686,-1.3114523949575414,0.058823529411764705,0.17647058823529413,0.058823529411764705,34.83273921821723,28.625
H122,lung,seed42_main,source_disjoint,11,32,19,13,-95.22432510882514,-63.06844847038369,-32.15587663844145,0.29411764705882354,0.4117647058823529,0.29411764705882354,95.22432510882514,28.625
H122,lung,seed42_main,target_disjoint,7,32,19,13,-89.57459312169082,-78.76999092026522,-10.80460220142561,0.23529411764705882,0.058823529411764705,0.058823529411764705,89.57459312169082,28.75
H122,lung,seed42_main,target_disjoint,11,32,19,13,-48.216162696309034,-36.982297802988796,-11.233864893320238,0.4117647058823529,0.29411764705882354,0.29411764705882354,48.216162696309034,28.75
